subscriber_id,tenure_months,plan_type,monthly_price,items_per_box,referral_count,boxes_skipped_ytd,gift_subscription,payment_method,loyalty_points_balance,app_installed,avg_review_rating,social_media_follower,subscriber_value_estimate,unsubscribed
CAS-00273,28,Curated,32.12,6,0,3,No,Credit Card,560,Yes,3.3,No,1805.58,No
CAS-00274,7,Curated,33.96,7,1,1,No,Credit Card,165,Yes,4.4,No,199.75,No
CAS-00275,48,Deluxe,58.02,10,1,0,No,Credit Card,250,Yes,3.7,Yes,3057.65,No
CAS-00276,40,Curated,35.1,5,0,0,No,Debit Card,278,Yes,4.1,No,1165.08,No
CAS-00277,27,Deluxe,57.28,6,1,2,No,Credit Card,492,No,4.8,Yes,1868.07,No
CAS-00278,42,Curated,33.0,6,0,1,No,Credit Card,572,No,3.9,No,787.78,No
CAS-00279,12,Deluxe,52.34,4,0,2,No,PayPal,527,No,4.3,No,583.44,No
CAS-00280,5,Curated,38.35,6,0,1,No,Credit Card,246,Yes,3.9,No,267.33,No
CAS-00281,20,Basic,22.03,5,1,1,No,Credit Card,765,No,4.7,No,709.22,Yes
CAS-00282,4,Basic,22.16,6,0,2,No,Debit Card,319,Yes,4.3,No,167.98,Yes
CAS-00283,36,Curated,37.27,9,1,2,No,Credit Card,342,No,4.8,No,1088.09,No
CAS-00284,19,Curated,34.37,6,3,1,Yes,PayPal,327,No,2.6,No,953.34,No
CAS-00285,28,Basic,18.99,2,0,2,No,Credit Card,491,Yes,3.9,No,1212.76,No
CAS-00286,11,Deluxe,59.81,8,0,0,No,PayPal,53,No,4.6,No,1352.96,Yes
CAS-00287,9,Basic,20.59,2,1,0,No,Credit Card,550,No,4.7,No,516.05,No
CAS-00288,6,Deluxe,60.41,2,2,2,No,Buy Now Pay Later,167,Yes,3.9,No,397.69,Yes
CAS-00289,29,Curated,37.31,4,3,1,No,Credit Card,44,No,4.9,No,1694.92,No
CAS-00290,42,Curated,41.64,7,0,0,No,Credit Card,1144,Yes,4.3,No,3083.03,No
CAS-00291,30,Basic,19.93,5,0,0,No,Debit Card,483,Yes,5.0,No,553.8,Yes
CAS-00292,44,Basic,20.67,6,0,1,No,Credit Card,322,No,3.4,Yes,855.7,No
CAS-00293,21,Deluxe,50.14,9,0,1,No,Credit Card,266,Yes,4.7,No,619.61,No
CAS-00294,26,Basic,18.46,4,0,1,No,Credit Card,562,Yes,3.7,Yes,617.29,Yes
CAS-00295,29,Curated,29.0,3,0,2,No,PayPal,317,No,3.7,No,533.15,No
CAS-00296,13,Curated,38.77,6,0,2,No,Debit Card,1384,No,2.8,No,992.12,No
CAS-00297,20,Curated,33.7,6,0,1,No,PayPal,252,Yes,3.6,Yes,800.65,Yes
CAS-00298,18,Basic,17.77,7,0,1,No,PayPal,147,Yes,4.1,No,280.42,No
CAS-00299,26,Basic,23.35,2,0,1,No,Credit Card,947,Yes,3.7,No,894.82,No
CAS-00300,0,Basic,17.69,6,0,3,No,PayPal,498,No,4.8,No,194.65,Yes
CAS-00301,2,Deluxe,45.71,3,2,0,No,Debit Card,94,No,4.0,Yes,218.88,No
CAS-00302,3,Deluxe,54.58,4,0,1,No,PayPal,538,No,4.2,No,458.07,No
CAS-00303,4,Deluxe,58.01,10,1,3,No,Credit Card,535,No,3.9,Yes,464.05,No
CAS-00304,32,Basic,19.74,3,2,1,No,Debit Card,116,No,5.0,No,670.46,Yes
CAS-00305,24,Curated,38.25,7,1,0,No,Buy Now Pay Later,780,No,4.9,No,1095.4,No
CAS-00306,3,Basic,19.38,4,3,1,No,Credit Card,103,No,4.9,No,102.98,No
CAS-00307,5,Deluxe,49.54,7,0,0,No,Credit Card,220,No,4.3,No,452.41,No
CAS-00308,32,Curated,37.95,2,1,2,No,PayPal,363,Yes,3.7,No,3712.09,No
CAS-00309,44,Basic,21.77,4,0,0,No,Credit Card,292,No,4.2,No,1198.3,Yes
CAS-00310,12,Curated,39.65,5,0,2,No,PayPal,351,No,4.1,No,1225.94,No
CAS-00311,29,Curated,33.67,4,2,1,No,Debit Card,174,Yes,4.0,No,714.89,No
CAS-00312,3,Curated,33.44,5,1,2,No,Buy Now Pay Later,431,Yes,4.2,No,402.1,Yes
CAS-00313,38,Curated,36.96,3,0,1,No,Debit Card,436,Yes,4.1,No,772.9,Yes
CAS-00314,21,Basic,19.59,5,2,0,No,Debit Card,158,No,4.0,Yes,786.02,Yes
CAS-00315,20,Curated,36.1,5,0,0,Yes,Credit Card,267,Yes,5.0,No,1562.7,No
CAS-00316,2,Curated,35.87,5,1,1,No,Credit Card,146,Yes,5.0,No,134.76,No
CAS-00317,28,Basic,19.61,5,0,0,No,Credit Card,160,Yes,4.6,No,668.29,No
CAS-00318,27,Basic,18.11,5,0,1,No,Debit Card,284,No,4.1,No,535.46,Yes
CAS-00319,6,Curated,40.27,3,1,4,No,Credit Card,301,Yes,3.9,Yes,442.96,Yes
CAS-00320,8,Curated,34.22,2,0,3,No,Debit Card,431,Yes,3.9,No,364.87,No
CAS-00321,42,Curated,42.04,7,2,1,No,Credit Card,384,Yes,4.2,Yes,1294.88,No
CAS-00322,5,Curated,34.8,6,0,0,No,Credit Card,320,No,3.2,No,384.09,No
CAS-00323,29,Basic,19.93,4,3,1,No,Debit Card,268,No,4.7,Yes,634.76,No
CAS-00324,6,Curated,38.04,6,0,0,No,Credit Card,324,No,3.7,No,713.82,No
CAS-00325,36,Curated,31.69,3,1,0,Yes,Credit Card,173,No,5.0,No,1030.4,No
CAS-00326,29,Deluxe,54.75,6,0,1,No,Credit Card,776,No,5.0,No,1626.54,No
CAS-00327,45,Deluxe,55.22,6,1,1,No,Credit Card,65,No,3.3,No,3299.27,No
CAS-00328,33,Deluxe,53.54,5,1,3,No,Debit Card,249,Yes,2.8,Yes,1863.62,No
CAS-00329,30,Basic,17.72,7,0,1,No,Credit Card,32,No,3.4,No,618.91,No
CAS-00330,47,Curated,34.81,2,0,0,No,Credit Card,737,Yes,3.9,No,1175.7,No
CAS-00331,33,Curated,34.81,4,0,0,No,Credit Card,560,Yes,4.2,No,1288.92,Yes
CAS-00332,27,Curated,33.41,5,0,0,No,Credit Card,1044,No,4.4,No,2517.96,No
CAS-00333,6,Curated,33.47,3,2,2,No,Debit Card,54,Yes,3.0,No,220.81,No
CAS-00334,1,Basic,17.55,4,2,3,No,Credit Card,641,Yes,3.7,No,271.48,Yes
CAS-00335,26,Basic,21.94,2,0,2,Yes,Credit Card,453,No,3.3,No,1092.98,Yes
CAS-00336,32,Curated,36.37,6,0,1,No,PayPal,120,Yes,4.7,No,1139.55,No
CAS-00337,13,Deluxe,53.94,6,0,0,No,Debit Card,156,No,4.4,No,475.4,No
CAS-00338,34,Curated,35.18,5,0,1,No,Credit Card,187,Yes,5.0,No,1861.23,No
CAS-00339,13,Basic,16.31,4,0,0,No,PayPal,47,Yes,4.5,No,194.6,Yes
CAS-00340,40,Curated,36.24,9,0,3,No,PayPal,61,Yes,3.1,No,1511.26,No
CAS-00341,44,Deluxe,59.57,7,0,3,Yes,PayPal,476,Yes,3.4,No,4191.94,No
CAS-00342,3,Curated,37.55,5,0,1,No,Credit Card,197,Yes,4.8,No,224.53,Yes
CAS-00343,37,Basic,19.55,8,0,0,No,Debit Card,558,No,4.6,No,932.11,No
CAS-00344,40,Curated,34.72,3,0,1,No,Credit Card,239,No,3.9,No,1190.34,No
CAS-00345,9,Basic,20.76,5,1,2,No,PayPal,422,Yes,3.7,Yes,309.84,No
CAS-00346,31,Basic,20.52,5,0,0,No,PayPal,433,Yes,4.2,No,1302.08,No
CAS-00347,15,Basic,18.07,5,1,2,No,PayPal,810,Yes,5.0,No,1484.03,No
CAS-00348,42,Curated,37.0,7,1,1,No,Debit Card,177,No,3.3,Yes,1640.53,No
CAS-00349,18,Basic,18.93,6,1,1,No,Debit Card,343,No,4.1,No,411.4,Yes
CAS-00350,1,Basic,23.89,4,2,0,No,Buy Now Pay Later,32,No,3.7,No,95.52,Yes
CAS-00351,48,Curated,32.76,4,2,2,No,Credit Card,186,Yes,3.5,Yes,782.65,No
CAS-00352,31,Deluxe,60.02,7,0,0,No,Credit Card,315,No,3.6,No,740.2,No
CAS-00353,45,Deluxe,56.58,5,1,0,No,PayPal,83,No,3.7,No,3010.61,No
CAS-00354,11,Basic,16.85,7,0,0,No,Credit Card,519,No,5.0,No,297.48,Yes
CAS-00355,34,Deluxe,53.75,8,2,2,No,Debit Card,650,No,5.0,No,2464.84,Yes
CAS-00356,11,Deluxe,50.2,3,1,3,No,Credit Card,229,Yes,4.5,No,492.98,No
CAS-00357,19,Curated,36.01,7,0,2,Yes,Credit Card,83,No,3.7,No,627.3,No
CAS-00358,42,Curated,37.54,10,1,2,No,Credit Card,287,Yes,3.9,No,1723.55,No
CAS-00359,5,Curated,33.86,2,0,2,No,Credit Card,429,No,3.2,No,380.05,Yes
CAS-00360,43,Curated,34.98,6,1,2,No,Debit Card,631,No,4.5,No,838.07,No
CAS-00361,39,Deluxe,53.95,6,1,0,No,Credit Card,263,Yes,4.1,Yes,1596.32,No
CAS-00362,13,Curated,31.33,8,1,1,No,Buy Now Pay Later,403,No,3.4,No,568.78,No
CAS-00363,33,Deluxe,54.85,5,1,0,No,Credit Card,375,No,4.5,No,1892.26,No
CAS-00364,3,Curated,37.43,6,2,0,No,PayPal,71,No,2.3,No,161.29,Yes
CAS-00365,38,Deluxe,57.85,2,0,1,No,PayPal,337,Yes,4.0,No,2424.46,No
CAS-00366,27,Curated,36.95,9,0,3,No,PayPal,31,Yes,5.0,No,2088.71,No
CAS-00367,46,Basic,20.06,7,1,0,No,Debit Card,245,No,4.6,No,909.16,Yes
CAS-00368,0,Basic,19.76,3,1,1,No,Debit Card,760,No,4.1,No,427.29,No
CAS-00369,22,Basic,17.78,2,0,0,No,PayPal,220,Yes,4.6,Yes,349.02,Yes
CAS-00370,12,Curated,38.53,3,0,1,No,PayPal,376,No,5.0,No,698.3,Yes
CAS-00371,8,Curated,41.45,7,0,1,No,Credit Card,463,No,3.7,Yes,595.15,No
CAS-00372,42,Basic,21.6,6,0,4,No,Credit Card,299,No,4.1,No,1422.98,Yes
CAS-00373,43,Curated,33.02,6,2,1,No,Credit Card,264,Yes,3.6,No,2495.4,No
CAS-00374,6,Curated,31.47,10,0,0,No,Credit Card,241,Yes,3.4,No,416.68,Yes
CAS-00375,25,Basic,15.49,5,1,3,No,PayPal,429,No,3.8,No,686.88,Yes
CAS-00376,38,Basic,21.26,5,1,0,Yes,Credit Card,468,No,3.3,No,3132.91,Yes
CAS-00377,30,Basic,16.17,9,0,4,Yes,Debit Card,104,No,3.9,No,323.04,Yes
CAS-00378,42,Deluxe,60.03,5,0,1,No,PayPal,894,No,4.4,No,2741.14,No
CAS-00379,29,Curated,37.22,11,1,1,No,Credit Card,261,Yes,4.5,No,2455.14,No
CAS-00380,31,Deluxe,51.76,4,1,1,No,Credit Card,481,No,4.5,No,1319.93,Yes
CAS-00381,44,Deluxe,55.19,4,1,2,No,Credit Card,319,No,3.5,Yes,1727.71,Yes
CAS-00382,48,Basic,18.97,9,0,1,No,Credit Card,270,No,5.0,No,1564.24,No
CAS-00383,34,Basic,21.41,2,0,1,No,Credit Card,197,No,4.6,No,773.05,Yes
CAS-00384,10,Deluxe,53.09,9,1,1,No,PayPal,169,No,4.6,No,474.5,No
CAS-00385,14,Basic,17.4,4,2,1,No,PayPal,322,No,3.6,No,237.73,Yes
CAS-00386,13,Deluxe,54.91,5,1,1,No,Debit Card,672,No,4.2,No,1295.74,No
CAS-00387,15,Deluxe,51.49,7,0,0,No,Credit Card,462,No,3.4,No,593.68,No
CAS-00388,7,Basic,20.17,2,0,0,No,PayPal,782,Yes,3.6,Yes,532.58,No
CAS-00389,0,Curated,32.47,6,1,1,No,PayPal,241,No,5.0,No,51.74,Yes
CAS-00390,12,Curated,32.29,4,1,2,No,Debit Card,527,No,3.3,Yes,441.83,Yes
CAS-00391,26,Curated,35.11,6,1,1,No,Credit Card,61,No,3.4,Yes,2044.35,No
CAS-00392,12,Deluxe,54.03,6,0,0,No,Credit Card,395,Yes,3.5,No,974.69,No
CAS-00393,30,Deluxe,50.56,9,1,0,No,PayPal,413,No,4.1,No,1359.93,No
CAS-00394,29,Curated,34.12,3,0,1,No,Credit Card,61,Yes,4.4,Yes,1056.07,No
CAS-00395,28,Basic,20.57,7,1,2,Yes,Credit Card,202,Yes,2.5,No,585.41,Yes
CAS-00396,30,Basic,19.3,10,0,1,No,Buy Now Pay Later,502,No,4.8,No,642.02,Yes
CAS-00397,12,Basic,24.12,4,0,0,No,Debit Card,275,No,3.5,Yes,354.79,No
CAS-00398,34,Basic,20.62,3,0,0,No,Credit Card,638,No,3.1,No,942.3,No
CAS-00399,9,Curated,36.83,5,0,0,No,Credit Card,437,No,3.3,No,588.67,No
CAS-00400,32,Basic,22.5,4,1,2,No,PayPal,366,No,5.0,No,840.39,Yes
CAS-00401,20,Deluxe,55.19,4,0,1,No,Debit Card,363,No,3.3,No,610.08,No
CAS-00402,23,Basic,21.59,7,0,1,No,Credit Card,258,Yes,4.4,No,458.02,Yes
CAS-00403,43,Curated,34.49,7,0,0,No,Debit Card,453,Yes,4.1,No,1248.09,Yes
CAS-00404,40,Deluxe,50.05,9,0,1,No,PayPal,239,Yes,3.9,No,1472.24,No
CAS-00405,42,Curated,32.56,6,0,0,No,Credit Card,508,No,4.5,No,1468.86,No
CAS-00406,13,Curated,36.4,6,0,0,No,Credit Card,571,Yes,3.6,No,542.59,No
CAS-00407,26,Basic,18.04,8,0,1,No,Credit Card,157,Yes,5.0,Yes,251.73,Yes
CAS-00408,9,Deluxe,52.9,8,0,2,No,PayPal,535,Yes,4.2,No,441.1,No
CAS-00409,44,Deluxe,50.5,5,1,1,No,Credit Card,293,No,4.9,Yes,6550.62,Yes
CAS-00410,35,Deluxe,50.17,6,1,2,No,Credit Card,186,Yes,4.1,No,2434.89,No
CAS-00411,6,Basic,17.48,6,0,1,No,Credit Card,530,Yes,5.0,Yes,253.19,Yes
CAS-00412,30,Deluxe,62.49,2,1,3,No,Credit Card,169,Yes,4.5,No,1078.53,No
CAS-00413,27,Basic,23.24,4,1,2,No,Credit Card,630,Yes,5.0,No,1522.89,No
CAS-00414,39,Curated,36.39,9,0,0,Yes,Credit Card,587,Yes,4.7,No,939.61,No
CAS-00415,23,Basic,20.67,8,2,4,No,Credit Card,94,No,3.2,No,374.0,No
CAS-00416,14,Basic,21.44,10,1,2,No,Debit Card,166,Yes,5.0,No,314.54,Yes
CAS-00417,37,Curated,34.92,6,1,0,No,Credit Card,713,Yes,5.0,No,1376.21,Yes
CAS-00418,28,Curated,34.3,5,0,1,No,Buy Now Pay Later,82,Yes,4.1,No,1291.79,Yes
CAS-00419,7,Curated,34.62,2,1,1,No,Credit Card,56,No,4.9,No,347.27,No
CAS-00420,36,Curated,34.96,5,0,3,No,Debit Card,580,No,4.9,No,2085.8,Yes
CAS-00421,37,Deluxe,48.7,3,1,2,No,PayPal,158,Yes,4.7,No,951.81,Yes
CAS-00422,11,Basic,21.12,6,0,1,No,PayPal,374,Yes,5.0,No,396.58,Yes
CAS-00423,47,Basic,20.31,5,0,3,No,PayPal,497,No,4.3,No,567.36,Yes
CAS-00424,45,Curated,34.17,7,1,1,No,PayPal,447,Yes,4.0,No,2069.05,No
CAS-00425,35,Curated,37.59,5,0,2,No,PayPal,690,Yes,5.0,No,3092.88,No
CAS-00426,3,Curated,33.7,6,1,1,No,Debit Card,701,Yes,3.9,No,425.63,No
CAS-00427,7,Basic,21.72,2,0,1,Yes,Debit Card,222,No,4.1,No,185.91,Yes
CAS-00428,37,Curated,30.47,3,0,1,No,Credit Card,160,Yes,3.7,No,1096.82,No
CAS-00429,13,Deluxe,54.09,8,2,3,No,Credit Card,503,Yes,4.8,No,2431.0,Yes
CAS-00430,15,Deluxe,59.18,6,0,1,No,PayPal,527,Yes,4.3,Yes,1414.93,No
CAS-00431,39,Curated,43.94,3,2,0,No,Credit Card,201,Yes,3.9,No,1039.04,Yes
CAS-00432,15,Curated,33.89,7,0,3,No,Credit Card,104,No,3.2,No,987.94,No
CAS-00433,16,Curated,33.15,4,1,2,No,PayPal,602,Yes,4.4,No,1246.62,No
CAS-00434,31,Basic,19.74,5,0,2,No,Debit Card,409,Yes,3.3,No,710.78,Yes
CAS-00435,39,Curated,41.98,3,0,0,No,Buy Now Pay Later,191,No,5.0,Yes,1691.58,Yes
CAS-00436,22,Basic,20.32,5,1,1,No,PayPal,418,Yes,4.6,No,514.75,No
CAS-00437,19,Deluxe,44.07,6,1,0,No,Credit Card,232,No,3.3,No,866.71,Yes
CAS-00438,10,Basic,20.5,9,0,2,No,PayPal,98,Yes,4.3,Yes,145.72,No
CAS-00439,26,Basic,19.49,7,1,1,No,PayPal,251,Yes,3.5,No,388.57,No
CAS-00440,44,Basic,18.12,5,0,2,No,Debit Card,959,No,4.4,No,735.8,Yes
CAS-00441,21,Deluxe,57.25,2,0,0,No,Debit Card,672,No,5.0,No,924.34,No
CAS-00442,5,Deluxe,54.58,9,3,1,No,Credit Card,174,Yes,2.9,No,524.39,No
CAS-00443,23,Basic,21.45,10,1,3,No,Credit Card,265,Yes,4.8,No,913.8,No
CAS-00444,6,Deluxe,53.3,8,0,1,No,Debit Card,188,Yes,5.0,No,564.8,No
CAS-00445,41,Basic,18.57,8,2,0,No,PayPal,395,No,4.1,No,1035.71,Yes
CAS-00446,36,Basic,19.08,6,0,2,No,PayPal,432,Yes,3.8,Yes,1031.0,No
CAS-00447,10,Curated,31.41,3,1,0,No,PayPal,139,Yes,3.4,Yes,492.61,No
CAS-00448,21,Basic,17.84,3,0,1,No,Credit Card,380,Yes,5.0,No,865.89,Yes
CAS-00449,20,Deluxe,47.12,10,1,0,No,Credit Card,375,No,4.1,No,1054.45,No
CAS-00450,48,Deluxe,50.51,2,2,1,No,PayPal,91,Yes,3.9,No,1953.98,No
CAS-00451,2,Deluxe,51.8,8,0,2,No,Debit Card,205,Yes,4.9,No,155.64,No
CAS-00452,47,Basic,21.72,7,1,1,No,PayPal,155,No,3.6,No,1098.93,No
CAS-00453,26,Deluxe,57.45,6,1,0,No,PayPal,856,Yes,4.0,Yes,2208.57,No
CAS-00454,36,Basic,20.96,2,0,0,No,Credit Card,279,Yes,4.1,No,1285.82,No
CAS-00455,14,Basic,19.95,3,2,2,No,Credit Card,635,Yes,4.7,No,855.78,No
CAS-00456,23,Deluxe,59.11,4,1,3,No,PayPal,224,Yes,4.4,No,1240.14,No
CAS-00457,23,Basic,24.07,7,1,3,No,Credit Card,314,No,3.4,No,683.44,Yes
CAS-00458,9,Curated,35.95,4,0,1,No,Buy Now Pay Later,564,Yes,4.1,No,626.47,No
CAS-00459,10,Curated,35.76,5,0,0,No,Credit Card,196,Yes,4.7,No,422.46,No
CAS-00460,39,Basic,20.55,3,1,2,Yes,Credit Card,480,Yes,4.9,Yes,855.46,No
CAS-00461,0,Deluxe,47.97,3,0,1,No,PayPal,317,Yes,4.6,No,157.88,No
CAS-00462,43,Basic,18.25,2,0,4,No,Credit Card,258,No,3.4,No,530.22,Yes
CAS-00463,6,Basic,21.34,8,0,0,No,Credit Card,392,No,3.2,No,272.45,Yes
CAS-00464,3,Basic,20.28,2,0,2,No,Debit Card,328,No,4.8,No,54.69,No
CAS-00465,9,Curated,34.1,5,0,1,No,Credit Card,449,Yes,2.6,No,561.44,Yes
CAS-00466,10,Curated,29.47,3,1,2,No,Credit Card,217,Yes,3.3,No,322.45,Yes
CAS-00467,46,Basic,22.4,4,0,2,No,PayPal,655,No,4.2,No,2450.73,Yes
CAS-00468,45,Basic,17.59,5,1,2,No,Credit Card,431,No,3.1,No,1000.87,Yes
CAS-00469,18,Deluxe,54.93,2,0,5,No,Debit Card,224,No,4.1,No,905.62,No
CAS-00470,46,Basic,19.77,5,1,2,No,Debit Card,206,No,3.2,No,635.8,No
CAS-00471,31,Deluxe,51.6,5,1,4,No,Credit Card,185,Yes,4.8,No,3021.33,No
CAS-00472,37,Deluxe,54.73,9,0,2,Yes,PayPal,163,Yes,3.8,No,2780.15,No
CAS-00473,25,Basic,23.02,4,0,1,No,Buy Now Pay Later,264,No,4.1,No,450.73,No
CAS-00474,2,Curated,32.45,3,1,3,No,Debit Card,518,Yes,3.9,Yes,286.38,No
CAS-00475,47,Basic,18.7,5,2,0,No,Debit Card,85,No,4.1,No,1358.88,Yes
CAS-00476,28,Deluxe,50.38,3,0,1,No,PayPal,467,Yes,4.0,No,1798.33,No
CAS-00477,5,Curated,34.09,4,1,1,Yes,Buy Now Pay Later,134,Yes,4.4,No,304.98,No
CAS-00478,14,Basic,20.13,5,1,2,No,Credit Card,515,Yes,3.7,No,437.23,Yes
CAS-00479,4,Basic,25.09,7,0,2,No,Debit Card,352,No,3.5,No,211.5,Yes
CAS-00480,5,Basic,17.6,9,0,0,No,Debit Card,327,Yes,4.4,No,268.26,No
CAS-00481,34,Deluxe,48.04,7,3,1,No,Credit Card,271,No,4.7,No,1714.45,Yes
CAS-00482,34,Curated,42.77,8,3,3,No,Credit Card,560,No,4.5,No,2002.62,No
CAS-00483,42,Basic,21.06,5,1,0,No,PayPal,540,Yes,3.9,No,1478.02,No
CAS-00484,39,Basic,19.08,2,0,3,No,Credit Card,33,Yes,3.6,No,1096.88,Yes
CAS-00485,39,Basic,21.49,8,1,0,Yes,Credit Card,1057,No,5.0,No,1473.9,Yes
CAS-00486,34,Basic,20.42,5,0,0,No,Credit Card,401,Yes,4.0,No,500.29,Yes
CAS-00487,17,Basic,21.39,2,0,0,No,PayPal,271,Yes,4.1,No,435.35,Yes
CAS-00488,29,Deluxe,46.55,7,0,1,No,Credit Card,220,Yes,3.5,No,1872.23,No
CAS-00489,1,Curated,27.41,3,0,0,No,Credit Card,864,Yes,3.7,No,288.62,Yes
CAS-00490,27,Deluxe,65.34,4,0,0,No,Credit Card,238,Yes,3.3,No,1933.73,No
CAS-00491,7,Curated,37.25,3,1,0,Yes,Credit Card,438,No,5.0,No,378.44,No
CAS-00492,19,Basic,23.82,8,0,1,No,Credit Card,1150,Yes,2.6,No,1147.12,Yes
CAS-00493,28,Curated,36.27,6,2,1,No,Credit Card,914,No,4.4,No,1545.26,No
CAS-00494,14,Deluxe,53.51,8,0,0,No,PayPal,85,No,4.8,No,807.79,No
CAS-00495,41,Basic,17.05,2,0,0,No,Buy Now Pay Later,222,No,4.0,No,1160.83,No
CAS-00496,5,Curated,35.19,6,0,3,No,Debit Card,124,Yes,3.3,No,308.85,Yes
CAS-00497,14,Basic,18.49,7,0,1,No,Debit Card,203,Yes,4.6,No,376.54,No
CAS-00498,33,Curated,34.88,2,0,1,No,PayPal,202,Yes,3.8,Yes,1483.13,No
CAS-00499,9,Curated,32.34,12,0,1,No,Credit Card,464,No,5.0,No,364.86,No
CAS-00500,40,Curated,34.51,6,1,2,No,Credit Card,25,No,3.6,No,1599.78,No
CAS-00501,25,Curated,36.69,8,0,0,No,Credit Card,228,Yes,5.0,No,1568.37,No
CAS-00502,19,Deluxe,51.08,3,0,3,No,Buy Now Pay Later,344,No,3.1,No,1668.92,No
CAS-00503,10,Basic,21.16,4,1,2,No,Debit Card,292,No,3.8,No,298.35,Yes
CAS-00504,41,Deluxe,61.38,6,1,0,No,Credit Card,218,Yes,5.0,No,5303.34,No
CAS-00505,25,Basic,24.57,6,0,5,No,Credit Card,560,No,3.5,No,776.94,Yes
CAS-00506,8,Curated,31.23,6,0,0,No,PayPal,732,No,4.6,Yes,856.42,No
CAS-00507,5,Basic,19.29,8,0,1,No,Credit Card,385,Yes,3.9,No,314.61,Yes
CAS-00508,22,Curated,30.39,6,2,2,No,Credit Card,454,No,5.0,No,904.04,No
CAS-00509,46,Deluxe,56.61,5,0,2,No,Credit Card,293,Yes,3.8,Yes,1580.23,No
CAS-00510,21,Curated,30.47,3,0,2,No,Credit Card,42,Yes,5.0,No,443.13,Yes
CAS-00511,48,Basic,20.22,8,0,1,No,Credit Card,34,No,4.4,No,847.58,No
CAS-00512,42,Deluxe,58.03,5,1,0,No,Buy Now Pay Later,66,Yes,4.9,No,2071.84,No
CAS-00513,35,Basic,20.64,6,1,0,No,Debit Card,173,No,3.9,No,1104.07,No
CAS-00514,5,Basic,19.6,9,1,2,No,Debit Card,683,Yes,4.2,Yes,326.67,Yes
CAS-00515,16,Basic,20.72,4,0,1,No,Credit Card,500,Yes,3.0,No,509.7,Yes
CAS-00516,36,Basic,19.36,4,2,2,No,Credit Card,196,Yes,4.0,No,1605.39,Yes
CAS-00517,32,Curated,28.75,3,0,1,Yes,Credit Card,207,Yes,3.7,Yes,1191.02,No
CAS-00518,38,Deluxe,47.57,8,0,3,No,PayPal,391,Yes,4.3,No,3422.67,No
CAS-00519,4,Basic,17.64,6,0,2,No,Debit Card,388,Yes,4.4,No,166.68,Yes
CAS-00520,12,Basic,19.01,8,0,0,No,Credit Card,140,No,4.0,No,490.91,Yes
CAS-00521,13,Deluxe,55.19,4,1,4,No,Credit Card,434,Yes,4.7,No,778.87,No
CAS-00522,23,Curated,32.43,4,0,1,No,PayPal,284,No,3.9,No,788.24,Yes
CAS-00523,2,Curated,37.0,9,2,1,No,Credit Card,836,No,4.8,No,515.51,Yes
CAS-00524,1,Basic,14.7,9,0,2,No,Credit Card,219,Yes,4.0,Yes,122.21,Yes
CAS-00525,1,Curated,33.85,5,2,1,No,Debit Card,576,Yes,4.8,No,374.72,No
CAS-00526,42,Basic,23.77,4,0,0,No,Debit Card,291,Yes,3.8,No,1686.43,No
CAS-00527,25,Basic,18.86,7,0,0,No,Credit Card,176,No,2.5,No,179.36,No
CAS-00528,30,Curated,35.58,7,0,2,No,Credit Card,305,No,4.2,No,1272.05,Yes
CAS-00529,24,Deluxe,54.56,3,0,1,No,PayPal,96,No,5.0,No,2652.04,Yes
CAS-00530,42,Basic,18.46,6,0,2,No,Credit Card,185,Yes,3.3,No,838.01,Yes
CAS-00531,45,Curated,36.18,5,1,3,No,Credit Card,300,Yes,3.7,No,1698.37,Yes
CAS-00532,22,Curated,29.62,4,1,0,No,PayPal,107,No,4.2,No,780.14,No
CAS-00533,4,Basic,22.59,12,1,1,No,Credit Card,540,Yes,3.8,No,351.85,Yes
CAS-00534,20,Curated,37.72,5,4,0,No,Debit Card,82,No,3.6,No,755.45,No
CAS-00535,17,Deluxe,47.31,8,4,2,No,Credit Card,141,No,4.0,No,1271.44,No
CAS-00536,47,Basic,19.87,3,0,0,No,PayPal,459,No,5.0,No,805.02,Yes
CAS-00537,23,Deluxe,47.07,3,1,0,No,Debit Card,485,Yes,3.0,No,1874.79,Yes
CAS-00538,35,Curated,40.56,7,1,2,No,Credit Card,147,Yes,4.1,No,1485.74,No
CAS-00539,18,Curated,35.92,2,0,1,No,Debit Card,273,Yes,4.4,No,754.39,No
CAS-00540,17,Basic,16.28,2,1,1,No,Credit Card,109,Yes,3.9,No,224.79,No
CAS-00541,12,Curated,39.92,6,1,2,No,Debit Card,332,No,3.0,No,538.41,Yes
CAS-00542,41,Curated,37.46,8,0,1,No,Credit Card,263,No,4.2,No,2260.53,No
CAS-00543,44,Deluxe,48.15,3,0,1,No,Credit Card,93,No,5.0,No,3031.1,No
CAS-00544,35,Deluxe,54.61,10,1,0,No,Credit Card,429,No,3.7,No,2954.23,No
CAS-00545,22,Basic,18.67,6,0,1,No,Credit Card,361,Yes,5.0,No,493.47,Yes
CAS-00546,16,Curated,35.83,11,0,1,No,Credit Card,319,Yes,2.7,No,418.21,No
CAS-00547,31,Basic,18.76,5,0,1,No,Credit Card,231,No,4.9,No,731.36,Yes
CAS-00548,32,Deluxe,54.64,8,1,2,No,PayPal,209,No,3.9,No,1262.24,No
