viewer_id,months_subscribed,plan_level,monthly_rate,devices_registered,weekly_watch_hours,autoplay_next_episode,payment_method,binge_sessions_per_month,signup_channel,num_profiles,days_since_last_watch,parental_controls_enabled,projected_lifetime_value,subscription_lapsed
SOL-00687,23,Standard,11.47,3,8.7,Yes,Credit Card,4,App Store,1,14,No,370.37,No
SOL-00688,3,Standard,11.63,1,4.5,No,PayPal,4,App Store,3,7,No,0.0,No
SOL-00689,12,Standard,11.39,1,8.9,Yes,Credit Card,3,App Store,2,14,No,236.02,No
SOL-00690,10,Ad-Lite,6.35,1,4.7,Yes,PayPal,4,App Store,3,1,No,165.71,Yes
SOL-00691,5,Standard,11.71,4,11.5,No,Credit Card,0,App Store,1,8,No,173.87,No
SOL-00692,12,Ultra,18.39,1,3.5,No,Mobile Carrier Billing,7,Web,2,23,No,116.95,No
SOL-00693,4,Standard,12.17,3,4.8,Yes,Mobile Carrier Billing,4,App Store,1,9,No,128.93,No
SOL-00694,34,Standard,11.04,2,4.9,Yes,Credit Card,3,Web,4,25,No,239.33,No
SOL-00695,24,Ad-Lite,5.1,2,8.3,Yes,Credit Card,5,App Store,2,5,No,245.91,Yes
SOL-00696,10,Standard,13.63,2,1.1,Yes,Credit Card,2,App Store,1,4,No,180.4,Yes
SOL-00697,12,Ad-Lite,6.4,2,2.3,Yes,PayPal,4,Partner Bundle,1,10,No,30.12,Yes
SOL-00698,14,Standard,13.04,3,1.6,Yes,Mobile Carrier Billing,4,Partner Bundle,2,14,No,281.07,No
SOL-00699,29,Ad-Lite,6.28,1,3.4,No,Mobile Carrier Billing,4,Partner Bundle,1,5,No,141.19,Yes
SOL-00700,16,Standard,11.86,4,9.8,Yes,Mobile Carrier Billing,9,Partner Bundle,2,6,No,302.82,No
SOL-00701,6,Ad-Lite,5.94,3,10.4,Yes,Credit Card,4,Web,2,2,No,3.73,Yes
SOL-00702,20,Ultra,18.16,5,3.3,No,PayPal,2,Web,2,12,Yes,491.05,No
SOL-00703,40,Ad-Lite,5.63,3,8.6,Yes,PayPal,4,App Store,1,22,Yes,138.26,No
SOL-00704,10,Ultra,15.46,3,6.6,No,Credit Card,3,App Store,3,15,Yes,145.28,No
SOL-00705,13,Ad-Lite,5.96,3,11.9,No,Credit Card,6,Web,1,3,Yes,90.08,Yes
SOL-00706,27,Ad-Lite,4.51,3,11.9,No,Mobile Carrier Billing,4,App Store,4,10,No,132.58,No
SOL-00707,9,Ad-Lite,6.8,1,4.1,No,Credit Card,7,Web,4,10,No,188.64,No
SOL-00708,14,Standard,10.92,2,13.8,Yes,Credit Card,3,App Store,4,5,No,154.14,No
SOL-00709,18,Ad-Lite,4.41,2,2.0,No,PayPal,1,App Store,5,8,No,115.3,No
SOL-00710,5,Ad-Lite,5.27,2,9.7,Yes,Gift Card,3,App Store,2,18,Yes,181.57,Yes
SOL-00711,1,Ad-Lite,6.07,1,11.0,Yes,PayPal,3,Web,3,5,No,0.0,No
SOL-00712,15,Ad-Lite,5.94,3,1.5,Yes,Gift Card,3,App Store,3,12,No,291.86,Yes
SOL-00713,6,Standard,11.59,2,3.4,No,Credit Card,3,Web,3,20,No,10.88,No
SOL-00714,13,Ad-Lite,6.44,1,5.1,Yes,Mobile Carrier Billing,6,App Store,2,14,No,66.29,Yes
SOL-00715,9,Ultra,14.88,1,2.7,Yes,PayPal,5,Partner Bundle,1,1,Yes,205.08,Yes
SOL-00716,5,Ad-Lite,5.67,2,8.7,Yes,Mobile Carrier Billing,3,Web,3,16,Yes,0.0,Yes
SOL-00717,40,Ad-Lite,6.48,2,3.9,No,Gift Card,0,App Store,3,22,No,198.62,Yes
SOL-00718,6,Standard,12.53,2,3.7,No,Credit Card,3,Web,2,21,No,133.55,No
SOL-00719,10,Standard,14.17,2,15.9,No,PayPal,5,App Store,2,11,No,167.46,No
SOL-00720,9,Ultra,17.16,5,1.3,No,Gift Card,2,App Store,4,22,No,193.98,No
SOL-00721,25,Ad-Lite,7.0,4,4.5,Yes,Credit Card,7,App Store,1,8,No,174.11,No
SOL-00722,33,Ultra,18.81,1,15.0,No,PayPal,1,App Store,3,9,No,919.07,No
SOL-00723,10,Standard,12.65,3,10.4,Yes,Credit Card,2,Partner Bundle,4,6,No,29.26,No
SOL-00724,24,Ad-Lite,5.54,1,5.0,No,Mobile Carrier Billing,4,App Store,2,5,No,178.73,No
SOL-00725,21,Ad-Lite,6.23,3,10.7,No,Credit Card,1,Web,2,13,Yes,5.0,No
SOL-00726,29,Ad-Lite,7.04,1,1.0,Yes,Mobile Carrier Billing,3,App Store,2,2,Yes,48.52,Yes
SOL-00727,8,Standard,10.5,2,9.8,Yes,Credit Card,5,Partner Bundle,2,9,No,101.24,No
SOL-00728,4,Standard,11.68,2,1.7,Yes,Mobile Carrier Billing,0,Web,2,6,No,0.0,Yes
SOL-00729,2,Standard,11.15,2,22.0,Yes,PayPal,2,Web,2,4,No,10.44,Yes
SOL-00730,7,Ad-Lite,6.19,1,5.1,Yes,PayPal,3,Web,1,2,Yes,55.41,No
SOL-00731,19,Ad-Lite,5.24,2,7.3,Yes,Credit Card,2,App Store,3,8,No,91.03,No
SOL-00732,9,Ad-Lite,5.69,3,14.4,Yes,Credit Card,3,Web,1,5,No,50.62,Yes
SOL-00733,7,Standard,11.58,2,21.1,No,Mobile Carrier Billing,4,Web,2,1,No,214.67,Yes
SOL-00734,3,Standard,11.54,2,7.1,No,Mobile Carrier Billing,4,Web,1,22,No,79.75,Yes
SOL-00735,9,Ad-Lite,4.62,3,15.9,Yes,Credit Card,1,Web,1,2,No,69.5,No
SOL-00736,10,Standard,11.17,1,5.8,No,Mobile Carrier Billing,1,Web,3,8,No,128.85,No
SOL-00737,10,Ad-Lite,5.41,2,2.8,Yes,Credit Card,1,Web,1,4,No,9.88,Yes
SOL-00738,11,Ad-Lite,5.43,5,6.1,Yes,Gift Card,1,App Store,2,24,No,21.95,Yes
SOL-00739,25,Ad-Lite,6.81,2,10.1,Yes,Mobile Carrier Billing,2,Web,3,2,Yes,230.93,No
SOL-00740,5,Ad-Lite,6.27,1,10.7,No,Gift Card,5,App Store,3,22,No,88.59,Yes
SOL-00741,15,Ad-Lite,6.89,3,18.1,Yes,PayPal,1,App Store,2,33,No,29.6,Yes
SOL-00742,17,Standard,12.87,2,7.1,Yes,Credit Card,5,App Store,2,1,No,310.55,No
SOL-00743,27,Ultra,17.58,3,6.0,No,PayPal,8,Partner Bundle,2,9,No,216.09,No
SOL-00744,28,Ad-Lite,6.06,1,7.4,No,Mobile Carrier Billing,4,App Store,2,10,No,200.26,Yes
SOL-00745,19,Ad-Lite,4.89,3,8.5,Yes,Mobile Carrier Billing,4,Web,4,4,No,108.1,No
SOL-00746,20,Ultra,17.99,1,5.0,Yes,Credit Card,1,App Store,4,8,Yes,533.9,No
SOL-00747,6,Ad-Lite,6.54,4,4.8,Yes,PayPal,3,Partner Bundle,1,9,Yes,104.4,Yes
SOL-00748,35,Ad-Lite,6.15,4,6.9,Yes,PayPal,4,Web,1,8,No,192.65,Yes
SOL-00749,10,Standard,9.49,2,10.3,No,Credit Card,0,App Store,2,9,No,67.0,No
SOL-00750,27,Ad-Lite,6.34,2,4.1,No,Credit Card,5,Web,4,3,No,172.56,Yes
SOL-00751,27,Standard,12.67,2,1.8,Yes,PayPal,3,App Store,3,2,No,304.04,No
SOL-00752,30,Ad-Lite,6.59,4,4.1,Yes,Credit Card,0,Web,3,33,No,106.06,Yes
SOL-00753,11,Ad-Lite,6.21,1,5.9,Yes,Credit Card,5,App Store,2,7,No,143.13,No
SOL-00754,14,Standard,13.08,1,5.3,Yes,PayPal,2,Partner Bundle,1,5,No,198.07,Yes
SOL-00755,35,Ad-Lite,6.78,2,0.4,Yes,PayPal,4,App Store,1,22,No,360.94,Yes
SOL-00756,12,Ad-Lite,5.95,4,18.6,No,Credit Card,3,App Store,1,38,No,215.35,Yes
SOL-00757,24,Ad-Lite,5.55,3,8.5,Yes,PayPal,3,Partner Bundle,1,8,No,280.98,No
SOL-00758,7,Ultra,16.41,1,6.4,Yes,PayPal,5,Web,2,7,No,337.88,No
SOL-00759,32,Standard,10.74,4,7.8,Yes,Credit Card,0,Web,5,2,No,611.96,No
SOL-00760,33,Ad-Lite,5.26,1,2.2,Yes,Mobile Carrier Billing,5,Web,2,1,No,422.76,Yes
SOL-00761,29,Standard,12.22,2,5.1,Yes,Credit Card,5,Web,1,2,No,719.16,Yes
SOL-00762,5,Standard,11.96,2,6.1,Yes,Mobile Carrier Billing,4,Partner Bundle,1,13,No,122.06,No
SOL-00763,23,Standard,10.56,3,2.5,No,Credit Card,5,Web,1,8,Yes,340.49,No
SOL-00764,11,Ad-Lite,5.7,3,5.6,Yes,PayPal,5,Web,2,8,No,157.56,No
SOL-00765,5,Standard,13.44,1,10.8,Yes,Mobile Carrier Billing,3,Web,2,1,No,78.38,No
SOL-00766,9,Ad-Lite,5.95,2,10.4,Yes,PayPal,2,Web,1,9,No,8.98,No
SOL-00767,23,Ad-Lite,6.67,1,11.3,Yes,Credit Card,5,App Store,1,8,Yes,94.23,No
SOL-00768,25,Ultra,18.68,1,2.8,Yes,Mobile Carrier Billing,3,Partner Bundle,1,4,Yes,645.21,No
SOL-00769,25,Standard,14.05,2,1.4,Yes,Credit Card,7,Partner Bundle,3,14,No,580.61,No
SOL-00770,18,Ad-Lite,5.65,2,6.9,No,PayPal,2,App Store,3,3,No,130.84,Yes
SOL-00771,22,Standard,12.84,2,9.6,No,Credit Card,4,Web,1,18,Yes,157.22,Yes
SOL-00772,9,Ad-Lite,4.44,2,13.9,Yes,PayPal,3,Web,1,5,No,5.36,Yes
SOL-00773,33,Standard,10.75,3,17.9,No,Mobile Carrier Billing,7,App Store,2,7,No,239.33,No
SOL-00774,11,Standard,13.02,2,8.9,No,PayPal,2,App Store,2,3,No,220.06,Yes
SOL-00775,9,Standard,11.85,1,28.4,Yes,Mobile Carrier Billing,3,Web,4,4,No,143.11,No
SOL-00776,17,Ad-Lite,5.08,3,9.3,No,Credit Card,2,Web,3,31,No,89.97,Yes
SOL-00777,27,Ultra,13.81,3,2.7,No,Mobile Carrier Billing,4,Web,2,11,No,285.73,No
SOL-00778,12,Ad-Lite,6.58,1,14.0,Yes,Credit Card,3,App Store,1,12,No,0.0,No
SOL-00779,5,Ad-Lite,4.5,2,6.7,Yes,PayPal,5,Web,2,34,No,45.95,Yes
SOL-00780,37,Ultra,15.66,1,9.6,Yes,Credit Card,2,Web,1,5,No,304.73,No
SOL-00781,28,Standard,11.21,5,7.5,Yes,Mobile Carrier Billing,3,App Store,2,2,No,239.0,No
SOL-00782,18,Standard,13.44,2,7.6,Yes,PayPal,9,App Store,2,3,No,453.94,No
SOL-00783,4,Standard,11.74,2,3.4,Yes,Mobile Carrier Billing,1,Partner Bundle,2,6,No,93.34,No
SOL-00784,9,Standard,11.08,2,2.8,Yes,Mobile Carrier Billing,3,Web,2,13,No,164.43,No
SOL-00785,9,Ad-Lite,6.14,4,6.6,No,Credit Card,1,App Store,1,6,No,0.0,No
SOL-00786,14,Ultra,17.75,2,7.6,Yes,Credit Card,1,Web,1,20,No,158.24,No
SOL-00787,2,Ultra,17.34,2,4.4,Yes,Mobile Carrier Billing,3,App Store,2,18,Yes,7.69,No
SOL-00788,18,Ad-Lite,6.04,3,2.4,Yes,Credit Card,6,Web,4,28,No,110.85,No
SOL-00789,11,Ultra,17.79,3,8.3,No,Credit Card,6,Web,2,4,Yes,219.87,No
SOL-00790,8,Ad-Lite,5.54,1,4.6,No,Credit Card,3,Partner Bundle,1,13,Yes,17.5,Yes
SOL-00791,11,Standard,12.03,5,14.9,Yes,Mobile Carrier Billing,2,App Store,2,16,No,56.12,No
SOL-00792,10,Ultra,16.77,1,4.1,No,Credit Card,5,Web,2,14,No,130.97,No
SOL-00793,23,Standard,11.48,1,6.6,Yes,PayPal,3,Web,3,5,No,326.58,Yes
SOL-00794,8,Standard,10.49,1,3.7,Yes,PayPal,4,App Store,1,14,No,0.0,Yes
SOL-00795,10,Ad-Lite,5.42,3,14.1,Yes,Credit Card,3,Partner Bundle,2,10,Yes,51.97,No
SOL-00796,1,Standard,12.38,2,8.5,Yes,PayPal,2,App Store,3,10,No,0.0,No
SOL-00797,2,Ad-Lite,8.0,2,13.3,No,Credit Card,9,Partner Bundle,1,1,No,109.97,No
SOL-00798,18,Ultra,16.6,2,15.2,Yes,Mobile Carrier Billing,1,Partner Bundle,2,6,No,152.32,No
SOL-00799,12,Ad-Lite,6.54,2,4.8,No,PayPal,5,Web,3,4,No,106.56,Yes
SOL-00800,36,Standard,12.77,2,9.9,No,Mobile Carrier Billing,5,Partner Bundle,3,13,No,807.39,No
SOL-00801,29,Ad-Lite,4.79,3,9.8,Yes,Mobile Carrier Billing,8,Web,2,6,Yes,279.17,Yes
SOL-00802,3,Standard,11.4,3,2.9,No,Credit Card,2,Web,3,9,Yes,59.86,No
SOL-00803,9,Standard,12.46,1,18.7,Yes,Credit Card,3,Web,1,3,No,88.83,Yes
SOL-00804,15,Ad-Lite,6.79,1,26.4,No,Gift Card,1,App Store,2,20,Yes,230.19,No
SOL-00805,21,Standard,12.85,1,10.3,No,PayPal,3,Web,3,23,No,249.72,No
SOL-00806,0,Ultra,15.77,2,1.9,No,PayPal,4,App Store,1,15,No,0.0,No
SOL-00807,2,Ad-Lite,5.32,2,5.9,No,Mobile Carrier Billing,2,App Store,2,5,No,0.0,Yes
SOL-00808,18,Ad-Lite,5.93,1,2.0,Yes,Credit Card,2,Web,1,25,No,80.76,Yes
SOL-00809,9,Standard,10.62,1,12.9,No,Credit Card,5,Partner Bundle,3,4,No,85.68,No
SOL-00810,7,Ultra,14.89,4,6.5,No,Credit Card,4,Web,2,20,No,171.33,No
SOL-00811,12,Ad-Lite,6.48,1,7.8,Yes,PayPal,3,App Store,2,5,No,81.42,Yes
SOL-00812,1,Standard,12.92,2,18.0,No,Gift Card,5,App Store,2,1,No,35.72,No
SOL-00813,12,Ad-Lite,6.26,2,11.6,Yes,PayPal,5,App Store,2,4,No,55.24,Yes
SOL-00814,14,Ad-Lite,6.43,3,5.8,No,Mobile Carrier Billing,5,App Store,2,10,Yes,99.05,No
SOL-00815,3,Ultra,15.05,1,2.5,Yes,Mobile Carrier Billing,1,App Store,2,6,No,0.0,Yes
SOL-00816,10,Ad-Lite,5.96,3,9.6,Yes,Mobile Carrier Billing,9,App Store,2,28,Yes,38.43,Yes
SOL-00817,6,Ultra,17.31,1,8.5,Yes,Credit Card,4,Web,2,3,No,175.41,No
SOL-00818,24,Ad-Lite,5.49,3,4.5,No,Mobile Carrier Billing,3,App Store,1,7,No,122.19,Yes
SOL-00819,10,Ad-Lite,5.54,3,6.8,Yes,PayPal,3,Partner Bundle,4,20,No,108.08,Yes
SOL-00820,36,Ad-Lite,6.14,3,8.1,Yes,PayPal,4,Partner Bundle,3,25,No,239.15,Yes
SOL-00821,27,Ultra,17.85,2,1.4,No,Mobile Carrier Billing,4,Web,4,9,No,408.21,No
SOL-00822,29,Standard,11.07,1,1.6,Yes,Credit Card,3,Web,3,9,Yes,275.83,Yes
SOL-00823,13,Standard,12.85,4,2.1,Yes,Credit Card,2,App Store,3,8,No,199.69,No
SOL-00824,9,Ad-Lite,5.24,4,25.5,No,Credit Card,2,Partner Bundle,1,7,No,145.25,Yes
SOL-00825,11,Ad-Lite,6.44,3,5.4,Yes,PayPal,7,App Store,3,6,Yes,34.57,Yes
SOL-00826,12,Ad-Lite,4.65,2,3.8,Yes,PayPal,2,Web,2,9,No,0.0,Yes
SOL-00827,20,Ad-Lite,6.28,2,1.5,Yes,Mobile Carrier Billing,3,App Store,2,3,No,90.71,No
SOL-00828,16,Ad-Lite,5.6,1,10.1,Yes,Mobile Carrier Billing,3,Web,1,4,No,70.13,No
SOL-00829,15,Standard,11.95,3,6.8,No,Credit Card,1,Web,2,11,No,153.8,No
SOL-00830,3,Ultra,16.33,2,6.1,Yes,PayPal,5,App Store,3,5,No,47.2,Yes
SOL-00831,33,Ad-Lite,7.4,2,12.2,Yes,PayPal,5,Web,2,7,No,177.35,Yes
SOL-00832,35,Ad-Lite,7.75,3,13.8,Yes,Credit Card,4,Web,2,6,Yes,326.89,No
SOL-00833,11,Standard,12.94,5,5.4,No,PayPal,0,App Store,2,10,Yes,313.02,No
SOL-00834,7,Standard,9.94,2,4.8,Yes,PayPal,3,App Store,4,27,Yes,243.66,Yes
SOL-00835,10,Ad-Lite,6.32,3,6.2,Yes,Credit Card,4,Partner Bundle,1,16,No,84.98,Yes
SOL-00836,8,Standard,12.65,1,1.8,Yes,PayPal,5,App Store,3,3,Yes,65.74,No
SOL-00837,10,Ad-Lite,4.87,5,8.8,No,Credit Card,3,Partner Bundle,2,9,No,7.16,Yes
SOL-00838,16,Ad-Lite,6.17,3,14.1,Yes,Mobile Carrier Billing,5,Partner Bundle,2,6,No,253.08,No
SOL-00839,16,Standard,12.93,3,6.3,Yes,Credit Card,2,Web,4,5,Yes,43.77,Yes
SOL-00840,7,Ad-Lite,6.59,3,10.0,Yes,Credit Card,0,Web,3,13,No,0.0,Yes
SOL-00841,22,Standard,12.32,3,7.9,Yes,PayPal,2,Web,3,6,No,402.35,No
SOL-00842,15,Ad-Lite,5.8,4,6.0,No,PayPal,6,Partner Bundle,1,9,No,97.84,No
SOL-00843,12,Standard,14.9,2,2.6,No,Mobile Carrier Billing,4,Web,2,1,No,76.93,Yes
SOL-00844,5,Standard,11.47,2,5.4,No,Credit Card,2,Web,2,8,No,119.56,No
SOL-00845,16,Ultra,16.16,2,8.5,No,Mobile Carrier Billing,2,Partner Bundle,1,11,No,62.82,No
SOL-00846,3,Ultra,15.71,2,2.4,Yes,Credit Card,2,Partner Bundle,2,8,No,5.27,Yes
SOL-00847,6,Ultra,17.94,2,2.7,No,PayPal,0,App Store,2,12,No,16.0,No
SOL-00848,37,Standard,12.52,1,6.9,No,Mobile Carrier Billing,4,App Store,3,4,No,1071.22,No
SOL-00849,34,Standard,13.33,2,14.4,Yes,Mobile Carrier Billing,2,Partner Bundle,1,8,No,658.76,No
SOL-00850,0,Standard,13.7,3,9.3,Yes,Mobile Carrier Billing,5,Web,1,7,Yes,0.0,No
SOL-00851,25,Standard,11.62,3,6.5,Yes,Credit Card,3,App Store,2,2,No,200.64,Yes
SOL-00852,24,Standard,12.61,1,3.6,Yes,PayPal,4,Partner Bundle,2,12,No,614.55,No
SOL-00853,20,Ad-Lite,7.31,2,8.0,Yes,Credit Card,1,Web,4,4,Yes,60.41,Yes
SOL-00854,21,Ultra,17.8,1,2.8,No,Gift Card,2,App Store,3,3,Yes,402.14,No
SOL-00855,11,Ad-Lite,5.96,2,2.8,Yes,Mobile Carrier Billing,3,Web,1,4,No,71.46,Yes
SOL-00856,19,Ad-Lite,6.58,1,3.6,Yes,Credit Card,6,Web,2,15,No,172.12,Yes
SOL-00857,29,Ad-Lite,6.78,5,2.4,Yes,PayPal,4,Web,3,29,No,159.51,No
SOL-00858,18,Ad-Lite,4.24,5,15.5,No,Credit Card,3,Web,1,1,No,108.2,Yes
SOL-00859,5,Standard,12.29,3,1.4,No,Credit Card,5,Web,2,11,No,0.0,Yes
SOL-00860,8,Ad-Lite,5.08,2,11.4,Yes,Credit Card,5,App Store,3,15,Yes,27.27,Yes
SOL-00861,7,Ultra,14.43,1,9.7,No,Mobile Carrier Billing,1,App Store,4,11,No,32.93,Yes
SOL-00862,3,Standard,10.38,2,2.4,Yes,Credit Card,3,App Store,2,13,No,0.0,No
SOL-00863,12,Standard,11.41,3,7.0,Yes,Credit Card,6,App Store,3,4,No,260.25,Yes
SOL-00864,22,Standard,11.32,3,1.9,No,Mobile Carrier Billing,2,App Store,1,1,No,241.81,No
SOL-00865,22,Standard,11.6,2,7.7,No,PayPal,1,App Store,1,2,Yes,175.49,Yes
SOL-00866,7,Ad-Lite,6.45,2,13.8,Yes,Mobile Carrier Billing,3,App Store,1,7,Yes,126.76,Yes
SOL-00867,13,Ultra,18.45,3,3.6,Yes,Mobile Carrier Billing,4,Partner Bundle,1,4,No,444.42,No
SOL-00868,6,Ultra,15.12,1,4.4,Yes,PayPal,4,App Store,2,11,No,24.16,No
SOL-00869,2,Ad-Lite,6.13,2,4.3,No,Credit Card,8,App Store,2,20,Yes,145.15,Yes
SOL-00870,8,Ad-Lite,7.21,1,10.0,Yes,PayPal,3,Partner Bundle,2,19,Yes,133.53,No
SOL-00871,20,Ad-Lite,6.45,2,15.8,Yes,PayPal,5,App Store,2,23,No,113.18,No
SOL-00872,17,Ad-Lite,7.5,4,4.0,Yes,Mobile Carrier Billing,1,App Store,2,13,No,278.76,Yes
SOL-00873,10,Ad-Lite,5.84,5,11.8,Yes,PayPal,3,Web,1,10,No,93.47,Yes
SOL-00874,9,Ad-Lite,5.83,3,7.9,No,PayPal,4,App Store,3,7,Yes,0.0,No
SOL-00875,10,Ad-Lite,4.65,5,14.9,Yes,Credit Card,4,Partner Bundle,1,4,Yes,58.05,Yes
SOL-00876,18,Ad-Lite,5.17,3,8.6,No,Credit Card,1,App Store,3,7,No,118.89,Yes
SOL-00877,42,Standard,13.69,1,15.3,Yes,PayPal,4,App Store,2,5,No,425.46,Yes
SOL-00878,4,Standard,10.63,4,6.5,Yes,Mobile Carrier Billing,7,App Store,4,14,No,148.2,No
SOL-00879,17,Standard,11.94,2,22.4,Yes,PayPal,7,App Store,2,0,No,213.76,No
SOL-00880,29,Ultra,17.85,2,9.3,Yes,Credit Card,3,Web,2,1,No,357.15,No
SOL-00881,22,Standard,11.51,2,1.6,No,PayPal,2,Partner Bundle,4,6,No,298.33,No
SOL-00882,15,Ad-Lite,6.48,5,6.3,Yes,Credit Card,3,App Store,4,27,No,152.38,Yes
SOL-00883,2,Ad-Lite,5.56,2,1.9,No,Credit Card,2,App Store,2,21,No,100.15,Yes
SOL-00884,33,Ad-Lite,6.28,5,1.1,Yes,Mobile Carrier Billing,6,App Store,1,15,No,322.56,Yes
SOL-00885,4,Ad-Lite,6.72,3,2.4,Yes,Credit Card,8,Partner Bundle,2,19,No,99.58,Yes
SOL-00886,23,Standard,13.06,2,5.7,Yes,Gift Card,3,App Store,2,27,No,342.84,No
SOL-00887,10,Ad-Lite,6.15,2,2.6,No,Credit Card,3,App Store,2,2,No,96.62,Yes
SOL-00888,15,Ultra,15.01,3,5.2,No,Credit Card,2,Web,2,3,No,0.0,No
SOL-00889,7,Standard,11.61,2,6.8,Yes,Mobile Carrier Billing,3,App Store,2,2,No,184.9,Yes
SOL-00890,28,Standard,11.89,3,3.9,No,Credit Card,2,App Store,3,10,Yes,229.66,No
SOL-00891,11,Standard,11.93,1,23.2,Yes,Credit Card,1,Web,2,8,No,93.78,No
SOL-00892,30,Standard,10.99,3,8.5,No,Mobile Carrier Billing,0,App Store,1,21,No,177.67,No
SOL-00893,10,Ad-Lite,4.54,1,9.4,No,Mobile Carrier Billing,1,App Store,5,37,No,0.38,Yes
SOL-00894,1,Ad-Lite,6.47,1,7.0,Yes,PayPal,5,Web,5,4,No,3.65,Yes
SOL-00895,11,Standard,10.36,3,6.1,No,Credit Card,4,Web,1,7,No,134.48,No
SOL-00896,10,Ad-Lite,5.22,2,4.4,No,Credit Card,6,Partner Bundle,4,3,No,131.14,No
SOL-00897,8,Ad-Lite,5.55,4,3.8,No,PayPal,2,Web,2,2,No,23.03,Yes
SOL-00898,1,Standard,12.69,2,3.2,No,PayPal,1,Web,2,4,No,8.49,Yes
SOL-00899,10,Ad-Lite,6.33,1,7.7,Yes,Credit Card,3,Web,2,5,Yes,173.77,No
SOL-00900,10,Ad-Lite,6.73,2,5.5,No,Mobile Carrier Billing,5,App Store,5,1,No,111.44,Yes
SOL-00901,23,Ad-Lite,7.02,4,10.5,No,Credit Card,5,Partner Bundle,1,1,Yes,132.58,Yes
SOL-00902,29,Ultra,14.16,1,2.6,No,Credit Card,3,App Store,2,3,Yes,400.95,No
SOL-00903,17,Ad-Lite,6.95,2,18.2,Yes,Gift Card,2,Web,2,3,No,99.73,No
SOL-00904,6,Ad-Lite,6.05,2,8.7,Yes,Credit Card,3,Partner Bundle,3,14,Yes,0.0,Yes
SOL-00905,17,Standard,11.31,2,3.7,Yes,Credit Card,3,Web,1,18,No,264.99,Yes
SOL-00906,29,Standard,12.28,2,7.9,No,Mobile Carrier Billing,5,Partner Bundle,2,3,No,354.49,No
SOL-00907,8,Ad-Lite,5.39,2,6.2,Yes,Mobile Carrier Billing,8,Partner Bundle,3,14,No,10.73,No
SOL-00908,17,Standard,12.34,5,4.6,Yes,Mobile Carrier Billing,7,Web,1,5,No,283.71,No
SOL-00909,10,Ad-Lite,4.5,3,9.2,No,Mobile Carrier Billing,3,Web,1,2,No,116.46,No
SOL-00910,31,Standard,13.72,2,7.1,Yes,Credit Card,4,Partner Bundle,2,27,No,604.61,No
SOL-00911,17,Standard,12.98,2,2.6,Yes,Credit Card,4,App Store,5,9,No,295.86,No
SOL-00912,8,Standard,11.94,2,3.5,Yes,Credit Card,4,App Store,2,1,Yes,238.12,No
SOL-00913,3,Ultra,18.49,2,6.6,Yes,Credit Card,7,App Store,1,10,Yes,82.2,Yes
SOL-00914,10,Standard,12.53,3,17.7,No,Mobile Carrier Billing,3,App Store,1,5,Yes,64.84,No
SOL-00915,21,Standard,10.83,2,2.1,Yes,Mobile Carrier Billing,6,App Store,1,6,No,333.54,No
SOL-00916,9,Standard,12.01,4,1.8,Yes,Mobile Carrier Billing,2,App Store,2,9,Yes,94.62,No
SOL-00917,18,Ad-Lite,6.02,3,2.9,Yes,Mobile Carrier Billing,5,Web,5,5,No,176.06,Yes
SOL-00918,11,Standard,11.04,1,8.0,Yes,Credit Card,2,App Store,3,1,No,118.4,No
SOL-00919,19,Standard,13.27,1,9.8,Yes,Credit Card,3,Partner Bundle,3,7,No,277.86,No
SOL-00920,23,Ad-Lite,7.14,2,3.5,No,Credit Card,3,App Store,3,7,No,110.31,No
SOL-00921,11,Ad-Lite,6.09,1,3.4,No,Credit Card,2,App Store,4,12,No,77.6,Yes
SOL-00922,5,Standard,11.36,1,7.1,Yes,PayPal,6,Web,2,7,No,71.16,No
SOL-00923,15,Standard,12.58,3,9.9,No,PayPal,1,App Store,1,10,No,172.55,Yes
SOL-00924,2,Standard,11.63,2,4.6,Yes,PayPal,3,Web,2,3,No,77.22,No
SOL-00925,27,Ad-Lite,6.69,2,5.6,No,PayPal,6,Web,2,2,Yes,244.77,No
SOL-00926,6,Standard,12.1,3,4.1,No,Gift Card,3,Web,4,0,No,129.05,No
SOL-00927,12,Ad-Lite,7.45,3,5.5,No,Credit Card,3,Web,1,13,No,219.41,No
SOL-00928,12,Standard,13.55,4,9.0,Yes,PayPal,5,App Store,3,18,No,232.9,No
SOL-00929,9,Ad-Lite,5.86,2,7.8,Yes,Credit Card,2,App Store,2,7,Yes,118.17,Yes
SOL-00930,26,Ad-Lite,4.56,2,11.4,No,Credit Card,2,App Store,1,33,No,101.99,Yes
SOL-00931,9,Ad-Lite,6.69,5,3.7,Yes,PayPal,3,App Store,4,10,No,37.5,No
SOL-00932,1,Ad-Lite,4.7,3,5.6,Yes,Credit Card,1,Web,5,9,Yes,132.58,Yes
SOL-00933,5,Standard,11.33,2,8.7,No,Credit Card,3,Web,1,24,Yes,74.41,No
SOL-00934,17,Ad-Lite,5.12,3,9.7,Yes,Credit Card,2,Web,2,6,No,152.18,Yes
SOL-00935,12,Standard,12.44,2,5.6,Yes,Mobile Carrier Billing,4,App Store,2,5,No,185.28,No
SOL-00936,18,Standard,11.86,1,14.1,No,Credit Card,4,Web,2,10,Yes,382.71,No
SOL-00937,4,Standard,12.19,2,5.1,Yes,Gift Card,3,Partner Bundle,3,2,Yes,85.5,No
