client_id,account_tenure,portfolio_tier,annual_fee_revenue,advisor_assigned,contact_frequency_per_year,num_accounts_held,digital_logins_per_month,referred_by_client,risk_tolerance_profile,estate_planning_client,avg_response_time_hours,has_joint_account,portfolio_value_estimate,left_firm
FVW-00274,8,Core,1936.02,No,5,3,5,Yes,Conservative,No,16.7,Yes,12402.36,No
FVW-00275,3,Core,1955.08,Yes,3,2,5,Yes,Aggressive,Yes,7.0,No,3550.13,Yes
FVW-00276,25,Premier,5350.09,Yes,3,3,7,No,Aggressive,Yes,10.8,No,201011.7,No
FVW-00277,7,Premier,6311.5,No,5,4,4,No,Conservative,No,14.2,No,36215.46,No
FVW-00278,11,Core,1976.07,No,3,1,7,No,Moderate,No,6.1,No,22738.88,Yes
FVW-00279,23,Private,9669.64,Yes,3,2,3,No,Conservative,No,8.5,No,292741.87,No
FVW-00280,17,Core,2559.92,Yes,2,2,1,No,Conservative,No,3.2,No,59277.1,No
FVW-00281,4,Core,1961.32,No,3,3,3,No,Aggressive,No,5.7,Yes,6521.5,Yes
FVW-00282,3,Core,2753.81,Yes,3,2,4,No,Aggressive,No,17.6,No,13836.78,No
FVW-00283,10,Private,14370.77,No,4,5,2,Yes,Moderate,No,7.9,No,141749.47,No
FVW-00284,2,Premier,5006.34,Yes,3,1,5,No,Aggressive,No,21.5,No,12755.17,No
FVW-00285,2,Core,1772.86,No,2,3,5,No,Conservative,No,21.6,No,10282.87,Yes
FVW-00286,25,Private,11952.93,No,5,1,3,No,Conservative,Yes,3.3,No,218938.22,No
FVW-00287,20,Core,2651.82,No,5,1,0,Yes,Moderate,No,4.8,No,54928.44,No
FVW-00288,20,Private,16637.17,No,5,3,3,Yes,Conservative,No,9.2,No,199360.4,No
FVW-00289,20,Premier,5658.6,Yes,5,1,5,No,Moderate,No,15.6,No,97963.07,No
FVW-00290,20,Private,12223.52,No,5,3,5,No,Moderate,No,16.7,Yes,144069.63,No
FVW-00291,14,Core,1309.17,Yes,5,1,4,No,Moderate,No,37.3,No,37240.38,No
FVW-00292,25,Private,13016.23,No,4,2,7,No,Conservative,No,5.3,Yes,359057.59,No
FVW-00293,20,Core,2082.82,No,3,3,0,No,Moderate,No,1.2,No,35248.19,No
FVW-00294,11,Private,13868.39,Yes,6,2,1,No,Moderate,Yes,11.8,No,97673.77,No
FVW-00295,23,Premier,6285.82,No,3,3,1,Yes,Conservative,Yes,37.9,No,77968.59,No
FVW-00296,0,Core,2335.83,No,3,4,3,No,Moderate,No,14.4,No,1173.94,Yes
FVW-00297,24,Premier,4399.46,Yes,3,2,4,No,Moderate,No,15.8,No,191144.2,No
FVW-00298,20,Core,2734.39,No,2,3,3,No,Moderate,No,4.2,No,59053.01,No
FVW-00299,17,Premier,5905.87,No,6,2,4,No,Moderate,Yes,10.5,No,135575.61,No
FVW-00300,8,Premier,5550.83,No,6,2,5,Yes,Moderate,No,7.1,No,43041.56,No
FVW-00301,5,Core,2084.97,No,4,2,2,No,Aggressive,No,13.9,No,0.0,Yes
FVW-00302,6,Premier,5372.43,Yes,5,5,2,No,Conservative,No,2.3,Yes,12155.06,No
FVW-00303,23,Core,2261.13,Yes,5,2,1,No,Conservative,No,6.4,Yes,28396.91,No
FVW-00304,24,Premier,6272.2,Yes,7,2,5,No,Moderate,No,3.8,Yes,178347.0,No
FVW-00305,10,Core,2127.71,No,6,3,5,No,Moderate,No,13.6,Yes,20474.68,No
FVW-00306,7,Core,2088.95,No,1,1,0,No,Moderate,No,9.6,No,12040.95,No
FVW-00307,6,Core,2307.96,No,1,1,2,No,Conservative,No,24.6,No,15492.19,No
FVW-00308,8,Premier,6119.26,Yes,4,4,4,No,Aggressive,Yes,3.5,No,27182.11,No
FVW-00309,5,Premier,6663.83,Yes,1,2,2,No,Moderate,No,12.3,Yes,27688.03,No
FVW-00310,16,Core,2376.77,Yes,1,4,2,No,Moderate,No,13.8,No,35876.31,Yes
FVW-00311,7,Premier,4844.22,No,2,3,3,No,Conservative,No,36.3,No,27737.68,No
FVW-00312,14,Private,14792.05,Yes,4,2,3,No,Aggressive,No,7.6,No,99101.12,No
FVW-00313,20,Premier,6177.91,Yes,3,3,3,Yes,Conservative,No,17.3,No,65058.37,No
FVW-00314,2,Core,2463.72,Yes,3,3,2,No,Conservative,No,28.5,Yes,2528.14,No
FVW-00315,23,Premier,6223.92,Yes,4,2,2,Yes,Conservative,No,11.7,No,129279.95,No
FVW-00316,18,Core,2102.72,Yes,1,9,9,No,Aggressive,No,5.0,No,35107.83,No
FVW-00317,12,Premier,4186.61,No,7,6,4,No,Moderate,No,26.9,Yes,45043.95,No
FVW-00318,17,Core,1962.04,No,5,5,2,No,Conservative,No,12.8,No,36301.13,No
FVW-00319,0,Core,2888.39,Yes,3,2,2,No,Conservative,No,1.9,No,4535.67,No
FVW-00320,19,Premier,5228.91,No,1,2,2,No,Conservative,Yes,11.3,Yes,56792.95,No
FVW-00321,4,Private,11858.73,Yes,5,2,3,No,Moderate,Yes,1.1,Yes,71651.54,No
FVW-00322,11,Core,1780.19,No,5,3,4,No,Aggressive,No,17.4,No,17554.75,No
FVW-00323,3,Core,2311.08,No,3,4,4,No,Conservative,No,18.1,No,4676.77,No
FVW-00324,4,Core,2020.37,No,6,1,5,No,Aggressive,No,6.9,No,11400.51,No
FVW-00325,1,Premier,5374.52,Yes,11,2,2,Yes,Conservative,Yes,20.0,Yes,5041.37,No
FVW-00326,24,Core,2445.04,Yes,4,1,3,No,Conservative,Yes,18.6,No,48768.57,No
FVW-00327,23,Premier,5674.64,No,3,1,7,No,Conservative,No,12.6,No,88361.76,No
FVW-00328,19,Core,1881.07,No,6,1,1,Yes,Conservative,Yes,14.1,No,35414.81,No
FVW-00329,23,Private,19975.86,Yes,2,4,2,No,Moderate,No,10.4,Yes,407785.05,No
FVW-00330,12,Core,2410.63,Yes,0,3,2,No,Moderate,No,1.4,Yes,20278.91,Yes
FVW-00331,23,Core,2422.84,No,7,1,6,No,Moderate,No,6.0,No,41996.34,No
FVW-00332,14,Premier,5111.45,No,5,2,3,No,Moderate,No,17.8,No,107600.93,No
FVW-00333,14,Premier,5923.54,No,1,2,5,No,Conservative,No,14.5,Yes,72239.93,No
FVW-00334,7,Premier,6425.29,Yes,3,4,2,No,Aggressive,No,2.2,No,31169.8,No
FVW-00335,12,Premier,5291.03,No,1,4,4,No,Aggressive,Yes,4.7,Yes,101101.44,No
FVW-00336,22,Premier,5052.28,Yes,3,5,4,Yes,Moderate,No,9.4,No,168624.25,No
FVW-00337,11,Private,9000.0,No,5,3,2,No,Moderate,Yes,6.5,No,67704.76,No
FVW-00338,4,Premier,6475.14,No,3,1,1,No,Moderate,Yes,14.0,No,54905.62,No
FVW-00339,20,Premier,4050.8,Yes,2,1,1,Yes,Conservative,No,5.0,Yes,44390.35,No
FVW-00340,13,Premier,6978.7,No,4,1,5,No,Aggressive,No,16.2,Yes,111746.98,No
FVW-00341,24,Premier,5733.95,No,2,3,3,Yes,Conservative,No,16.5,No,122982.22,No
FVW-00342,15,Premier,4889.05,No,4,3,5,Yes,Aggressive,No,27.8,No,48476.04,No
FVW-00343,10,Core,1279.42,No,4,2,2,No,Moderate,Yes,5.1,Yes,13072.18,Yes
FVW-00344,23,Premier,6495.74,Yes,1,1,2,No,Conservative,Yes,10.8,Yes,172809.73,No
FVW-00345,19,Private,15206.87,Yes,3,2,2,No,Aggressive,Yes,13.3,Yes,202202.53,No
FVW-00346,1,Core,1906.91,No,5,4,5,No,Moderate,No,21.7,Yes,0.0,Yes
FVW-00347,2,Premier,7331.88,No,5,2,3,No,Moderate,No,0.5,No,23481.74,No
FVW-00348,11,Core,2258.07,No,8,1,4,No,Moderate,No,4.5,No,18409.68,No
FVW-00349,4,Private,13062.43,Yes,6,2,4,Yes,Moderate,No,5.2,No,64104.85,No
FVW-00350,15,Core,2210.37,No,1,4,1,No,Aggressive,No,7.6,No,22817.14,No
FVW-00351,4,Core,1830.74,Yes,3,3,5,No,Conservative,No,13.2,Yes,12000.23,No
FVW-00352,9,Premier,4536.67,No,1,4,2,No,Moderate,Yes,16.9,No,22455.69,No
FVW-00353,25,Premier,5411.9,No,2,3,1,No,Moderate,No,11.8,Yes,132344.86,No
FVW-00354,19,Core,1492.56,No,7,1,4,No,Conservative,No,11.1,No,19238.14,No
FVW-00355,3,Premier,6468.06,No,10,3,3,No,Moderate,No,21.2,No,16253.19,No
FVW-00356,4,Premier,4949.5,No,6,2,4,No,Moderate,No,12.2,No,38908.15,No
FVW-00357,3,Core,1660.43,Yes,6,4,5,No,Moderate,No,2.7,Yes,2621.87,Yes
FVW-00358,1,Core,2893.06,Yes,2,4,5,No,Aggressive,No,11.9,No,6636.3,No
FVW-00359,20,Core,2789.69,No,1,3,3,No,Conservative,No,6.3,Yes,62543.24,No
FVW-00360,0,Premier,5490.54,Yes,2,3,2,No,Conservative,Yes,12.5,No,164.37,No
FVW-00361,7,Core,2182.59,Yes,2,2,9,No,Moderate,Yes,9.2,No,19785.18,No
FVW-00362,9,Core,1914.53,No,3,1,4,Yes,Conservative,No,28.4,No,22482.57,No
FVW-00363,24,Core,1868.32,No,1,2,2,No,Moderate,No,0.7,No,55570.05,Yes
FVW-00364,5,Premier,4884.84,Yes,5,1,2,Yes,Conservative,No,4.4,No,26889.33,Yes
FVW-00365,7,Private,9217.29,No,4,2,2,No,Aggressive,No,2.8,Yes,98469.89,No
FVW-00366,11,Core,1803.24,No,6,2,5,No,Aggressive,No,8.5,No,29733.21,No
FVW-00367,24,Private,17595.31,Yes,7,2,5,Yes,Moderate,Yes,13.5,Yes,593044.29,No
FVW-00368,20,Premier,5459.74,Yes,3,1,3,No,Moderate,No,4.5,No,92749.8,No
FVW-00369,21,Premier,6116.89,No,6,4,6,No,Conservative,Yes,18.9,No,98261.61,No
FVW-00370,14,Premier,5519.51,No,5,3,3,Yes,Conservative,No,24.9,Yes,44358.76,No
FVW-00371,6,Core,1901.88,No,6,2,3,No,Conservative,No,8.0,Yes,9063.79,Yes
FVW-00372,3,Premier,5246.27,No,1,2,4,No,Moderate,No,8.0,No,4251.92,No
FVW-00373,13,Core,1931.33,Yes,2,4,4,No,Conservative,No,8.1,Yes,30692.21,No
FVW-00374,10,Core,1625.46,No,4,2,3,Yes,Moderate,No,21.5,No,39412.5,No
FVW-00375,7,Core,2126.0,No,3,3,1,Yes,Conservative,No,14.8,Yes,15513.38,No
FVW-00376,14,Core,1807.41,Yes,4,4,2,No,Moderate,No,3.6,No,27387.74,No
FVW-00377,1,Core,2432.27,No,4,4,2,No,Conservative,Yes,7.4,No,0.0,No
FVW-00378,24,Core,2202.61,No,11,2,2,Yes,Moderate,No,5.4,No,39451.61,Yes
FVW-00379,25,Core,2155.26,No,3,5,3,No,Moderate,No,30.2,No,39120.49,No
FVW-00380,3,Premier,4728.24,No,5,3,1,No,Moderate,No,16.2,No,14501.11,No
FVW-00381,9,Premier,4635.07,Yes,10,4,7,Yes,Conservative,No,2.2,Yes,56709.48,No
FVW-00382,4,Core,2113.75,No,5,3,1,No,Moderate,No,16.6,No,7144.58,No
FVW-00383,1,Premier,5840.2,Yes,2,7,4,No,Conservative,No,18.1,No,8147.62,No
FVW-00384,11,Core,2577.31,Yes,2,4,3,No,Conservative,No,6.8,No,17106.93,Yes
FVW-00385,22,Core,3021.82,Yes,2,4,3,Yes,Moderate,No,3.6,No,54339.76,No
FVW-00386,21,Premier,5643.32,Yes,2,3,3,No,Moderate,No,21.1,No,148386.58,No
FVW-00387,22,Premier,6768.11,Yes,4,2,3,No,Conservative,No,14.8,No,192517.58,No
FVW-00388,23,Core,2046.31,No,5,2,2,No,Conservative,Yes,52.6,No,45830.22,No
FVW-00389,16,Premier,6449.09,No,7,5,2,Yes,Aggressive,No,7.2,Yes,167915.61,No
FVW-00390,12,Premier,7449.77,Yes,3,2,3,Yes,Conservative,Yes,13.4,No,60935.25,No
FVW-00391,11,Premier,5345.72,No,5,2,2,No,Aggressive,No,22.4,Yes,68683.98,No
FVW-00392,1,Core,2952.32,No,4,1,3,No,Conservative,No,5.4,Yes,8333.47,No
FVW-00393,13,Core,1921.29,No,5,3,6,No,Moderate,No,9.7,No,42909.01,Yes
FVW-00394,2,Premier,5524.21,No,4,4,4,No,Aggressive,No,4.7,Yes,15215.1,No
FVW-00395,0,Core,1708.76,No,4,1,3,Yes,Moderate,No,8.4,No,4702.41,No
FVW-00396,2,Core,2159.24,Yes,5,1,1,No,Moderate,No,6.2,No,2.65,No
FVW-00397,6,Core,2696.47,No,3,4,3,No,Conservative,No,8.9,No,21095.35,No
FVW-00398,4,Premier,5841.88,Yes,0,2,2,No,Moderate,Yes,27.3,Yes,39133.51,No
FVW-00399,0,Core,2632.09,Yes,6,6,2,No,Moderate,No,12.7,Yes,409.44,Yes
FVW-00400,3,Premier,6870.39,Yes,5,1,4,No,Aggressive,No,4.0,Yes,43895.23,Yes
FVW-00401,5,Core,1572.23,No,7,2,3,No,Moderate,Yes,29.7,Yes,8098.69,No
FVW-00402,19,Premier,6820.68,Yes,3,2,0,Yes,Moderate,No,14.9,Yes,123047.78,Yes
FVW-00403,4,Core,2399.99,Yes,9,2,6,Yes,Conservative,No,23.8,No,9758.16,No
FVW-00404,23,Premier,7151.84,No,1,2,3,No,Conservative,Yes,30.2,Yes,112717.25,No
FVW-00405,11,Core,2377.02,No,1,2,2,No,Aggressive,No,33.6,Yes,29142.7,No
FVW-00406,9,Core,2557.89,Yes,2,4,1,No,Aggressive,No,11.0,Yes,17659.03,No
FVW-00407,0,Core,1884.45,Yes,9,2,5,No,Moderate,Yes,17.6,Yes,0.0,No
FVW-00408,12,Private,16408.62,No,1,3,0,No,Aggressive,No,3.0,No,185305.95,No
FVW-00409,1,Core,2166.94,Yes,5,3,2,No,Moderate,No,15.3,No,2428.98,No
FVW-00410,21,Core,2840.97,No,4,1,3,Yes,Conservative,No,3.4,No,47150.28,No
FVW-00411,10,Core,2232.91,Yes,3,3,2,No,Conservative,No,14.0,Yes,10969.75,No
FVW-00412,8,Premier,6362.08,No,3,3,4,Yes,Aggressive,No,5.8,Yes,53499.64,No
FVW-00413,8,Premier,5803.93,No,8,3,4,No,Conservative,No,14.1,Yes,48835.85,No
FVW-00414,6,Core,1815.64,Yes,1,2,4,No,Moderate,No,13.9,No,11491.83,No
FVW-00415,3,Premier,6063.1,No,4,2,5,No,Moderate,No,7.5,No,14829.47,No
FVW-00416,22,Premier,5578.11,Yes,4,3,0,No,Moderate,Yes,22.1,Yes,141578.78,No
FVW-00417,9,Premier,6802.99,Yes,4,2,7,No,Moderate,No,6.5,No,71123.96,No
FVW-00418,24,Core,2051.22,No,1,1,1,No,Moderate,No,17.0,No,34135.07,No
FVW-00419,24,Premier,5922.24,No,5,2,1,No,Conservative,No,19.8,No,159675.32,No
FVW-00420,11,Premier,6312.51,Yes,5,3,2,No,Conservative,No,12.7,Yes,148634.99,No
FVW-00421,10,Core,2191.64,Yes,4,1,6,No,Conservative,No,26.5,No,21785.37,No
FVW-00422,1,Premier,5142.18,Yes,8,3,1,No,Conservative,No,7.2,Yes,2962.85,No
FVW-00423,5,Premier,6530.13,Yes,5,3,3,No,Aggressive,Yes,8.4,Yes,49246.72,No
FVW-00424,24,Core,2962.14,Yes,7,1,1,Yes,Moderate,No,11.5,No,101998.3,Yes
FVW-00425,16,Premier,4513.34,Yes,3,2,2,Yes,Aggressive,No,9.8,Yes,55227.15,No
FVW-00426,10,Private,17303.41,No,4,3,1,No,Aggressive,Yes,21.1,Yes,121737.19,No
FVW-00427,10,Premier,6619.34,Yes,2,1,3,No,Moderate,No,11.9,Yes,58746.6,No
FVW-00428,8,Private,10900.32,No,4,1,3,No,Aggressive,No,1.4,No,137664.66,No
FVW-00429,10,Core,2110.75,Yes,1,6,3,No,Moderate,No,22.5,Yes,35118.95,No
FVW-00430,7,Core,1876.3,No,3,2,3,No,Aggressive,No,15.4,No,13656.22,Yes
FVW-00431,14,Core,2122.76,No,2,1,6,Yes,Moderate,No,9.4,No,69179.06,No
FVW-00432,10,Core,2117.31,No,9,6,4,No,Conservative,No,11.8,No,12067.98,No
FVW-00433,4,Core,1245.76,No,4,4,2,No,Moderate,No,13.3,No,6203.37,Yes
FVW-00434,6,Private,14711.93,No,4,3,5,Yes,Conservative,No,20.3,No,48493.5,No
FVW-00435,22,Core,2370.77,No,3,2,0,No,Moderate,No,2.5,No,73808.54,Yes
FVW-00436,19,Premier,5932.57,Yes,5,1,5,No,Conservative,No,30.0,No,150952.27,No
FVW-00437,20,Core,1951.27,Yes,2,1,1,No,Moderate,No,2.9,No,34612.97,No
FVW-00438,13,Premier,5335.14,No,4,2,1,No,Moderate,No,10.1,No,48730.22,No
FVW-00439,6,Premier,6563.53,No,5,1,4,Yes,Moderate,No,1.8,Yes,29885.96,No
FVW-00440,5,Premier,6137.43,Yes,1,2,4,No,Aggressive,No,16.7,No,11206.86,No
FVW-00441,13,Core,2635.85,Yes,4,5,5,No,Conservative,Yes,6.4,No,32328.88,No
FVW-00442,14,Core,2979.15,No,4,4,0,Yes,Aggressive,No,4.9,Yes,14049.83,No
FVW-00443,18,Premier,4394.92,Yes,4,3,5,No,Conservative,No,20.0,No,52479.07,No
FVW-00444,19,Core,1936.68,Yes,0,4,4,No,Conservative,No,10.6,No,25402.32,No
FVW-00445,13,Core,1787.03,No,5,3,4,No,Moderate,No,31.2,No,43057.1,No
FVW-00446,19,Core,2298.87,No,1,2,2,No,Moderate,No,21.8,Yes,31955.34,No
FVW-00447,25,Core,2131.83,No,7,2,1,No,Moderate,No,36.3,No,75961.52,No
FVW-00448,9,Private,18079.8,Yes,0,1,2,Yes,Conservative,No,2.0,No,262880.64,No
FVW-00449,13,Premier,5502.73,No,5,3,1,No,Conservative,Yes,31.5,Yes,76606.54,No
FVW-00450,15,Core,2604.41,No,4,1,2,Yes,Aggressive,Yes,13.2,Yes,43440.35,No
FVW-00451,0,Premier,5899.3,No,5,2,5,No,Conservative,Yes,8.3,No,2764.06,No
FVW-00452,11,Premier,4983.43,No,3,2,4,Yes,Moderate,No,2.1,No,16733.62,No
FVW-00453,12,Premier,4891.36,Yes,3,5,1,No,Aggressive,No,20.3,Yes,52386.74,No
FVW-00454,24,Core,3200.0,Yes,3,3,2,No,Moderate,No,5.4,Yes,53680.71,No
FVW-00455,18,Private,9000.0,Yes,3,1,4,Yes,Moderate,No,3.6,No,165691.93,No
FVW-00456,4,Core,2790.78,Yes,5,4,6,No,Conservative,Yes,13.6,No,13015.85,No
FVW-00457,8,Premier,4442.27,No,5,4,3,Yes,Moderate,No,21.9,No,53496.07,No
FVW-00458,21,Premier,6729.59,Yes,7,3,3,No,Conservative,No,9.6,No,75090.52,No
FVW-00459,10,Premier,6316.16,Yes,1,4,3,No,Moderate,No,34.9,No,45043.06,No
FVW-00460,18,Private,13852.96,Yes,4,2,2,No,Moderate,No,29.9,Yes,350605.66,No
FVW-00461,9,Premier,6405.07,Yes,4,3,6,No,Conservative,No,0.6,Yes,80372.41,No
FVW-00462,20,Core,2039.07,No,7,1,2,No,Moderate,No,5.9,No,28772.81,No
FVW-00463,17,Core,2019.25,No,4,1,5,Yes,Conservative,No,8.9,Yes,40661.39,Yes
FVW-00464,24,Premier,6410.9,Yes,4,1,4,No,Conservative,Yes,13.3,Yes,69003.5,No
FVW-00465,23,Private,13074.21,Yes,3,2,1,Yes,Moderate,No,29.3,Yes,270661.98,No
FVW-00466,12,Private,15556.91,Yes,5,2,2,No,Moderate,No,10.3,Yes,92378.88,No
FVW-00467,12,Private,12338.25,Yes,7,2,0,Yes,Moderate,No,13.3,Yes,170753.24,No
FVW-00468,21,Private,14979.01,No,4,3,5,No,Conservative,No,20.8,No,276292.16,No
FVW-00469,2,Private,12689.52,Yes,4,5,4,No,Conservative,Yes,6.0,No,31840.65,No
FVW-00470,25,Core,2083.08,No,2,2,3,Yes,Aggressive,No,5.9,No,134633.54,No
FVW-00471,16,Core,2366.13,No,3,5,3,No,Aggressive,No,27.6,Yes,58825.63,No
FVW-00472,4,Premier,6134.49,Yes,1,1,5,Yes,Aggressive,No,4.2,No,13707.36,No
FVW-00473,19,Core,2152.0,No,4,2,7,Yes,Conservative,No,12.3,Yes,27069.26,No
FVW-00474,1,Private,15875.47,Yes,3,2,2,Yes,Aggressive,No,13.3,Yes,12130.52,No
FVW-00475,14,Core,2156.54,No,3,5,5,No,Conservative,Yes,7.2,No,57988.8,No
FVW-00476,1,Premier,5795.3,No,2,3,4,Yes,Conservative,Yes,6.5,Yes,4353.68,No
FVW-00477,8,Core,2637.4,No,4,4,2,No,Conservative,No,13.1,No,48692.36,Yes
FVW-00478,17,Private,15776.05,No,6,1,4,No,Moderate,No,6.4,No,400564.46,No
FVW-00479,23,Premier,5514.14,No,2,2,7,Yes,Moderate,No,12.6,Yes,241287.3,No
FVW-00480,0,Core,1990.12,No,3,5,2,No,Conservative,No,32.6,No,6425.78,Yes
FVW-00481,4,Core,2625.41,No,2,4,4,Yes,Aggressive,No,17.8,Yes,8091.63,No
FVW-00482,12,Premier,5984.1,No,9,3,5,Yes,Conservative,No,2.3,Yes,139775.55,No
FVW-00483,6,Private,9924.21,No,5,2,1,Yes,Moderate,No,28.2,Yes,82265.59,No
FVW-00484,18,Core,2908.03,No,5,3,3,No,Aggressive,No,28.5,No,33061.57,No
FVW-00485,5,Core,3082.92,No,4,1,4,No,Moderate,No,10.4,No,15213.47,No
FVW-00486,11,Premier,6054.24,No,5,2,2,No,Moderate,No,19.0,No,54794.29,No
FVW-00487,2,Private,19308.4,Yes,4,3,4,No,Conservative,Yes,9.9,No,33523.36,No
FVW-00488,4,Core,2600.63,No,0,2,3,Yes,Aggressive,No,3.7,No,14487.71,No
FVW-00489,21,Premier,5595.93,No,4,2,6,No,Aggressive,No,18.4,Yes,149724.13,No
FVW-00490,9,Core,1760.83,No,4,2,1,No,Moderate,No,8.1,Yes,16714.11,Yes
FVW-00491,6,Core,2114.3,Yes,2,4,1,No,Moderate,Yes,9.2,No,17450.53,No
FVW-00492,8,Premier,6722.24,No,3,3,2,No,Conservative,No,10.0,No,39839.08,No
FVW-00493,4,Core,2012.39,No,6,4,4,No,Conservative,No,5.2,No,8779.25,No
FVW-00494,12,Core,2388.78,No,1,3,6,No,Conservative,Yes,15.0,No,39270.98,No
FVW-00495,14,Private,13313.46,No,2,1,3,No,Moderate,Yes,7.3,No,293687.06,No
FVW-00496,13,Core,2110.17,No,3,1,4,No,Conservative,No,7.6,No,30281.54,No
FVW-00497,8,Premier,4986.77,No,3,5,3,Yes,Moderate,No,9.3,Yes,56631.19,No
FVW-00498,16,Premier,5936.66,No,2,2,1,No,Conservative,No,3.3,No,123533.52,No
FVW-00499,22,Core,2116.95,No,6,2,1,No,Moderate,No,25.4,No,41734.93,Yes
FVW-00500,17,Core,1623.07,Yes,2,5,3,No,Conservative,Yes,34.0,No,16602.85,No
FVW-00501,5,Core,1482.5,Yes,4,3,4,Yes,Moderate,Yes,5.4,No,8182.3,No
FVW-00502,12,Private,18107.82,Yes,5,2,2,No,Moderate,Yes,10.9,No,220367.68,No
FVW-00503,3,Private,14471.97,No,5,2,3,No,Moderate,No,1.8,No,44950.29,No
FVW-00504,2,Core,2268.43,No,5,2,4,Yes,Conservative,No,15.7,No,10395.31,No
FVW-00505,22,Premier,6308.52,Yes,3,4,3,No,Moderate,Yes,13.2,No,105775.0,Yes
FVW-00506,9,Premier,4268.83,No,8,2,1,No,Aggressive,No,4.2,Yes,55669.92,No
FVW-00507,6,Premier,5361.47,No,2,2,1,No,Conservative,No,3.9,No,7488.54,No
FVW-00508,20,Premier,3930.62,No,5,2,1,No,Moderate,No,4.0,No,59813.14,Yes
FVW-00509,13,Private,9000.0,Yes,6,1,4,Yes,Conservative,No,9.0,Yes,108082.18,No
FVW-00510,14,Core,2458.0,No,5,3,1,No,Aggressive,No,2.0,No,32143.87,Yes
FVW-00511,20,Core,2315.54,No,1,1,4,No,Moderate,No,4.8,Yes,24164.39,Yes
FVW-00512,25,Premier,6662.51,No,4,2,2,No,Conservative,No,3.3,Yes,226281.76,No
FVW-00513,23,Core,1935.27,No,2,2,3,No,Moderate,No,5.9,No,37107.67,Yes
FVW-00514,4,Premier,4463.48,Yes,4,1,1,No,Aggressive,No,8.2,Yes,8053.0,No
FVW-00515,13,Private,16240.07,No,5,3,1,No,Aggressive,Yes,15.0,No,202833.76,No
FVW-00516,22,Core,2409.41,No,3,2,3,No,Conservative,No,27.0,No,50321.91,Yes
FVW-00517,3,Core,1690.49,No,5,3,2,No,Conservative,No,4.0,No,9922.68,No
FVW-00518,7,Private,15124.77,Yes,6,1,2,No,Moderate,No,13.7,Yes,147749.45,No
FVW-00519,25,Core,1920.75,Yes,6,2,1,No,Moderate,No,24.9,No,50286.45,No
FVW-00520,2,Private,9000.0,No,5,2,6,No,Aggressive,No,21.6,No,21191.0,No
FVW-00521,20,Core,2771.73,No,4,1,0,No,Moderate,No,26.0,No,41008.15,No
FVW-00522,11,Premier,5869.19,No,4,2,6,Yes,Moderate,No,22.7,Yes,75109.51,No
FVW-00523,1,Private,15194.74,Yes,1,2,3,No,Moderate,No,7.7,Yes,20789.07,No
FVW-00524,11,Premier,5472.91,No,2,4,0,No,Conservative,No,33.1,Yes,78493.34,No
FVW-00525,3,Premier,4457.24,Yes,1,1,4,Yes,Conservative,No,8.0,Yes,13658.21,No
FVW-00526,24,Premier,4934.96,Yes,3,3,3,No,Moderate,No,2.6,No,81161.5,No
FVW-00527,25,Premier,5321.06,Yes,3,2,1,No,Moderate,No,35.1,Yes,93265.84,No
FVW-00528,21,Premier,5463.57,Yes,5,5,2,No,Aggressive,Yes,5.9,No,283758.83,No
FVW-00529,5,Core,1747.17,Yes,2,6,4,No,Conservative,No,11.0,No,15092.78,No
FVW-00530,25,Premier,5310.48,Yes,1,1,4,No,Conservative,No,4.8,Yes,100528.81,No
FVW-00531,14,Private,15520.14,No,4,1,2,Yes,Aggressive,No,5.4,No,199285.11,No
FVW-00532,6,Private,16595.17,Yes,5,4,5,No,Conservative,No,19.0,Yes,152067.0,No
FVW-00533,16,Core,2346.46,Yes,6,1,1,Yes,Moderate,No,1.8,No,47812.19,No
FVW-00534,16,Core,1506.63,No,5,2,3,Yes,Moderate,No,20.9,No,18800.23,Yes
FVW-00535,10,Private,10969.44,Yes,6,3,4,Yes,Conservative,No,9.1,No,48615.16,No
FVW-00536,23,Core,2070.78,Yes,2,4,1,No,Aggressive,No,10.6,No,71572.23,No
FVW-00537,7,Core,2616.07,Yes,2,4,4,Yes,Moderate,No,9.1,No,39285.14,No
FVW-00538,13,Private,12761.25,Yes,3,2,1,No,Aggressive,Yes,20.9,No,76152.14,No
FVW-00539,22,Core,2046.8,No,5,3,5,No,Conservative,No,10.8,No,39177.25,Yes
FVW-00540,24,Premier,7415.08,No,3,1,6,Yes,Aggressive,No,12.3,No,194393.27,No
FVW-00541,12,Premier,5259.83,No,8,1,1,No,Conservative,Yes,2.7,No,34143.54,Yes
FVW-00542,14,Premier,4691.12,No,5,1,2,Yes,Conservative,No,6.0,No,168223.91,No
FVW-00543,25,Core,2284.02,Yes,5,2,1,No,Conservative,Yes,14.6,Yes,44998.77,No
FVW-00544,18,Premier,4347.58,No,6,4,4,No,Moderate,No,7.8,No,115978.81,No
FVW-00545,25,Private,16368.41,Yes,4,3,3,Yes,Moderate,No,7.7,Yes,256438.13,No
FVW-00546,11,Premier,6658.81,No,2,2,1,No,Aggressive,No,11.1,Yes,28586.18,No
FVW-00547,4,Core,1995.75,Yes,5,7,3,Yes,Conservative,No,8.7,No,6830.13,No
FVW-00548,10,Core,2042.14,No,5,4,6,No,Aggressive,No,10.5,No,14769.33,No
