customer_id,churned,monthly_bill,tenure_months,estimated_customer_value,plan_type,num_lines,has_international_plan,data_overage_gb,autopay_enabled,device_financing_active,network_type,support_calls_ytd,days_since_last_upgrade,family_plan_member,satisfaction_score
MRD-000997,No,95.98,62,10242.85,Premium,2,Yes,1.61,Yes,Yes,5G,1,24,No,10
MRD-000998,No,82.34,83,10762.2,Premium,3,No,2.3,Yes,No,5G,1,1120,Yes,2
MRD-000999,No,103.02,55,12787.38,Premium,1,No,2.1,Yes,No,5G,2,412,No,8
MRD-001000,No,53.22,58,3860.14,Plus,2,No,1.02,No,Yes,5G,1,970,No,4
MRD-001001,No,45.17,88,3509.25,Basic,2,No,0.83,No,No,5G,2,413,No,7
MRD-001002,No,59.98,65,4702.91,Plus,2,No,8.62,Yes,Yes,4G,2,1187,No,8
MRD-001003,No,38.36,28,816.65,Basic,1,No,2.82,Yes,Yes,5G,0,330,No,9
MRD-001004,No,30.87,57,2751.88,Basic,4,No,5.13,No,No,5G,0,1068,Yes,9
MRD-001005,Yes,20.77,92,4383.95,Basic,1,No,2.79,No,Yes,5G,2,1249,No,4
MRD-001006,Yes,27.68,74,2396.54,Basic,5,Yes,11.19,No,No,4G,3,856,Yes,2
MRD-001007,Yes,35.92,91,1400.31,Basic,1,Yes,4.64,No,No,5G,2,1158,No,5
MRD-001008,No,95.4,72,6147.21,Premium,2,No,0.59,Yes,No,5G,1,214,No,1
MRD-001009,No,35.1,82,3874.67,Basic,2,No,7.59,Yes,No,4G,0,606,No,5
MRD-001010,Yes,53.11,72,4576.19,Plus,3,Yes,6.44,Yes,No,5G,1,1033,Yes,3
MRD-001011,Yes,58.56,81,5043.67,Plus,4,No,0.16,Yes,No,5G,1,858,Yes,8
MRD-001012,Yes,60.79,70,4771.17,Plus,1,No,2.6,No,No,5G,3,1202,No,1
MRD-001013,Yes,63.31,62,3958.64,Plus,1,No,4.76,No,Yes,5G,2,1163,No,6
MRD-001014,Yes,71.39,95,3994.07,Plus,5,No,1.67,Yes,No,4G,2,265,Yes,10
MRD-001015,No,63.15,10,1141.03,Plus,1,Yes,7.22,No,No,5G,0,367,No,7
MRD-001016,No,82.59,74,10681.69,Premium,1,No,5.25,No,No,5G,2,419,No,4
MRD-001017,Yes,29.36,78,4653.36,Basic,2,No,4.79,Yes,No,5G,1,1111,No,3
MRD-001018,Yes,40.0,94,5115.32,Basic,2,No,3.89,No,No,4G,2,1220,No,9
MRD-001019,No,100.74,11,781.29,Premium,3,No,4.36,Yes,No,5G,1,29,Yes,3
MRD-001020,No,39.27,84,2997.36,Basic,1,No,24.96,Yes,Yes,4G,2,1215,No,7
MRD-001021,No,31.33,18,566.04,Basic,1,Yes,12.65,Yes,Yes,5G,0,637,No,6
MRD-001022,No,65.35,76,4391.76,Plus,1,No,4.17,Yes,No,4G,0,683,No,6
MRD-001023,No,57.16,84,3605.86,Plus,1,Yes,0.85,Yes,Yes,4G,2,510,No,6
MRD-001024,No,70.79,62,2914.3,Plus,1,No,3.84,Yes,No,4G,1,17,No,3
MRD-001025,No,57.84,35,933.87,Plus,2,No,1.14,No,No,5G,2,974,No,4
MRD-001026,No,20.71,21,799.29,Basic,1,No,0.34,No,Yes,5G,2,1062,No,3
MRD-001027,Yes,51.45,78,4113.18,Plus,1,Yes,5.88,No,Yes,5G,2,1444,No,8
MRD-001028,No,65.47,39,2183.56,Plus,2,No,8.53,No,Yes,4G,0,163,No,6
MRD-001029,No,123.32,79,8158.31,Premium,1,No,0.41,Yes,No,5G,3,1012,No,5
MRD-001030,No,65.45,79,2581.71,Plus,1,No,6.98,Yes,No,4G,2,88,No,8
MRD-001031,No,88.55,7,1002.4,Premium,2,No,2.19,No,No,5G,0,1104,No,5
MRD-001032,No,72.78,69,7780.37,Plus,2,No,0.16,Yes,Yes,5G,0,157,No,6
MRD-001033,No,106.49,9,684.46,Premium,2,No,4.07,Yes,Yes,4G,2,904,No,9
MRD-001034,No,88.87,4,634.51,Premium,4,No,0.34,Yes,Yes,5G,0,1124,Yes,5
MRD-001035,Yes,35.46,24,1101.65,Basic,2,No,8.02,No,No,4G,2,1424,No,1
MRD-001036,No,50.84,95,14054.69,Plus,3,No,2.77,Yes,No,5G,1,886,Yes,1
MRD-001037,No,32.91,43,2197.88,Basic,3,No,0.16,No,Yes,5G,1,902,Yes,5
MRD-001038,Yes,64.16,32,1373.89,Plus,1,Yes,3.77,Yes,Yes,5G,1,1186,No,5
MRD-001039,No,69.48,19,1723.19,Plus,1,No,0.66,No,No,4G,4,1482,No,2
MRD-001040,No,26.01,82,3092.9,Basic,1,No,0.42,Yes,Yes,4G,2,221,No,3
MRD-001041,No,63.18,7,565.68,Plus,1,No,2.28,Yes,Yes,5G,1,353,No,10
MRD-001042,Yes,35.42,85,3519.01,Basic,1,Yes,1.69,Yes,No,5G,2,904,No,5
MRD-001043,No,83.6,93,3831.18,Premium,1,No,2.84,Yes,Yes,5G,2,1426,No,8
MRD-001044,No,57.56,8,293.27,Plus,1,No,7.73,No,No,4G,1,507,No,3
MRD-001045,No,88.26,42,5654.33,Premium,1,No,5.0,Yes,Yes,4G,2,1061,No,3
MRD-001046,No,53.14,93,5625.0,Plus,4,No,5.57,Yes,Yes,5G,0,589,Yes,4
MRD-001047,No,30.82,49,2168.84,Basic,4,No,3.2,Yes,Yes,4G,1,444,Yes,6
MRD-001048,Yes,38.65,32,1259.85,Basic,1,No,0.98,No,Yes,5G,0,1053,No,5
MRD-001049,Yes,88.41,87,6384.63,Premium,1,No,1.88,Yes,Yes,5G,0,1024,No,6
MRD-001050,No,64.74,56,2887.47,Plus,3,No,0.54,No,No,4G,2,922,Yes,9
MRD-001051,Yes,49.2,9,1047.35,Plus,2,No,6.16,Yes,No,5G,2,1032,No,4
MRD-001052,No,84.09,81,9334.08,Premium,2,Yes,8.88,Yes,Yes,4G,0,711,No,5
MRD-001053,No,89.46,33,3148.31,Premium,1,No,1.33,Yes,No,4G,0,1148,No,8
MRD-001054,No,61.78,80,4767.33,Plus,1,Yes,0.7,Yes,Yes,5G,1,1080,No,7
MRD-001055,No,26.13,10,562.77,Basic,3,No,5.32,Yes,Yes,5G,4,937,Yes,7
MRD-001056,No,28.8,77,4047.76,Basic,2,No,5.86,Yes,No,5G,0,772,No,4
MRD-001057,Yes,65.61,28,2929.02,Plus,2,No,3.35,No,No,4G,2,143,No,7
MRD-001058,No,128.56,52,5675.88,Premium,2,No,2.19,Yes,Yes,4G,6,1168,No,8
MRD-001059,No,64.66,70,2126.45,Plus,1,Yes,4.54,No,Yes,5G,1,1162,No,1
MRD-001060,No,34.83,86,5833.24,Basic,3,No,2.05,No,No,4G,2,1033,Yes,4
MRD-001061,No,39.89,39,1546.5,Basic,2,No,0.82,Yes,Yes,5G,0,857,No,9
MRD-001062,No,33.33,14,334.45,Basic,1,No,4.67,Yes,Yes,5G,0,1088,No,10
MRD-001063,No,92.31,69,7386.41,Premium,3,No,1.52,Yes,No,5G,0,419,Yes,10
MRD-001064,No,40.37,27,791.54,Basic,1,No,2.6,Yes,Yes,5G,2,301,No,10
MRD-001065,No,57.0,0,145.45,Plus,1,No,0.59,No,No,5G,4,861,No,2
MRD-001066,No,70.55,90,5594.36,Plus,2,No,0.74,Yes,No,5G,0,789,No,8
MRD-001067,No,31.32,43,1246.01,Basic,1,No,1.41,Yes,Yes,4G,2,54,No,4
MRD-001068,No,92.85,83,26741.41,Premium,5,No,0.99,Yes,No,4G,2,551,Yes,5
MRD-001069,Yes,53.09,88,4967.38,Plus,1,No,1.6,No,Yes,5G,0,1356,No,2
MRD-001070,No,28.38,20,755.91,Basic,4,No,6.31,Yes,Yes,5G,3,1157,Yes,2
MRD-001071,No,50.02,63,8339.59,Plus,1,Yes,1.75,Yes,No,5G,1,467,No,4
MRD-001072,No,39.12,27,1203.1,Basic,1,No,2.44,Yes,Yes,5G,1,1408,No,3
MRD-001073,No,111.97,80,11493.61,Premium,3,Yes,5.37,Yes,No,4G,2,410,Yes,9
MRD-001074,Yes,60.54,9,728.18,Plus,1,No,3.1,Yes,No,4G,3,178,No,1
MRD-001075,Yes,99.23,39,2813.41,Premium,4,No,4.17,Yes,Yes,5G,1,311,Yes,8
MRD-001076,No,58.65,32,2151.36,Plus,2,No,2.26,No,No,5G,1,565,No,4
MRD-001077,No,61.44,9,612.66,Plus,1,No,2.07,Yes,No,5G,3,99,No,7
MRD-001078,No,67.46,79,3485.43,Plus,2,No,10.25,Yes,No,4G,2,224,No,3
MRD-001079,No,59.86,13,655.05,Plus,1,No,6.35,Yes,No,4G,1,1337,No,7
MRD-001080,No,37.77,79,3390.41,Basic,5,Yes,3.8,Yes,No,5G,2,1075,Yes,3
MRD-001081,No,86.85,91,6420.28,Premium,2,Yes,0.54,No,No,5G,0,1439,No,7
MRD-001082,No,58.21,62,6855.65,Plus,2,No,1.34,No,Yes,5G,3,711,No,5
MRD-001083,No,90.62,91,14160.82,Premium,5,No,1.66,No,No,4G,1,1395,Yes,1
MRD-001084,No,64.97,37,4205.5,Plus,2,Yes,6.04,Yes,No,4G,2,1325,No,7
MRD-001085,No,68.27,44,2293.24,Premium,2,No,1.49,Yes,No,4G,1,1234,No,2
MRD-001086,No,42.0,53,1686.9,Plus,1,No,4.14,Yes,Yes,5G,1,1055,No,5
MRD-001087,No,36.05,96,1608.71,Basic,1,No,0.66,Yes,Yes,5G,2,1126,No,6
MRD-001088,No,91.57,73,9395.36,Premium,2,No,2.43,Yes,No,5G,0,577,No,3
MRD-001089,Yes,27.35,56,1794.67,Basic,2,No,1.43,Yes,Yes,5G,3,85,No,6
MRD-001090,No,29.64,57,1446.72,Basic,1,No,0.79,Yes,Yes,4G,1,32,No,6
MRD-001091,No,69.98,92,8746.71,Plus,1,No,2.58,Yes,No,4G,2,1001,No,7
MRD-001092,No,34.35,49,2152.22,Basic,4,No,0.83,Yes,Yes,4G,1,759,Yes,4
MRD-001093,No,84.46,79,8133.84,Premium,3,No,1.85,Yes,Yes,5G,1,1139,Yes,8
MRD-001094,No,53.82,10,261.9,Plus,3,No,2.41,Yes,No,4G,1,429,Yes,6
MRD-001095,Yes,57.48,14,1044.43,Plus,2,No,1.91,Yes,No,5G,3,1210,No,3
MRD-001096,No,25.9,16,837.55,Basic,1,No,2.47,Yes,No,5G,1,387,No,10
MRD-001097,No,97.08,14,1247.13,Premium,2,No,1.63,Yes,No,5G,2,1394,No,10
MRD-001098,No,111.97,51,8073.97,Premium,1,Yes,0.05,Yes,Yes,4G,1,175,No,1
MRD-001099,No,61.23,72,4897.62,Plus,1,No,10.19,Yes,No,4G,1,996,No,1
MRD-001100,No,102.73,59,6475.32,Premium,3,No,4.22,Yes,Yes,4G,2,665,Yes,3
MRD-001101,No,36.92,85,4490.74,Basic,1,No,6.72,No,No,5G,1,286,No,8
MRD-001102,No,87.34,53,5497.63,Premium,1,No,3.55,Yes,No,4G,1,916,No,7
MRD-001103,No,59.93,47,2024.86,Plus,4,Yes,4.29,Yes,No,5G,1,1108,Yes,1
MRD-001104,Yes,55.56,42,4018.18,Plus,1,No,2.42,Yes,Yes,4G,2,473,No,3
MRD-001105,Yes,53.43,17,1447.66,Plus,1,No,4.19,No,No,5G,1,866,No,8
MRD-001106,Yes,50.29,23,938.06,Plus,1,No,1.53,No,No,5G,0,1227,No,10
MRD-001107,No,61.85,86,7906.9,Plus,1,No,3.74,Yes,Yes,4G,2,32,No,3
MRD-001108,No,40.37,71,1752.8,Basic,2,No,1.78,Yes,Yes,4G,0,924,No,4
MRD-001109,No,83.94,64,2822.92,Premium,1,Yes,2.28,No,Yes,5G,0,1297,No,1
MRD-001110,Yes,35.3,27,345.6,Basic,3,No,2.82,Yes,Yes,5G,0,1426,Yes,5
MRD-001111,No,31.79,0,0.0,Basic,1,No,1.29,Yes,No,4G,2,156,No,4
MRD-001112,No,41.39,81,1612.78,Basic,2,Yes,5.13,Yes,No,5G,2,1367,No,4
MRD-001113,Yes,34.96,93,3402.26,Basic,1,No,4.6,Yes,No,5G,2,417,No,9
MRD-001114,Yes,39.26,27,997.49,Basic,1,No,2.13,Yes,No,4G,4,1316,No,1
MRD-001115,No,68.38,62,4512.03,Plus,1,No,4.27,No,No,5G,3,529,No,3
MRD-001116,No,31.82,65,5621.63,Basic,2,Yes,0.45,No,Yes,5G,0,391,No,8
MRD-001117,No,114.87,80,16963.11,Premium,1,No,1.66,Yes,No,4G,2,730,No,9
MRD-001118,No,48.19,18,826.86,Plus,2,No,17.15,No,No,4G,4,1359,No,5
MRD-001119,No,90.56,58,3450.8,Premium,1,No,12.02,Yes,No,5G,2,1240,No,2
MRD-001120,No,54.1,48,4922.66,Plus,4,No,1.69,No,Yes,4G,1,1108,Yes,9
MRD-001121,No,62.87,43,1677.74,Plus,1,No,4.17,Yes,No,5G,4,766,No,10
MRD-001122,No,89.24,61,5040.21,Premium,1,No,4.59,No,Yes,4G,1,1291,No,8
MRD-001123,No,40.03,18,784.49,Basic,1,No,4.98,Yes,No,5G,0,821,No,7
MRD-001124,No,52.44,58,3321.72,Plus,1,No,6.32,Yes,Yes,5G,2,1489,No,1
MRD-001125,Yes,40.09,65,4023.38,Basic,2,No,3.47,No,Yes,5G,0,1093,No,6
MRD-001126,No,30.12,74,1896.78,Basic,2,No,2.88,Yes,No,4G,2,22,No,7
MRD-001127,No,106.79,92,8532.58,Premium,1,No,2.02,Yes,No,4G,2,245,No,3
MRD-001128,No,58.99,61,4969.25,Plus,1,No,1.42,No,Yes,4G,1,836,No,9
MRD-001129,No,56.23,83,4536.15,Plus,1,Yes,0.65,Yes,No,5G,1,571,No,8
MRD-001130,No,66.95,87,4514.25,Plus,3,No,0.87,Yes,Yes,5G,1,368,Yes,10
MRD-001131,No,58.14,66,4007.26,Plus,2,No,3.82,No,Yes,5G,3,1084,No,3
MRD-001132,No,60.1,31,1993.3,Plus,4,No,0.89,Yes,No,5G,3,1299,Yes,1
MRD-001133,No,100.55,67,12996.54,Premium,2,Yes,1.27,No,No,4G,5,1041,No,1
MRD-001134,No,53.65,84,3865.23,Plus,3,No,1.35,Yes,Yes,4G,1,434,Yes,7
MRD-001135,No,60.01,91,8526.97,Plus,1,Yes,8.71,No,Yes,5G,1,140,No,9
MRD-001136,No,39.1,50,3467.98,Basic,1,No,4.25,Yes,No,5G,3,1201,No,9
MRD-001137,Yes,36.29,63,1253.47,Basic,1,No,4.58,No,Yes,4G,1,1156,No,5
MRD-001138,No,31.97,73,1670.15,Basic,1,No,5.28,Yes,No,5G,0,948,No,1
MRD-001139,No,97.8,20,2233.73,Premium,1,No,2.31,Yes,No,5G,0,590,No,6
MRD-001140,No,28.31,56,1411.21,Basic,1,No,13.64,No,No,5G,2,113,No,7
MRD-001141,No,99.63,62,10763.12,Premium,2,No,1.58,No,No,5G,0,431,No,4
MRD-001142,Yes,29.76,61,1136.85,Basic,4,No,9.7,No,No,5G,2,41,Yes,7
MRD-001143,No,117.78,96,9766.88,Premium,1,No,15.62,Yes,No,5G,1,1160,No,5
MRD-001144,No,32.0,87,2368.65,Basic,3,Yes,2.1,Yes,No,4G,1,265,Yes,8
MRD-001145,No,49.59,48,1895.26,Plus,2,No,8.16,Yes,No,5G,1,771,No,10
MRD-001146,Yes,73.53,64,3008.44,Plus,3,No,2.89,No,Yes,4G,0,859,Yes,7
MRD-001147,No,39.73,81,1971.63,Basic,2,No,1.58,Yes,Yes,5G,2,589,No,4
MRD-001148,No,73.38,2,95.47,Premium,5,No,2.36,No,No,5G,1,1120,Yes,3
MRD-001149,No,103.29,19,4312.57,Premium,1,No,1.91,Yes,No,4G,0,1367,No,2
MRD-001150,No,36.24,78,2209.56,Basic,1,No,2.47,Yes,No,5G,1,1,No,4
MRD-001151,Yes,36.42,78,2351.16,Basic,1,Yes,1.09,No,No,5G,1,1307,No,1
MRD-001152,No,58.89,54,5976.75,Plus,1,No,1.07,Yes,Yes,5G,2,938,No,9
MRD-001153,No,55.97,49,4068.79,Plus,2,No,2.96,Yes,No,4G,1,268,No,9
MRD-001154,No,67.49,87,7934.9,Plus,2,No,3.42,No,Yes,5G,1,1213,No,4
MRD-001155,No,35.74,21,279.4,Basic,1,No,3.74,Yes,Yes,5G,0,612,No,7
MRD-001156,Yes,73.78,4,413.09,Plus,4,No,1.03,Yes,No,4G,1,476,Yes,7
MRD-001157,No,65.78,82,5792.77,Plus,1,Yes,0.34,Yes,Yes,4G,1,1147,No,2
MRD-001158,Yes,53.34,45,2224.48,Plus,2,No,12.07,Yes,No,4G,1,173,No,2
MRD-001159,No,77.94,15,1468.54,Premium,1,Yes,0.86,Yes,No,5G,1,1307,No,9
MRD-001160,No,89.9,29,5999.09,Premium,1,No,3.82,Yes,No,5G,2,579,No,5
MRD-001161,No,54.76,47,6018.29,Plus,2,No,2.75,Yes,No,5G,1,37,No,2
MRD-001162,No,75.71,7,665.69,Premium,1,Yes,2.21,No,No,5G,3,121,No,3
MRD-001163,No,62.62,1,261.92,Plus,3,No,4.62,Yes,Yes,5G,0,157,Yes,9
MRD-001164,No,61.39,80,4014.15,Plus,2,No,1.08,Yes,Yes,4G,3,188,No,7
MRD-001165,No,100.14,42,3693.56,Premium,1,Yes,3.11,Yes,Yes,5G,3,993,No,8
MRD-001166,No,33.92,89,3625.28,Basic,1,No,0.7,Yes,No,5G,0,1018,No,7
MRD-001167,No,44.79,32,1689.31,Plus,2,No,3.7,Yes,Yes,4G,3,146,No,7
MRD-001168,No,32.17,74,1919.73,Basic,1,No,2.34,Yes,Yes,5G,2,1396,No,10
MRD-001169,No,35.65,34,1304.07,Basic,2,No,1.12,Yes,Yes,5G,0,736,No,10
MRD-001170,Yes,63.07,75,3640.45,Plus,4,No,0.37,No,Yes,4G,3,928,Yes,2
MRD-001171,Yes,38.87,29,856.94,Basic,1,No,5.24,No,No,5G,1,1457,No,5
MRD-001172,No,58.31,64,3954.87,Plus,2,Yes,2.07,No,Yes,5G,1,1185,No,10
MRD-001173,No,67.56,59,6004.84,Plus,3,No,2.18,No,Yes,5G,3,1323,Yes,7
MRD-001174,No,35.82,26,932.61,Basic,1,Yes,2.39,Yes,Yes,5G,0,1194,No,1
MRD-001175,No,33.35,17,1093.05,Basic,2,No,7.6,Yes,Yes,5G,3,536,No,4
MRD-001176,No,30.97,55,2672.89,Basic,2,No,2.87,No,Yes,5G,0,679,No,8
MRD-001177,No,90.23,57,10490.4,Premium,2,Yes,8.07,No,No,5G,0,983,No,7
MRD-001178,No,54.91,82,2818.1,Plus,2,No,10.67,Yes,Yes,5G,3,1041,No,3
MRD-001179,Yes,38.29,8,484.84,Basic,2,No,1.02,No,Yes,4G,0,1103,No,5
MRD-001180,No,111.41,49,3201.16,Premium,3,Yes,4.86,Yes,No,5G,1,760,Yes,9
MRD-001181,No,65.34,73,2030.35,Plus,3,Yes,9.51,No,No,4G,1,972,Yes,2
MRD-001182,No,73.52,53,2428.01,Plus,2,No,0.27,Yes,No,5G,1,1137,No,10
MRD-001183,No,56.65,59,5374.23,Plus,5,No,1.84,Yes,Yes,5G,0,411,Yes,8
MRD-001184,Yes,40.34,17,1304.32,Basic,3,No,6.83,Yes,No,5G,3,832,Yes,1
MRD-001185,Yes,34.85,19,450.53,Basic,2,No,8.73,Yes,Yes,5G,3,1425,No,8
MRD-001186,No,110.93,10,904.68,Premium,1,No,6.57,No,No,5G,1,966,No,2
MRD-001187,No,49.64,74,4272.07,Plus,2,No,3.03,Yes,No,4G,2,144,No,2
MRD-001188,No,62.11,11,1088.64,Plus,1,No,0.78,Yes,No,5G,3,559,No,10
MRD-001189,Yes,40.24,86,2870.89,Basic,5,No,1.0,Yes,Yes,5G,0,1041,Yes,2
MRD-001190,Yes,57.78,69,3576.59,Plus,5,No,2.42,Yes,Yes,4G,3,1396,Yes,8
MRD-001191,No,38.7,85,2988.07,Basic,1,Yes,1.16,Yes,No,5G,0,641,No,5
MRD-001192,No,83.69,5,646.7,Premium,1,No,0.43,No,Yes,4G,1,348,No,2
MRD-001193,No,60.4,33,1259.39,Plus,1,Yes,6.87,Yes,Yes,5G,1,243,No,9
MRD-001194,No,62.06,54,3324.58,Plus,3,No,4.33,Yes,Yes,5G,0,1094,Yes,3
MRD-001195,Yes,38.25,31,1893.6,Basic,4,No,3.22,Yes,Yes,5G,0,1258,Yes,4
MRD-001196,No,81.02,70,4164.12,Premium,1,No,0.16,No,Yes,5G,1,692,No,2
MRD-001197,No,66.98,8,449.83,Plus,1,No,2.93,Yes,Yes,5G,2,2,No,6
MRD-001198,Yes,38.99,85,4079.13,Basic,5,No,3.71,Yes,No,5G,1,637,Yes,1
MRD-001199,Yes,34.94,41,2030.11,Basic,3,Yes,3.12,No,No,4G,2,347,Yes,2
MRD-001200,No,56.39,32,1413.77,Plus,5,No,7.72,No,Yes,4G,1,45,Yes,9
MRD-001201,No,60.94,23,802.06,Plus,4,No,6.89,No,Yes,5G,3,220,Yes,5
MRD-001202,Yes,34.19,57,2211.41,Basic,3,No,3.97,No,No,5G,3,764,Yes,6
MRD-001203,Yes,60.18,86,4605.61,Plus,3,Yes,2.57,Yes,No,5G,1,581,Yes,1
MRD-001204,No,42.1,80,4550.92,Basic,2,No,1.98,Yes,No,5G,3,1195,No,6
MRD-001205,No,80.23,56,1165.01,Premium,2,No,1.4,No,Yes,5G,1,470,No,1
MRD-001206,Yes,40.37,55,2692.86,Basic,4,No,0.94,Yes,Yes,4G,0,800,Yes,4
MRD-001207,Yes,45.56,27,1984.78,Basic,3,No,1.95,No,No,4G,3,679,Yes,4
MRD-001208,No,59.99,3,372.41,Plus,2,No,1.49,Yes,Yes,4G,2,624,No,7
MRD-001209,No,88.47,39,1856.44,Premium,2,No,3.33,Yes,Yes,5G,2,92,No,1
MRD-001210,No,40.31,89,4959.92,Basic,2,No,5.81,Yes,No,5G,2,1064,No,8
MRD-001211,No,58.78,39,1451.93,Plus,5,No,0.85,Yes,No,4G,2,678,Yes,6
MRD-001212,No,63.75,31,4750.15,Plus,1,Yes,16.46,Yes,Yes,4G,0,1079,No,5
MRD-001213,Yes,33.91,6,273.04,Basic,4,No,1.04,Yes,No,5G,0,203,Yes,8
MRD-001214,No,71.22,22,2134.95,Plus,2,No,2.75,Yes,Yes,5G,1,1102,No,6
MRD-001215,No,39.19,6,399.42,Basic,1,No,1.99,Yes,No,5G,1,385,No,6
MRD-001216,No,82.63,69,10380.78,Premium,2,Yes,9.53,Yes,No,4G,0,354,No,7
MRD-001217,No,65.74,16,1600.55,Plus,4,No,2.4,Yes,Yes,5G,0,1423,Yes,7
MRD-001218,No,37.03,29,1722.15,Basic,4,No,0.3,Yes,No,5G,1,455,Yes,8
MRD-001219,No,98.07,74,5078.41,Premium,1,No,4.48,Yes,No,5G,2,622,No,2
MRD-001220,No,70.22,6,590.92,Plus,5,No,2.55,Yes,No,5G,1,73,Yes,8
MRD-001221,No,66.98,48,4160.35,Plus,4,No,2.63,Yes,No,5G,4,864,Yes,6
MRD-001222,No,102.19,12,1072.25,Premium,2,No,1.82,Yes,Yes,5G,0,886,No,7
MRD-001223,No,65.46,28,559.5,Plus,2,No,9.07,No,Yes,5G,1,217,No,5
MRD-001224,Yes,26.68,49,1051.67,Basic,2,No,5.85,Yes,No,4G,1,557,No,3
MRD-001225,No,35.84,16,242.65,Basic,1,No,1.33,Yes,No,4G,1,397,No,5
MRD-001226,Yes,28.89,77,5668.46,Basic,1,No,0.56,Yes,No,5G,1,270,No,1
MRD-001227,No,37.55,24,805.42,Basic,1,No,1.02,Yes,No,5G,2,388,No,8
MRD-001228,No,32.51,55,1078.58,Basic,2,Yes,0.94,Yes,No,4G,0,28,No,1
MRD-001229,No,81.2,52,2889.22,Premium,1,No,4.55,No,Yes,5G,0,841,No,7
MRD-001230,Yes,22.37,10,290.84,Basic,1,No,3.55,Yes,No,5G,3,1098,No,6
MRD-001231,Yes,41.57,35,1973.85,Basic,3,No,6.72,Yes,Yes,5G,2,1464,Yes,7
MRD-001232,No,59.78,65,14827.88,Plus,2,No,6.01,Yes,No,5G,3,792,No,10
MRD-001233,No,59.46,12,643.45,Plus,2,Yes,0.5,Yes,Yes,4G,2,1368,No,6
MRD-001234,Yes,78.06,30,2836.47,Plus,3,Yes,2.08,No,Yes,5G,2,37,Yes,3
MRD-001235,No,79.04,73,5587.04,Premium,2,No,7.55,No,No,5G,1,933,No,2
MRD-001236,No,63.54,52,2444.72,Plus,1,No,3.74,Yes,Yes,4G,0,1072,No,7
MRD-001237,Yes,62.28,69,9815.26,Plus,2,No,2.51,Yes,Yes,4G,3,1430,No,1
MRD-001238,No,65.57,83,4148.65,Plus,4,No,3.19,Yes,No,5G,0,595,Yes,10
MRD-001239,No,51.74,34,2966.9,Plus,4,No,0.33,Yes,Yes,4G,2,905,Yes,8
MRD-001240,No,22.96,82,1576.34,Basic,2,Yes,1.53,Yes,No,5G,3,858,No,3
MRD-001241,Yes,34.74,5,151.34,Basic,1,Yes,4.24,No,No,4G,0,785,No,8
MRD-001242,No,106.22,9,1299.6,Premium,2,No,1.33,Yes,Yes,4G,0,559,No,5
MRD-001243,No,96.64,68,10470.5,Premium,3,No,0.25,Yes,No,5G,0,154,Yes,6
MRD-001244,No,27.22,9,549.66,Basic,2,No,5.98,Yes,Yes,5G,2,277,No,5
MRD-001245,Yes,39.51,41,937.95,Basic,5,Yes,1.62,No,No,5G,3,1334,Yes,5
MRD-001246,No,49.19,23,1000.88,Plus,2,No,7.05,Yes,No,4G,2,162,No,6
MRD-001247,No,76.32,83,4057.0,Premium,2,No,6.02,No,Yes,4G,3,30,No,7
MRD-001248,No,57.12,34,1885.98,Plus,1,No,1.3,Yes,Yes,5G,0,1043,No,2
MRD-001249,Yes,24.7,87,1929.53,Basic,2,No,13.48,Yes,Yes,5G,2,1097,No,6
MRD-001250,Yes,33.75,9,152.63,Basic,1,No,2.32,No,No,4G,6,236,No,2
MRD-001251,No,58.44,24,1316.31,Plus,3,No,5.37,Yes,Yes,4G,2,580,Yes,10
MRD-001252,No,96.87,85,17587.72,Premium,1,No,1.75,No,No,5G,3,579,No,1
MRD-001253,No,56.61,21,2456.25,Plus,1,No,0.31,No,No,5G,1,66,No,10
MRD-001254,No,95.69,69,7935.43,Premium,1,Yes,4.27,No,Yes,5G,2,1234,No,5
MRD-001255,No,30.75,87,3002.71,Basic,2,No,0.79,Yes,No,5G,2,1005,No,10
MRD-001256,No,40.83,83,5629.73,Basic,1,No,0.46,Yes,Yes,4G,0,693,No,5
MRD-001257,No,63.46,30,1546.49,Plus,1,Yes,2.1,Yes,No,5G,1,1160,No,5
MRD-001258,No,68.03,74,7478.88,Plus,2,No,7.99,Yes,No,5G,1,273,No,10
MRD-001259,No,37.57,52,2607.27,Basic,1,Yes,1.67,Yes,Yes,5G,4,468,No,4
MRD-001260,No,100.47,82,7606.85,Premium,1,Yes,0.76,Yes,Yes,5G,0,264,No,2
MRD-001261,No,127.08,17,4481.98,Premium,1,No,1.51,No,Yes,5G,2,609,No,9
MRD-001262,No,54.11,68,3697.25,Plus,1,Yes,10.0,Yes,Yes,5G,1,1052,No,3
MRD-001263,No,65.18,48,2578.74,Plus,2,No,3.43,No,Yes,5G,1,520,No,7
MRD-001264,No,35.63,77,6583.52,Basic,4,No,7.85,Yes,Yes,5G,2,477,Yes,2
MRD-001265,No,80.62,81,9602.55,Premium,2,No,1.39,Yes,Yes,5G,0,401,No,3
MRD-001266,No,42.49,53,975.03,Basic,2,No,5.63,Yes,No,5G,1,292,No,2
MRD-001267,No,58.12,6,812.2,Plus,3,Yes,4.83,Yes,No,5G,4,556,Yes,5
MRD-001268,No,30.11,68,2120.02,Basic,3,No,0.11,Yes,Yes,5G,1,755,Yes,4
MRD-001269,No,30.14,67,3937.23,Basic,2,Yes,2.78,No,Yes,5G,1,306,No,10
