Resident_ID#,Tenure(mo),Care_Level,Monthly_Fee$,Room_Type#,Meals_Included_(per_day),Family_Visits/Month,Has_Companion_Pet?,Activity_Participation_%,Emergency_Calls_YTD#,Distance_to_Family_(mi),Satisfaction_Score_(1-10),Est_LTV,Departed?
MSL-00283,91,Independent Living,2188.87,Suite,3,4,No,28,2,220.1,9,194634.77,Yes
MSL-00284,18,Memory Care,4753.8,1BR,2,1,No,60,3,55.4,8,95619.19,Yes
MSL-00285,60,Skilled Nursing,6186.85,2BR,2,0,No,58,2,17.2,8,412172.95,No
MSL-00286,88,Skilled Nursing,6706.54,1BR,1,2,No,8,2,49.7,1,319368.89,No
MSL-00287,73,Skilled Nursing,6908.83,Suite,3,1,No,8,1,32.7,4,254441.74,No
MSL-00288,93,Independent Living,2207.74,2BR,3,1,No,27,0,21.5,5,286135.6,No
MSL-00289,47,Memory Care,4157.7,Studio,3,3,No,32,3,20.3,7,680862.17,No
MSL-00290,74,Memory Care,6428.56,1BR,1,3,No,70,2,32.9,3,788225.47,No
MSL-00291,87,Independent Living,2236.88,Suite,1,6,No,89,1,24.4,4,298709.13,No
MSL-00292,29,Independent Living,2481.33,Studio,3,3,No,9,0,52.7,2,86880.37,No
MSL-00293,65,Memory Care,4710.82,Studio,2,2,No,38,0,3.3,9,312443.71,No
MSL-00294,39,Independent Living,2948.68,2BR,3,3,No,15,2,23.4,9,102732.4,No
MSL-00295,80,Independent Living,2669.23,Suite,3,5,No,69,3,58.9,7,226627.76,No
MSL-00296,4,Independent Living,2453.3,1BR,2,1,No,32,0,18.2,5,9080.86,No
MSL-00297,42,Independent Living,2475.35,Studio,2,2,No,11,3,15.6,6,71696.28,Yes
MSL-00298,13,Independent Living,2568.38,Suite,1,4,No,12,2,57.7,2,66039.75,No
MSL-00299,25,Memory Care,5826.03,Studio,2,3,No,32,2,20.3,2,167659.44,No
MSL-00300,5,Independent Living,1903.46,1BR,3,3,No,85,1,47.9,3,6521.91,Yes
MSL-00301,95,Independent Living,2497.69,Studio,1,1,No,79,1,5.4,9,238451.24,No
MSL-00302,68,Memory Care,5816.72,Studio,2,2,No,16,2,78.1,6,270996.2,No
MSL-00303,32,Memory Care,5263.02,1BR,3,1,No,29,2,91.5,8,256315.04,No
MSL-00304,60,Independent Living,3130.2,1BR,3,3,No,11,0,141.4,7,272571.45,No
MSL-00305,75,Skilled Nursing,6748.24,2BR,3,3,No,18,2,70.1,9,408036.72,No
MSL-00306,49,Independent Living,2200.98,Studio,3,3,Yes,60,1,21.2,8,83560.44,No
MSL-00307,15,Memory Care,4629.36,Suite,3,2,No,33,0,20.5,6,41625.33,No
MSL-00308,1,Independent Living,1694.33,2BR,2,2,No,69,0,66.5,1,2075.41,Yes
MSL-00309,50,Independent Living,2894.16,2BR,2,3,No,40,0,58.7,5,170046.77,No
MSL-00310,89,Independent Living,2248.5,1BR,3,3,No,74,2,22.4,1,241508.17,No
MSL-00311,67,Independent Living,2446.6,1BR,3,2,No,65,1,17.4,1,94559.41,No
MSL-00312,95,Independent Living,2645.0,Studio,2,5,No,28,2,26.9,1,196827.99,No
MSL-00313,61,Skilled Nursing,6271.8,2BR,2,1,Yes,92,3,23.8,4,510912.31,No
MSL-00314,30,Skilled Nursing,6598.33,1BR,3,5,Yes,8,0,41.5,1,268768.48,No
MSL-00315,12,Independent Living,2670.57,Studio,3,3,Yes,3,3,11.9,7,28416.23,No
MSL-00316,74,Memory Care,5846.39,2BR,2,3,No,99,2,80.1,3,280633.14,No
MSL-00317,85,Memory Care,5761.53,1BR,3,1,No,20,1,17.4,1,516719.26,No
MSL-00318,42,Skilled Nursing,6486.72,Studio,3,1,No,24,2,17.5,2,428246.33,No
MSL-00319,73,Independent Living,2886.11,1BR,2,4,No,37,1,120.5,8,227096.11,Yes
MSL-00320,5,Independent Living,2578.05,Studio,3,3,No,36,1,56.6,6,10205.48,Yes
MSL-00321,57,Skilled Nursing,6426.91,Studio,2,1,No,37,1,16.3,9,303173.4,No
MSL-00322,10,Independent Living,2526.42,Studio,3,4,No,18,2,29.1,7,17685.34,No
MSL-00323,82,Independent Living,2721.94,2BR,3,2,No,22,1,30.9,5,105181.39,Yes
MSL-00324,8,Independent Living,1967.2,Studio,3,3,No,10,1,84.1,9,16948.67,No
MSL-00325,20,Skilled Nursing,7920.76,Suite,3,1,No,74,0,41.3,6,108462.68,No
MSL-00326,96,Memory Care,5718.56,1BR,2,2,No,76,1,20.9,10,1052814.81,No
MSL-00327,91,Memory Care,5739.9,Studio,1,4,No,55,1,58.2,5,619372.79,No
MSL-00328,0,Skilled Nursing,7039.69,2BR,3,2,No,72,1,136.4,5,0.0,No
MSL-00329,89,Independent Living,2908.67,Suite,3,1,No,7,0,68.4,6,258750.87,No
MSL-00330,18,Independent Living,1600.0,Studio,3,1,No,91,2,123.2,5,31374.44,No
MSL-00331,65,Memory Care,5502.42,2BR,3,4,No,60,1,30.7,3,482340.15,No
MSL-00332,86,Independent Living,2426.51,2BR,3,2,No,35,2,12.9,2,149802.28,No
MSL-00333,30,Independent Living,2479.89,1BR,3,0,No,22,1,10.0,9,73799.32,Yes
MSL-00334,56,Independent Living,2596.46,1BR,3,2,No,50,1,37.1,8,262322.01,No
MSL-00335,2,Memory Care,5583.52,Studio,3,2,Yes,38,5,71.6,6,17444.82,Yes
MSL-00336,28,Memory Care,5767.59,1BR,3,4,No,36,2,73.8,5,80501.24,No
MSL-00337,22,Memory Care,4828.46,2BR,1,1,No,16,0,75.4,7,49903.94,Yes
MSL-00338,12,Skilled Nursing,5753.37,1BR,3,1,No,90,1,61.7,5,43260.19,No
MSL-00339,33,Skilled Nursing,5692.44,Studio,3,5,No,44,3,12.6,10,97114.41,No
MSL-00340,64,Independent Living,1600.0,2BR,3,6,No,10,2,54.2,4,120745.9,No
MSL-00341,6,Skilled Nursing,6502.18,Suite,3,0,No,65,1,83.6,1,42099.82,Yes
MSL-00342,8,Independent Living,2006.07,Studio,3,5,No,99,2,70.8,5,17067.31,Yes
MSL-00343,30,Memory Care,5154.2,Studio,2,3,No,90,1,20.2,5,181227.83,No
MSL-00344,57,Independent Living,2600.82,Studio,3,3,No,22,4,15.0,4,177012.75,No
MSL-00345,65,Skilled Nursing,6071.11,2BR,3,3,No,36,2,20.6,10,489404.32,No
MSL-00346,49,Skilled Nursing,6615.31,2BR,3,3,No,12,1,51.6,8,456738.69,No
MSL-00347,58,Independent Living,2848.04,Suite,3,0,No,92,1,8.9,5,274065.01,No
MSL-00348,9,Skilled Nursing,8366.16,2BR,3,3,No,4,2,18.2,9,98601.25,Yes
MSL-00349,72,Memory Care,4384.55,Studio,3,1,No,88,0,23.4,9,195776.32,No
MSL-00350,30,Independent Living,2271.83,1BR,3,2,No,80,0,39.3,1,123395.7,No
MSL-00351,25,Independent Living,2253.81,Suite,3,2,No,52,1,82.1,6,110111.47,No
MSL-00352,33,Memory Care,6088.04,Studio,1,3,No,73,1,160.8,2,195991.23,No
MSL-00353,83,Independent Living,2281.72,Studio,2,2,No,38,3,6.4,4,135038.31,No
MSL-00354,88,Skilled Nursing,6232.54,1BR,1,3,No,81,0,47.9,1,470920.33,No
MSL-00355,74,Independent Living,2727.97,Studio,2,1,No,48,0,182.9,8,164241.49,Yes
MSL-00356,79,Skilled Nursing,6008.55,Studio,3,1,No,84,1,47.8,6,1172123.37,No
MSL-00357,29,Independent Living,2872.71,Suite,3,3,Yes,43,1,84.9,3,50211.53,No
MSL-00358,67,Independent Living,2397.42,Studio,3,2,No,62,4,29.6,3,263941.29,No
MSL-00359,76,Independent Living,2495.52,Studio,1,0,Yes,75,1,66.5,10,404614.04,No
MSL-00360,46,Memory Care,5470.37,Suite,3,3,No,4,2,61.3,4,473948.81,No
MSL-00361,75,Skilled Nursing,7103.96,1BR,2,1,No,44,1,36.4,9,601742.34,No
MSL-00362,76,Memory Care,4437.7,1BR,3,3,No,5,2,10.7,1,271705.66,No
MSL-00363,57,Independent Living,2243.55,Suite,3,0,Yes,2,1,55.3,4,47635.46,Yes
MSL-00364,67,Independent Living,2393.06,1BR,3,2,No,94,1,105.2,5,176663.49,Yes
MSL-00365,35,Independent Living,2530.35,1BR,3,3,Yes,14,1,8.8,7,84841.11,No
MSL-00366,76,Independent Living,2676.73,Studio,3,3,No,93,1,63.1,4,170373.07,No
MSL-00367,76,Independent Living,2167.4,1BR,3,4,Yes,54,1,41.7,2,153802.0,No
MSL-00368,33,Independent Living,2643.16,1BR,2,3,No,58,3,77.2,9,111912.35,Yes
MSL-00369,49,Independent Living,2097.83,1BR,2,0,No,74,0,44.1,8,33921.94,No
MSL-00370,5,Memory Care,3818.92,Suite,1,3,No,84,4,180.8,2,28184.67,Yes
MSL-00371,36,Independent Living,1699.73,1BR,2,3,Yes,4,1,22.9,9,56503.87,No
MSL-00372,21,Independent Living,2710.23,2BR,3,3,No,91,4,38.8,3,66418.29,No
MSL-00373,70,Memory Care,5271.14,1BR,3,1,No,9,3,153.5,9,240165.27,No
MSL-00374,49,Memory Care,5094.9,1BR,3,3,No,7,0,28.2,7,277576.79,No
MSL-00375,15,Memory Care,4901.2,2BR,3,4,No,73,2,9.7,3,169640.73,No
MSL-00376,85,Independent Living,2518.45,1BR,1,3,No,9,0,36.1,6,363233.56,No
MSL-00377,12,Skilled Nursing,6190.12,2BR,3,0,No,92,2,14.3,1,44585.49,No
MSL-00378,20,Memory Care,5385.56,Suite,3,2,Yes,84,1,57.9,7,102624.87,No
MSL-00379,94,Independent Living,2903.45,2BR,2,0,No,60,2,73.7,5,346070.13,Yes
MSL-00380,57,Skilled Nursing,5307.05,2BR,2,6,No,2,1,125.1,5,516337.99,No
MSL-00381,73,Independent Living,2080.08,1BR,3,3,No,34,0,111.8,3,130749.73,No
MSL-00382,96,Skilled Nursing,6574.64,2BR,3,3,No,25,1,46.4,1,1062907.94,No
MSL-00383,9,Independent Living,2681.39,1BR,3,1,No,16,4,3.1,2,16921.14,Yes
MSL-00384,62,Independent Living,2296.96,Studio,3,0,Yes,23,1,5.8,6,134666.02,No
MSL-00385,7,Independent Living,2760.51,2BR,1,2,No,88,1,20.1,10,35694.02,No
MSL-00386,15,Independent Living,2457.94,1BR,3,7,No,21,1,54.4,7,31808.39,No
MSL-00387,71,Independent Living,2317.58,Studio,3,2,No,11,2,41.2,4,101618.17,No
MSL-00388,80,Independent Living,2145.89,Studio,3,4,No,66,0,9.0,1,203321.23,No
MSL-00389,58,Skilled Nursing,5529.26,2BR,1,3,No,78,1,36.7,9,313336.18,No
MSL-00390,72,Independent Living,2531.78,2BR,2,4,No,70,1,27.7,1,88262.5,Yes
MSL-00391,30,Independent Living,2418.77,2BR,3,2,No,90,2,55.7,3,102733.88,No
MSL-00392,46,Skilled Nursing,6091.09,Suite,2,2,No,35,1,12.4,3,315309.22,No
MSL-00393,19,Independent Living,2248.33,1BR,3,8,Yes,7,1,18.2,2,22661.51,No
MSL-00394,89,Skilled Nursing,7105.96,1BR,2,2,No,11,2,15.8,4,972763.73,No
MSL-00395,67,Independent Living,2729.84,Suite,3,2,No,86,2,116.2,10,203872.24,No
MSL-00396,7,Independent Living,2601.7,1BR,3,1,No,76,2,42.8,2,35071.68,No
MSL-00397,2,Independent Living,1842.13,1BR,2,1,No,90,1,70.9,3,3667.46,No
MSL-00398,32,Skilled Nursing,5688.33,Suite,3,6,No,43,2,90.7,9,157402.02,No
MSL-00399,6,Independent Living,2205.56,Studio,3,1,Yes,40,2,49.7,2,13906.52,Yes
MSL-00400,5,Skilled Nursing,7590.14,2BR,2,2,No,38,5,67.4,5,38411.03,No
MSL-00401,42,Memory Care,5785.83,Studio,3,2,No,6,5,91.0,4,273638.39,Yes
MSL-00402,70,Skilled Nursing,6660.7,1BR,3,2,Yes,19,1,55.4,9,505486.06,No
MSL-00403,78,Independent Living,2562.9,Suite,2,1,No,25,0,2.5,7,130944.79,No
MSL-00404,3,Independent Living,2214.61,Studio,3,2,No,33,1,72.8,6,5907.12,Yes
MSL-00405,88,Skilled Nursing,8103.43,1BR,3,3,No,93,2,19.3,4,1095529.91,No
MSL-00406,56,Skilled Nursing,6872.09,2BR,3,5,No,72,2,25.6,10,441080.47,No
MSL-00407,61,Memory Care,5937.16,2BR,2,5,Yes,70,4,51.0,2,189407.04,No
MSL-00408,94,Memory Care,6060.83,Suite,3,1,No,35,2,10.9,5,970834.26,No
MSL-00409,89,Independent Living,2072.26,2BR,1,4,No,32,1,40.9,8,146438.81,No
MSL-00410,73,Memory Care,5232.73,1BR,2,0,No,71,2,48.2,6,145697.62,Yes
MSL-00411,24,Independent Living,2000.0,1BR,3,3,No,78,1,15.6,4,83717.52,Yes
MSL-00412,84,Independent Living,2051.28,Suite,1,4,No,62,3,45.3,3,83080.95,Yes
MSL-00413,96,Independent Living,2555.56,Suite,3,0,No,25,1,13.9,4,170369.8,No
MSL-00414,38,Independent Living,2303.74,Studio,3,4,No,9,0,24.5,10,59480.28,No
MSL-00415,51,Memory Care,6232.9,2BR,3,1,No,38,2,78.4,9,183160.83,No
MSL-00416,17,Independent Living,1899.87,2BR,3,0,No,91,0,15.7,10,13050.48,No
MSL-00417,37,Independent Living,2148.13,Studio,3,1,No,80,1,31.8,6,75878.83,No
MSL-00418,21,Independent Living,2256.81,2BR,2,6,No,69,4,8.1,1,64430.7,No
MSL-00419,71,Independent Living,2525.02,2BR,3,1,No,95,1,14.5,5,367285.46,No
MSL-00420,26,Independent Living,2042.27,2BR,3,6,No,22,2,43.4,2,64791.34,No
MSL-00421,84,Independent Living,1831.89,1BR,3,3,Yes,6,2,130.3,10,138414.3,No
MSL-00422,18,Skilled Nursing,6721.45,1BR,2,0,No,100,0,28.7,7,138173.35,Yes
MSL-00423,65,Skilled Nursing,6891.84,Suite,3,0,No,12,2,31.5,7,806284.09,No
MSL-00424,20,Independent Living,2447.88,1BR,3,2,No,47,0,48.2,10,37428.9,No
MSL-00425,67,Skilled Nursing,7280.66,Suite,1,4,No,35,3,106.4,4,411010.63,Yes
MSL-00426,51,Memory Care,4941.07,2BR,2,5,No,99,2,53.0,2,651411.05,Yes
MSL-00427,79,Independent Living,2489.92,Studio,3,2,No,15,3,41.9,2,203834.94,No
MSL-00428,49,Independent Living,2797.58,1BR,1,0,No,5,3,37.8,4,185063.02,Yes
MSL-00429,89,Memory Care,5395.99,2BR,1,2,Yes,10,1,18.5,6,203925.1,No
MSL-00430,39,Memory Care,5493.55,2BR,3,4,No,35,1,173.0,1,121670.36,No
MSL-00431,91,Skilled Nursing,7948.69,Studio,1,2,No,38,2,18.2,4,1560923.28,No
MSL-00432,59,Memory Care,5662.52,Studio,1,2,No,13,0,135.4,6,414011.86,No
MSL-00433,74,Memory Care,4544.3,2BR,3,3,No,50,2,32.4,4,110868.8,No
MSL-00434,4,Memory Care,5701.18,2BR,2,2,No,72,3,54.8,1,18796.58,Yes
MSL-00435,2,Memory Care,5575.29,1BR,3,3,Yes,6,1,44.4,7,14817.55,No
MSL-00436,13,Skilled Nursing,6026.18,Suite,2,2,No,74,1,4.9,4,43254.27,No
MSL-00437,13,Skilled Nursing,6857.22,1BR,3,2,No,34,3,8.8,6,61774.24,No
MSL-00438,62,Memory Care,4359.39,2BR,3,4,No,2,3,19.7,10,220363.92,No
MSL-00439,52,Skilled Nursing,6777.89,1BR,3,1,Yes,100,1,19.6,9,349837.14,No
MSL-00440,38,Independent Living,2747.38,2BR,2,2,No,61,2,42.6,9,86598.1,No
MSL-00441,10,Memory Care,5295.21,1BR,3,3,No,88,5,40.2,3,73687.21,No
MSL-00442,90,Skilled Nursing,7782.09,Studio,1,4,No,16,1,70.7,10,1460855.39,No
MSL-00443,34,Skilled Nursing,7025.06,2BR,1,3,No,65,1,72.9,8,257578.93,No
MSL-00444,3,Skilled Nursing,6140.31,2BR,3,4,No,19,2,25.6,1,17471.31,No
MSL-00445,60,Memory Care,5081.96,2BR,3,5,No,96,0,24.3,3,231162.69,No
MSL-00446,83,Independent Living,2172.59,Studio,3,2,No,68,1,23.0,2,158356.88,Yes
MSL-00447,52,Skilled Nursing,6891.71,1BR,2,1,No,68,3,103.3,1,420371.61,No
MSL-00448,29,Skilled Nursing,5627.9,Studio,3,1,No,90,0,25.9,2,149519.36,No
MSL-00449,24,Independent Living,2600.66,2BR,2,1,No,74,3,20.2,2,74703.02,No
MSL-00450,57,Skilled Nursing,8071.76,Studio,3,4,No,8,1,33.6,7,576361.97,No
MSL-00451,72,Memory Care,6349.74,Studio,1,3,No,11,3,74.4,10,654972.79,No
MSL-00452,40,Independent Living,2604.82,1BR,3,4,Yes,28,0,65.6,8,155658.4,Yes
MSL-00453,54,Independent Living,2115.13,Studio,3,8,No,38,1,9.2,9,239701.5,No
MSL-00454,59,Skilled Nursing,6334.4,1BR,2,3,No,20,1,38.0,10,206063.57,No
MSL-00455,58,Skilled Nursing,5875.74,Studio,3,1,No,26,3,19.5,9,289131.04,No
MSL-00456,3,Independent Living,2439.02,1BR,3,3,Yes,2,1,35.9,6,7363.44,No
MSL-00457,57,Independent Living,2304.76,1BR,3,5,No,12,0,6.0,8,96677.93,No
MSL-00458,12,Independent Living,2374.44,1BR,2,4,No,75,3,77.4,8,19059.77,Yes
MSL-00459,92,Memory Care,5445.7,Studio,2,2,No,75,3,69.6,9,795738.73,No
MSL-00460,51,Independent Living,2284.65,Studio,3,5,Yes,35,0,81.0,2,171942.54,Yes
MSL-00461,53,Independent Living,2831.98,Studio,2,1,No,37,0,138.6,6,169209.44,Yes
MSL-00462,72,Independent Living,2703.19,Studio,2,3,No,4,3,88.3,5,196878.98,Yes
MSL-00463,5,Independent Living,2707.41,Studio,2,2,No,21,2,117.8,9,21905.2,No
MSL-00464,43,Independent Living,2807.95,Suite,1,1,No,15,0,4.7,7,187400.04,No
MSL-00465,83,Independent Living,2203.61,Studio,2,3,No,94,2,15.7,5,132012.83,No
MSL-00466,90,Skilled Nursing,7484.74,2BR,3,4,No,16,1,55.7,7,678644.83,No
MSL-00467,1,Skilled Nursing,7286.39,1BR,3,1,No,3,3,34.6,1,7808.3,No
MSL-00468,51,Independent Living,2334.29,Studio,3,4,No,56,0,24.6,3,100833.83,Yes
MSL-00469,31,Skilled Nursing,8391.59,1BR,2,2,No,34,1,78.0,9,165127.84,No
MSL-00470,21,Independent Living,2560.69,Studio,2,2,No,100,4,67.2,4,26854.13,Yes
MSL-00471,35,Skilled Nursing,7001.53,1BR,3,3,No,63,1,125.7,1,305325.55,No
MSL-00472,64,Skilled Nursing,7279.52,Studio,3,1,No,10,2,1.0,7,348825.49,No
MSL-00473,9,Independent Living,2119.97,1BR,1,6,No,40,0,121.6,2,19966.93,Yes
MSL-00474,10,Independent Living,2765.25,1BR,3,3,No,12,2,66.0,5,29746.32,No
MSL-00475,49,Independent Living,2219.22,1BR,1,3,No,58,4,22.9,6,132276.68,No
MSL-00476,79,Skilled Nursing,7229.71,Studio,1,3,No,42,1,57.2,10,545475.19,No
MSL-00477,66,Independent Living,1803.49,1BR,2,2,No,84,3,150.7,6,122626.61,No
MSL-00478,22,Skilled Nursing,6488.1,1BR,3,1,No,92,0,43.7,7,88918.3,No
MSL-00479,94,Independent Living,2263.9,Suite,2,6,No,37,2,42.4,2,150040.0,Yes
MSL-00480,86,Memory Care,4986.46,Studio,1,2,No,78,2,23.2,3,535726.3,No
MSL-00481,13,Memory Care,4904.47,2BR,1,3,No,31,1,80.9,5,51129.47,No
MSL-00482,28,Skilled Nursing,6683.96,1BR,3,2,No,41,2,26.4,2,146899.37,No
MSL-00483,73,Independent Living,2271.64,Studio,2,2,No,39,1,38.0,6,340475.4,No
MSL-00484,58,Memory Care,5770.91,Studio,1,1,No,95,3,59.7,7,406573.64,No
MSL-00485,4,Skilled Nursing,7747.46,Studio,1,1,No,85,0,20.1,2,32392.35,No
MSL-00486,40,Memory Care,5391.49,Studio,3,6,No,59,0,3.5,9,241966.77,No
MSL-00487,67,Memory Care,5284.71,2BR,2,2,No,40,2,56.9,1,421418.6,No
MSL-00488,16,Independent Living,2518.3,1BR,1,1,No,62,1,177.5,4,62483.67,Yes
MSL-00489,88,Independent Living,1651.76,2BR,3,1,No,75,1,10.8,8,241370.77,No
MSL-00490,76,Skilled Nursing,6202.85,1BR,3,5,No,36,1,41.8,10,900067.27,No
MSL-00491,88,Independent Living,2455.39,Studio,2,3,No,18,1,80.7,10,184377.66,Yes
MSL-00492,89,Independent Living,2460.3,Studio,1,1,No,80,2,45.1,7,257836.2,Yes
MSL-00493,41,Independent Living,2872.98,2BR,1,0,No,79,0,96.7,10,145247.84,Yes
MSL-00494,23,Skilled Nursing,6890.55,Studio,1,5,No,93,0,24.8,10,503131.61,No
MSL-00495,50,Independent Living,2271.16,1BR,3,4,No,77,1,57.7,5,177042.07,Yes
MSL-00496,45,Memory Care,5605.66,2BR,1,1,No,75,2,66.7,5,362220.47,No
MSL-00497,71,Skilled Nursing,5071.56,1BR,1,3,No,77,2,10.2,2,304090.41,No
MSL-00498,68,Independent Living,2478.82,Studio,1,2,No,39,0,37.7,6,107325.59,No
MSL-00499,56,Memory Care,5265.97,2BR,2,1,No,52,5,59.0,8,444569.34,No
MSL-00500,18,Independent Living,2321.64,2BR,3,3,No,4,3,14.1,6,76524.26,No
MSL-00501,81,Memory Care,6000.48,1BR,3,7,No,0,1,24.8,6,605085.3,No
MSL-00502,70,Independent Living,2397.23,2BR,1,4,No,10,2,36.9,7,101492.73,Yes
MSL-00503,0,Skilled Nursing,7350.8,1BR,3,4,No,48,0,39.3,8,928.77,Yes
MSL-00504,48,Independent Living,2202.68,2BR,3,4,No,34,3,109.4,4,146154.77,No
MSL-00505,16,Memory Care,5062.03,2BR,3,2,No,60,1,55.5,5,49926.93,No
MSL-00506,83,Independent Living,3112.86,Studio,2,1,No,83,1,11.9,7,420221.18,No
MSL-00507,21,Skilled Nursing,7375.73,2BR,2,2,No,35,0,101.8,7,167256.75,No
MSL-00508,14,Skilled Nursing,8042.16,Studio,2,4,No,86,0,33.7,2,220269.0,No
MSL-00509,33,Memory Care,4614.73,Studio,3,7,No,13,1,41.3,1,72194.37,No
MSL-00510,94,Independent Living,2299.19,1BR,3,4,Yes,99,1,126.9,9,162647.71,No
MSL-00511,61,Skilled Nursing,7072.9,Suite,3,4,No,78,2,29.0,2,513309.36,No
MSL-00512,72,Memory Care,5009.42,1BR,1,4,No,5,1,67.3,6,979645.71,No
MSL-00513,77,Skilled Nursing,6046.33,Studio,3,4,No,84,1,23.0,7,812479.46,No
MSL-00514,87,Skilled Nursing,6970.79,Studio,3,2,No,56,0,97.9,3,365313.96,No
MSL-00515,51,Independent Living,2389.73,Studio,3,3,No,54,0,39.3,7,74492.81,No
MSL-00516,50,Independent Living,2717.55,Suite,1,2,Yes,52,1,36.6,5,168472.54,No
MSL-00517,0,Independent Living,2206.33,1BR,1,0,No,26,0,3.1,4,0.0,Yes
MSL-00518,4,Skilled Nursing,9022.7,2BR,2,2,No,99,3,72.1,10,17776.98,No
MSL-00519,51,Memory Care,5186.81,2BR,2,2,No,3,0,22.1,5,247589.59,No
MSL-00520,15,Skilled Nursing,5728.06,1BR,3,3,No,39,1,77.7,4,108464.67,No
MSL-00521,95,Skilled Nursing,6925.45,2BR,3,2,No,51,2,52.6,8,556965.46,No
MSL-00522,50,Independent Living,2898.39,1BR,3,4,No,90,1,56.9,10,145317.98,No
MSL-00523,15,Skilled Nursing,5481.77,1BR,3,2,No,34,0,35.5,6,81648.54,No
MSL-00524,37,Memory Care,5337.26,Studio,3,2,No,97,1,38.0,8,199722.71,No
MSL-00525,50,Independent Living,2513.02,Studio,2,3,No,77,1,17.5,1,116595.78,No
MSL-00526,7,Independent Living,2547.1,Studio,3,3,No,51,1,11.3,3,10382.24,No
MSL-00527,81,Independent Living,2443.55,1BR,1,1,No,83,1,125.5,3,242110.03,Yes
MSL-00528,56,Independent Living,2455.83,Suite,3,2,No,92,3,110.5,8,89839.52,Yes
MSL-00529,28,Memory Care,5352.06,2BR,3,3,No,0,2,11.5,6,128209.87,No
MSL-00530,43,Memory Care,5365.6,Studio,1,7,No,37,3,15.8,9,219461.35,No
MSL-00531,2,Skilled Nursing,7915.92,1BR,2,4,No,76,2,40.0,3,9129.57,No
MSL-00532,82,Independent Living,2342.23,Studio,3,2,No,32,0,28.6,4,210375.29,No
MSL-00533,69,Independent Living,2685.34,Suite,1,1,No,51,2,46.2,10,129075.77,No
MSL-00534,78,Skilled Nursing,6600.75,2BR,3,2,No,6,2,22.3,7,378382.77,No
MSL-00535,44,Independent Living,1933.92,Studio,3,4,No,26,3,40.9,6,70669.69,No
MSL-00536,69,Independent Living,2686.76,Studio,3,4,No,21,1,33.6,7,520693.43,No
MSL-00537,26,Memory Care,4849.22,Suite,1,1,No,57,0,65.5,3,142391.04,No
MSL-00538,68,Memory Care,4340.35,1BR,2,1,No,94,2,55.7,4,609388.72,No
MSL-00539,17,Skilled Nursing,7467.26,2BR,3,2,No,24,2,59.7,7,87669.72,No
MSL-00540,89,Independent Living,2544.5,2BR,2,1,No,20,3,29.8,8,306216.94,Yes
MSL-00541,48,Skilled Nursing,5618.33,2BR,2,1,Yes,30,0,11.0,2,202522.65,No
MSL-00542,61,Memory Care,4055.12,Suite,1,2,No,80,0,135.8,6,261875.15,No
MSL-00543,89,Independent Living,3059.08,Studio,3,3,No,31,2,96.1,8,169346.55,No
MSL-00544,29,Independent Living,2703.62,1BR,3,2,No,64,0,39.6,5,89577.31,Yes
MSL-00545,69,Skilled Nursing,6630.89,1BR,3,6,Yes,59,1,18.9,1,586151.68,No
MSL-00546,1,Skilled Nursing,5114.23,1BR,2,4,No,56,0,79.0,2,5566.3,Yes
MSL-00547,2,Independent Living,2094.87,Studio,2,1,Yes,98,0,5.1,2,3479.36,No
MSL-00548,38,Independent Living,2510.7,1BR,2,6,No,84,0,159.0,5,77033.19,No
MSL-00549,27,Independent Living,2930.97,2BR,2,3,No,50,1,56.1,5,31048.64,Yes
MSL-00550,90,Independent Living,2380.07,2BR,3,2,No,43,3,14.4,3,96146.12,No
MSL-00551,80,Memory Care,5635.81,1BR,3,4,No,14,2,19.7,1,311085.43,Yes
MSL-00552,62,Skilled Nursing,6239.27,1BR,1,2,No,45,1,28.3,6,437467.91,No
MSL-00553,44,Independent Living,2214.71,2BR,3,3,No,59,3,182.6,3,62312.01,Yes
MSL-00554,11,Independent Living,2729.2,1BR,1,4,Yes,40,1,34.3,4,16033.89,Yes
MSL-00555,90,Memory Care,3800.0,2BR,1,8,No,42,3,66.0,6,532421.19,No
MSL-00556,88,Independent Living,2414.59,Suite,3,2,No,51,0,5.1,8,137068.3,No
MSL-00557,93,Independent Living,2244.15,1BR,3,3,No,35,2,64.4,6,164539.46,Yes
MSL-00558,43,Skilled Nursing,7289.55,2BR,2,4,No,67,0,91.5,8,358955.95,No
MSL-00559,78,Memory Care,5370.42,Studio,3,6,No,53,1,31.2,4,283447.67,No
MSL-00560,5,Independent Living,1994.73,Suite,3,2,No,12,0,21.6,7,9228.0,Yes
MSL-00561,49,Independent Living,2577.67,Studio,3,2,No,15,0,28.7,1,128111.45,Yes
MSL-00562,79,Independent Living,1967.27,Studio,3,2,No,62,1,47.7,4,173236.15,Yes
MSL-00563,88,Independent Living,2688.67,1BR,3,1,No,31,2,43.1,9,397901.14,No
MSL-00564,94,Memory Care,5487.56,Studio,3,3,No,14,2,45.5,1,255997.81,No
MSL-00565,41,Memory Care,5564.92,Studio,2,2,No,85,1,21.9,5,83709.45,No
MSL-00566,36,Independent Living,2530.99,2BR,3,2,No,88,4,31.7,4,96570.8,No
MSL-00567,12,Memory Care,5473.91,Studio,2,3,No,18,1,66.7,7,110238.78,No
MSL-00568,69,Memory Care,5156.23,2BR,3,1,No,51,0,19.5,5,317094.67,No
