PolicyID,policy_age_mo,Coverage Type,PREMIUM,Pet_Species,petAge,VET_VISITS_YTD,Multi_pet_Household,claimsFiled,AutoRenew,discount_applied,ZIPRegion,est_lifetime_val,Status
TPI-00271,27,Wellness Plus,82.71,Dog,2,1,Yes,3,Yes,No,Urban,3389.37,Active
TPI-00272,27,Comprehensive,50.28,Dog,11,2,Yes,2,Yes,No,Rural,1045.16,Lapsed
TPI-00273,32,Basic Accident,20.75,Other,1,1,Yes,1,Yes,No,Urban,2698.74,Active
TPI-00274,16,Basic Accident,14.32,Dog,10,0,No,0,Yes,Yes,Urban,202.12,Active
TPI-00275,57,Comprehensive,63.53,Cat,4,1,No,1,Yes,Yes,Urban,4903.29,Active
TPI-00276,23,Comprehensive,56.72,Dog,1,0,No,0,No,No,Suburban,1244.61,Active
TPI-00277,20,Comprehensive,45.62,Other,12,2,Yes,1,No,No,Urban,1890.87,Lapsed
TPI-00278,47,Comprehensive,43.79,Cat,10,4,No,0,Yes,No,Suburban,1952.83,Active
TPI-00279,50,Basic Accident,13.57,Dog,1,1,No,0,No,No,Rural,428.09,Active
TPI-00280,6,Wellness Plus,67.02,Cat,15,1,No,1,Yes,No,Suburban,688.16,Active
TPI-00281,3,Comprehensive,51.47,Dog,10,4,No,0,Yes,Yes,Suburban,150.94,Active
TPI-00282,30,Basic Accident,26.42,Cat,0,1,No,0,Yes,No,Urban,1314.45,Active
TPI-00283,53,Wellness Plus,77.51,Other,8,0,No,1,No,No,Urban,2368.57,Active
TPI-00284,43,Comprehensive,35.79,Dog,7,1,Yes,1,Yes,No,Suburban,1177.13,Lapsed
TPI-00285,41,Comprehensive,32.0,Cat,1,0,No,1,Yes,Yes,Suburban,1071.17,Lapsed
TPI-00286,0,Basic Accident,17.86,Cat,12,4,No,0,No,No,Suburban,32.76,Lapsed
TPI-00287,56,Basic Accident,20.7,Dog,6,0,No,1,No,No,Suburban,759.78,Lapsed
TPI-00288,31,Comprehensive,49.2,Cat,4,3,No,1,Yes,No,Urban,3233.42,Active
TPI-00289,47,Basic Accident,26.1,Dog,6,3,No,0,Yes,Yes,Suburban,3455.75,Active
TPI-00290,7,Basic Accident,22.88,Dog,1,2,No,1,No,No,Urban,128.23,Lapsed
TPI-00291,59,Basic Accident,30.83,Dog,8,2,No,0,Yes,No,Urban,3383.46,Active
TPI-00292,10,Comprehensive,47.22,Dog,7,1,Yes,0,Yes,No,Urban,686.46,Active
TPI-00293,30,Basic Accident,25.62,Dog,6,0,Yes,1,Yes,Yes,Urban,894.14,Lapsed
TPI-00294,11,Wellness Plus,91.63,Dog,1,2,No,3,No,Yes,Urban,638.04,Active
TPI-00295,31,Comprehensive,59.35,Dog,0,0,No,1,Yes,No,Suburban,3155.33,Active
TPI-00296,56,Wellness Plus,100.55,Dog,9,3,No,2,Yes,No,Suburban,2577.05,Active
TPI-00297,3,Basic Accident,19.76,Cat,2,0,No,1,Yes,Yes,Urban,272.49,Active
TPI-00298,20,Wellness Plus,75.85,Cat,12,2,No,0,No,No,Suburban,1004.52,Active
TPI-00299,24,Wellness Plus,76.12,Cat,5,1,Yes,1,No,Yes,Urban,1664.18,Active
TPI-00300,51,Comprehensive,46.85,Dog,6,5,Yes,2,Yes,Yes,Rural,4579.64,Active
TPI-00301,5,Comprehensive,54.46,Dog,14,1,Yes,1,Yes,No,Rural,254.91,Active
TPI-00302,59,Comprehensive,51.88,Dog,7,1,No,2,Yes,Yes,Suburban,1930.68,Active
TPI-00303,55,Basic Accident,19.46,Cat,9,3,Yes,2,Yes,No,Urban,1080.95,Lapsed
TPI-00304,24,Basic Accident,25.73,Cat,8,1,No,2,Yes,No,Urban,1125.69,Active
TPI-00305,47,Basic Accident,20.7,Cat,11,0,Yes,1,Yes,No,Suburban,1409.88,Active
TPI-00306,56,Basic Accident,24.8,Dog,8,4,Yes,0,No,No,Urban,3141.96,Active
TPI-00307,20,Basic Accident,29.2,Dog,9,1,Yes,0,No,No,Suburban,601.93,Active
TPI-00308,50,Basic Accident,17.1,Dog,12,1,Yes,1,No,No,Suburban,1061.68,Lapsed
TPI-00309,36,Comprehensive,47.85,Cat,0,5,No,2,Yes,No,Urban,1462.46,Active
TPI-00310,31,Comprehensive,39.09,Dog,10,3,No,0,Yes,No,Suburban,455.79,Active
TPI-00311,29,Basic Accident,17.89,Dog,8,2,Yes,1,Yes,No,Suburban,1191.75,Lapsed
TPI-00312,51,Basic Accident,16.15,Cat,11,2,No,2,Yes,Yes,Urban,1189.08,Active
TPI-00313,9,Comprehensive,47.54,Other,4,4,No,0,Yes,Yes,Suburban,634.6,Active
TPI-00314,32,Comprehensive,38.64,Dog,8,2,Yes,0,No,No,Urban,819.61,Active
TPI-00315,50,Wellness Plus,99.18,Dog,1,4,No,1,Yes,Yes,Suburban,10363.19,Active
TPI-00316,8,Wellness Plus,77.77,Cat,4,2,No,0,No,Yes,Suburban,324.88,Active
TPI-00317,44,Basic Accident,16.47,Cat,12,2,No,0,Yes,No,Suburban,545.65,Active
TPI-00318,60,Basic Accident,18.97,Cat,4,3,No,0,No,Yes,Urban,945.75,Active
TPI-00319,8,Basic Accident,20.79,Dog,11,3,No,1,Yes,Yes,Suburban,428.63,Active
TPI-00320,15,Wellness Plus,69.96,Cat,12,1,No,1,Yes,Yes,Urban,1013.49,Active
TPI-00321,38,Basic Accident,20.01,Dog,9,1,No,0,Yes,Yes,Urban,1169.62,Active
TPI-00322,49,Comprehensive,42.4,Dog,13,2,No,0,Yes,No,Rural,3145.72,Lapsed
TPI-00323,25,Basic Accident,22.74,Other,5,2,No,0,No,No,Suburban,598.95,Lapsed
TPI-00324,1,Comprehensive,37.64,Cat,3,3,Yes,2,Yes,Yes,Suburban,274.62,Lapsed
TPI-00325,16,Comprehensive,57.74,Dog,6,1,No,2,Yes,Yes,Suburban,655.97,Active
TPI-00326,6,Comprehensive,47.07,Dog,1,3,No,1,Yes,No,Suburban,476.46,Active
TPI-00327,54,Comprehensive,39.96,Cat,13,0,Yes,0,Yes,Yes,Urban,2335.77,Active
TPI-00328,27,Comprehensive,38.1,Cat,6,1,No,0,No,Yes,Urban,1565.02,Lapsed
TPI-00329,48,Comprehensive,55.92,Dog,5,3,No,3,Yes,No,Urban,5454.29,Active
TPI-00330,42,Comprehensive,54.07,Cat,13,4,No,0,No,No,Rural,1575.29,Active
TPI-00331,52,Wellness Plus,93.9,Dog,2,3,Yes,2,No,Yes,Suburban,5548.72,Active
TPI-00332,29,Basic Accident,20.89,Dog,12,2,Yes,1,No,Yes,Suburban,452.21,Active
TPI-00333,40,Comprehensive,37.69,Dog,11,2,No,1,Yes,Yes,Rural,1468.68,Active
TPI-00334,39,Comprehensive,52.64,Dog,1,0,Yes,0,Yes,Yes,Urban,2604.82,Active
TPI-00335,22,Wellness Plus,79.9,Dog,1,1,No,1,Yes,No,Urban,2421.35,Active
TPI-00336,31,Comprehensive,43.01,Dog,2,1,Yes,1,Yes,No,Urban,1707.54,Active
TPI-00337,46,Comprehensive,54.21,Dog,5,2,No,0,Yes,No,Urban,1860.98,Active
TPI-00338,23,Basic Accident,25.73,Cat,2,3,Yes,1,Yes,No,Urban,768.04,Active
TPI-00339,58,Comprehensive,35.57,Dog,0,3,No,0,Yes,Yes,Urban,1694.13,Active
TPI-00340,51,Basic Accident,34.31,Dog,11,2,No,1,Yes,No,Suburban,1979.96,Active
TPI-00341,27,Basic Accident,21.37,Cat,3,2,Yes,2,Yes,Yes,Suburban,653.78,Active
TPI-00342,2,Comprehensive,48.04,Dog,7,1,No,1,No,Yes,Suburban,76.77,Active
TPI-00343,26,Comprehensive,50.69,Dog,1,2,No,1,Yes,No,Urban,1176.07,Active
TPI-00344,46,Comprehensive,60.25,Dog,15,0,No,0,Yes,No,Suburban,3288.44,Active
TPI-00345,16,Basic Accident,20.04,Dog,0,4,No,1,Yes,No,Suburban,374.63,Lapsed
TPI-00346,47,Basic Accident,18.71,Dog,6,1,No,0,Yes,No,Urban,635.14,Lapsed
TPI-00347,52,Wellness Plus,84.32,Dog,15,2,No,0,Yes,No,Urban,6451.64,Active
TPI-00348,17,Comprehensive,42.24,Dog,13,3,Yes,1,Yes,No,Urban,650.93,Active
TPI-00349,4,Comprehensive,40.04,Dog,11,1,No,0,No,Yes,Suburban,103.61,Lapsed
TPI-00350,2,Basic Accident,15.45,Dog,13,1,Yes,0,No,No,Urban,0.0,Active
TPI-00351,11,Wellness Plus,77.08,Cat,11,2,No,0,No,No,Urban,783.92,Active
TPI-00352,16,Wellness Plus,85.7,Cat,15,5,No,3,Yes,No,Suburban,1911.73,Active
TPI-00353,50,Basic Accident,19.55,Other,7,3,No,1,Yes,Yes,Suburban,1003.89,Active
TPI-00354,39,Comprehensive,38.3,Dog,8,0,Yes,1,No,Yes,Rural,1878.3,Active
TPI-00355,47,Wellness Plus,65.59,Cat,2,2,Yes,1,No,Yes,Urban,2720.97,Active
TPI-00356,53,Comprehensive,40.74,Dog,1,2,Yes,1,Yes,Yes,Suburban,2496.18,Active
TPI-00357,43,Comprehensive,58.3,Dog,0,0,No,2,Yes,Yes,Suburban,4835.84,Active
TPI-00358,15,Basic Accident,22.48,Dog,14,3,Yes,0,Yes,No,Urban,293.77,Active
TPI-00359,7,Basic Accident,21.58,Cat,8,3,No,2,Yes,No,Suburban,463.73,Active
TPI-00360,1,Basic Accident,28.92,Dog,5,1,No,0,No,No,Suburban,0.0,Lapsed
TPI-00361,10,Basic Accident,23.85,Dog,15,4,Yes,1,Yes,No,Urban,383.33,Lapsed
TPI-00362,23,Comprehensive,39.87,Cat,14,3,No,2,Yes,No,Suburban,719.19,Lapsed
TPI-00363,9,Basic Accident,26.79,Cat,11,3,No,0,Yes,No,Urban,419.05,Active
TPI-00364,51,Basic Accident,20.32,Dog,8,1,No,1,Yes,Yes,Urban,1415.75,Lapsed
TPI-00365,50,Basic Accident,15.75,Dog,4,4,No,2,Yes,Yes,Urban,1088.44,Lapsed
TPI-00366,7,Basic Accident,25.2,Dog,6,2,Yes,0,Yes,No,Urban,294.41,Active
TPI-00367,8,Wellness Plus,75.85,Dog,15,1,No,2,Yes,No,Suburban,808.09,Active
TPI-00368,2,Wellness Plus,79.9,Dog,1,2,No,0,No,No,Suburban,124.01,Active
TPI-00369,30,Comprehensive,50.03,Dog,3,2,No,1,Yes,No,Suburban,2006.19,Lapsed
TPI-00370,50,Basic Accident,25.53,Dog,12,1,No,0,Yes,No,Suburban,1422.25,Lapsed
TPI-00371,33,Basic Accident,17.9,Dog,13,2,Yes,0,Yes,Yes,Urban,457.02,Active
TPI-00372,49,Wellness Plus,72.67,Dog,10,2,No,0,Yes,No,Urban,6905.59,Active
TPI-00373,34,Comprehensive,49.92,Dog,11,4,No,0,Yes,No,Urban,2416.99,Active
TPI-00374,19,Basic Accident,14.19,Cat,15,3,No,2,Yes,Yes,Suburban,318.39,Active
TPI-00375,15,Comprehensive,38.61,Other,0,2,No,0,No,Yes,Urban,338.25,Active
TPI-00376,55,Basic Accident,15.2,Cat,7,0,Yes,0,Yes,Yes,Urban,740.85,Active
TPI-00377,10,Comprehensive,52.1,Dog,13,3,No,1,Yes,Yes,Suburban,1804.4,Active
TPI-00378,25,Wellness Plus,87.85,Dog,13,0,Yes,0,Yes,No,Suburban,956.48,Active
TPI-00379,58,Basic Accident,25.96,Dog,15,2,No,2,No,No,Suburban,4790.66,Active
TPI-00380,31,Comprehensive,55.2,Dog,12,3,No,0,No,Yes,Urban,1425.18,Lapsed
TPI-00381,32,Basic Accident,22.46,Dog,12,3,No,0,No,No,Urban,507.7,Active
TPI-00382,59,Basic Accident,21.5,Dog,9,2,No,0,No,Yes,Suburban,2238.4,Active
TPI-00383,57,Comprehensive,43.5,Dog,6,3,No,0,Yes,Yes,Suburban,2327.85,Active
TPI-00384,27,Wellness Plus,100.03,Cat,11,0,No,1,Yes,Yes,Urban,6512.36,Active
TPI-00385,27,Comprehensive,46.32,Dog,6,2,Yes,2,Yes,Yes,Urban,1373.17,Active
TPI-00386,50,Basic Accident,24.88,Cat,6,6,No,0,Yes,No,Urban,1670.45,Lapsed
TPI-00387,7,Wellness Plus,87.12,Dog,11,2,No,0,Yes,No,Rural,722.64,Active
TPI-00388,21,Comprehensive,44.85,Dog,13,4,No,1,Yes,No,Suburban,2132.3,Active
TPI-00389,50,Comprehensive,38.46,Cat,1,3,Yes,0,Yes,No,Urban,1562.32,Active
TPI-00390,20,Wellness Plus,77.49,Cat,15,4,Yes,2,Yes,No,Suburban,1443.96,Active
TPI-00391,54,Wellness Plus,73.34,Cat,1,2,Yes,0,No,No,Urban,3799.96,Active
TPI-00392,8,Comprehensive,51.21,Other,0,1,No,2,Yes,Yes,Suburban,615.21,Active
TPI-00393,30,Comprehensive,47.52,Cat,15,1,Yes,0,Yes,No,Rural,3254.86,Active
TPI-00394,46,Basic Accident,20.98,Cat,7,3,No,2,Yes,No,Suburban,1531.78,Active
TPI-00395,13,Comprehensive,49.54,Cat,1,2,No,0,No,No,Suburban,597.62,Active
TPI-00396,27,Basic Accident,15.17,Dog,2,1,No,1,Yes,Yes,Urban,471.78,Lapsed
TPI-00397,52,Comprehensive,32.0,Dog,0,4,Yes,0,Yes,No,Suburban,1170.39,Active
TPI-00398,27,Comprehensive,50.71,Dog,4,2,No,1,Yes,No,Urban,1431.15,Active
TPI-00399,1,Comprehensive,58.2,Other,14,2,No,1,No,Yes,Suburban,117.87,Active
TPI-00400,36,Comprehensive,43.09,Dog,10,3,Yes,0,No,Yes,Suburban,1208.32,Active
TPI-00401,29,Basic Accident,19.57,Cat,13,2,No,0,Yes,No,Urban,581.59,Active
TPI-00402,52,Comprehensive,40.82,Dog,6,3,No,0,Yes,Yes,Rural,3229.11,Active
TPI-00403,42,Basic Accident,33.4,Dog,13,2,No,1,No,No,Urban,2255.29,Lapsed
TPI-00404,18,Wellness Plus,56.11,Cat,2,1,No,2,Yes,No,Urban,897.6,Active
TPI-00405,13,Basic Accident,26.95,Dog,5,1,No,0,Yes,No,Rural,366.47,Lapsed
TPI-00406,55,Comprehensive,53.68,Cat,11,1,No,0,Yes,Yes,Rural,5688.89,Lapsed
TPI-00407,55,Basic Accident,23.44,Dog,5,2,No,1,Yes,No,Rural,1101.93,Active
TPI-00408,40,Comprehensive,37.96,Dog,14,2,Yes,0,Yes,No,Suburban,2164.19,Active
TPI-00409,21,Basic Accident,19.13,Dog,11,2,Yes,1,No,No,Urban,381.59,Lapsed
TPI-00410,33,Wellness Plus,68.6,Dog,0,2,No,0,No,No,Urban,2042.54,Active
TPI-00411,22,Comprehensive,32.0,Dog,8,2,No,0,Yes,No,Urban,2540.75,Active
TPI-00412,28,Comprehensive,49.23,Other,5,1,Yes,1,Yes,No,Suburban,743.73,Active
TPI-00413,57,Comprehensive,43.11,Dog,7,5,No,1,Yes,No,Rural,1762.46,Active
TPI-00414,41,Comprehensive,52.96,Dog,2,1,Yes,0,Yes,No,Rural,1285.37,Active
TPI-00415,35,Basic Accident,23.83,Cat,7,2,No,0,Yes,Yes,Rural,1267.02,Lapsed
TPI-00416,41,Comprehensive,48.43,Dog,5,2,Yes,0,No,No,Urban,805.84,Active
TPI-00417,8,Wellness Plus,74.17,Dog,14,2,No,0,No,No,Urban,1301.05,Active
TPI-00418,15,Wellness Plus,87.59,Dog,10,4,No,2,Yes,No,Suburban,1314.8,Active
TPI-00419,20,Basic Accident,26.31,Dog,15,1,No,1,Yes,No,Suburban,555.01,Lapsed
TPI-00420,11,Basic Accident,23.66,Cat,2,2,Yes,0,No,Yes,Suburban,437.94,Lapsed
TPI-00421,40,Wellness Plus,69.85,Other,2,0,No,0,Yes,No,Urban,2729.09,Active
TPI-00422,25,Basic Accident,22.02,Dog,0,1,No,2,No,Yes,Suburban,1160.52,Lapsed
TPI-00423,57,Basic Accident,20.59,Dog,1,4,No,2,Yes,Yes,Urban,1578.48,Active
TPI-00424,43,Comprehensive,53.17,Cat,13,0,No,0,No,No,Urban,1929.93,Active
TPI-00425,22,Basic Accident,26.54,Dog,8,6,Yes,0,Yes,No,Suburban,931.83,Lapsed
TPI-00426,53,Wellness Plus,85.41,Dog,13,6,No,0,Yes,No,Suburban,6543.82,Active
TPI-00427,11,Basic Accident,22.11,Dog,1,2,Yes,1,No,No,Suburban,232.47,Lapsed
TPI-00428,17,Comprehensive,48.99,Dog,5,1,No,1,No,No,Urban,647.86,Active
TPI-00429,44,Basic Accident,21.2,Cat,10,2,No,1,Yes,Yes,Rural,2364.85,Active
TPI-00430,5,Comprehensive,54.63,Cat,14,4,Yes,1,No,No,Urban,319.45,Active
TPI-00431,1,Wellness Plus,93.54,Dog,1,0,No,4,Yes,Yes,Rural,307.07,Active
TPI-00432,21,Comprehensive,70.0,Dog,0,0,No,2,Yes,Yes,Suburban,2505.45,Active
TPI-00433,52,Basic Accident,21.32,Dog,1,2,No,1,No,No,Urban,1462.13,Active
TPI-00434,49,Basic Accident,19.68,Dog,6,2,No,0,Yes,No,Suburban,1529.81,Active
TPI-00435,58,Basic Accident,22.8,Cat,7,3,Yes,2,Yes,No,Suburban,1210.63,Active
TPI-00436,32,Comprehensive,44.58,Cat,6,2,No,1,No,No,Suburban,857.51,Active
TPI-00437,28,Comprehensive,46.41,Cat,4,4,No,0,No,No,Urban,1651.62,Active
TPI-00438,5,Comprehensive,39.0,Cat,5,3,No,0,Yes,No,Urban,289.68,Active
TPI-00439,29,Wellness Plus,71.34,Dog,1,0,Yes,1,Yes,No,Urban,2252.75,Active
TPI-00440,21,Basic Accident,14.97,Other,4,1,No,2,No,Yes,Suburban,722.42,Lapsed
TPI-00441,30,Wellness Plus,82.0,Dog,2,1,No,1,Yes,Yes,Suburban,4825.51,Active
TPI-00442,29,Comprehensive,45.91,Dog,4,1,No,1,Yes,No,Urban,988.53,Active
TPI-00443,49,Comprehensive,47.95,Dog,2,0,Yes,1,Yes,No,Suburban,4670.49,Active
TPI-00444,58,Basic Accident,19.66,Dog,4,0,No,1,Yes,Yes,Suburban,2107.35,Active
TPI-00445,33,Comprehensive,44.69,Dog,11,1,No,0,No,No,Suburban,1485.82,Lapsed
TPI-00446,56,Basic Accident,18.99,Dog,11,1,Yes,1,Yes,No,Urban,2019.68,Active
TPI-00447,58,Wellness Plus,93.42,Cat,11,3,No,0,Yes,No,Urban,4374.25,Active
TPI-00448,25,Comprehensive,48.65,Dog,14,2,No,0,Yes,No,Suburban,1320.33,Active
TPI-00449,19,Comprehensive,48.9,Dog,15,3,No,2,No,Yes,Urban,1510.44,Active
TPI-00450,59,Comprehensive,49.85,Dog,15,3,Yes,0,No,No,Suburban,2227.19,Active
TPI-00451,39,Basic Accident,24.92,Cat,11,3,No,0,Yes,No,Suburban,708.14,Lapsed
TPI-00452,12,Comprehensive,44.59,Dog,8,2,No,0,Yes,No,Urban,879.69,Active
TPI-00453,47,Basic Accident,23.56,Dog,6,1,No,0,Yes,No,Rural,1042.74,Lapsed
TPI-00454,52,Comprehensive,35.06,Cat,6,0,No,0,Yes,Yes,Urban,2407.95,Active
TPI-00455,29,Wellness Plus,78.68,Dog,7,2,No,3,No,No,Rural,2069.96,Active
TPI-00456,55,Wellness Plus,78.26,Other,14,5,Yes,2,No,No,Suburban,1898.25,Active
TPI-00457,51,Comprehensive,53.37,Other,6,2,No,0,Yes,No,Suburban,2458.81,Active
TPI-00458,36,Comprehensive,45.32,Dog,12,3,No,0,Yes,Yes,Suburban,2676.58,Active
TPI-00459,16,Basic Accident,31.71,Dog,10,1,No,0,No,No,Suburban,612.68,Lapsed
TPI-00460,44,Wellness Plus,73.39,Dog,7,2,No,0,Yes,No,Urban,3015.59,Active
TPI-00461,39,Basic Accident,21.04,Dog,1,4,No,0,Yes,No,Rural,567.43,Active
TPI-00462,44,Wellness Plus,71.08,Dog,5,2,No,2,Yes,No,Urban,4988.33,Active
TPI-00463,0,Comprehensive,54.06,Dog,14,3,No,0,No,No,Suburban,0.0,Active
TPI-00464,56,Basic Accident,25.0,Cat,1,1,No,0,Yes,No,Suburban,1431.28,Active
TPI-00465,53,Comprehensive,44.87,Dog,11,2,No,2,Yes,No,Urban,5524.96,Active
TPI-00466,0,Wellness Plus,63.42,Cat,3,6,No,1,Yes,No,Rural,282.48,Active
TPI-00467,55,Comprehensive,36.67,Cat,7,1,No,1,Yes,No,Rural,2843.3,Active
TPI-00468,17,Basic Accident,14.07,Dog,15,2,No,0,No,No,Urban,213.22,Lapsed
TPI-00469,60,Comprehensive,45.35,Cat,5,1,No,1,Yes,No,Urban,1548.33,Active
TPI-00470,15,Comprehensive,32.74,Dog,12,2,No,1,Yes,No,Rural,923.54,Active
TPI-00471,12,Comprehensive,40.17,Cat,13,1,No,0,Yes,Yes,Rural,471.41,Active
TPI-00472,0,Basic Accident,21.91,Dog,6,0,No,0,Yes,Yes,Suburban,36.29,Active
TPI-00473,43,Basic Accident,19.51,Cat,7,2,No,2,Yes,Yes,Urban,2711.53,Active
TPI-00474,60,Wellness Plus,70.82,Dog,10,1,No,0,Yes,No,Suburban,4202.3,Active
TPI-00475,19,Basic Accident,17.0,Dog,4,1,No,1,Yes,Yes,Suburban,244.49,Active
TPI-00476,14,Basic Accident,22.85,Cat,1,1,No,1,Yes,Yes,Suburban,411.61,Active
TPI-00477,51,Basic Accident,28.93,Dog,8,3,No,1,No,No,Suburban,2276.43,Active
TPI-00478,22,Wellness Plus,76.42,Dog,15,0,No,1,Yes,No,Rural,1819.4,Active
TPI-00479,32,Basic Accident,23.43,Dog,5,3,No,1,No,No,Suburban,519.21,Active
TPI-00480,19,Basic Accident,16.23,Dog,8,0,Yes,1,Yes,Yes,Suburban,437.66,Lapsed
TPI-00481,54,Wellness Plus,82.46,Cat,14,1,Yes,1,No,No,Urban,4435.02,Active
TPI-00482,55,Wellness Plus,92.35,Other,12,5,No,1,No,No,Urban,7886.32,Active
TPI-00483,60,Basic Accident,13.93,Dog,0,0,Yes,3,Yes,Yes,Urban,837.82,Lapsed
TPI-00484,60,Comprehensive,45.43,Dog,10,3,Yes,0,No,No,Urban,3107.7,Active
TPI-00485,28,Comprehensive,38.06,Cat,9,2,No,0,No,No,Urban,670.69,Active
TPI-00486,18,Comprehensive,46.05,Dog,9,0,Yes,1,No,No,Urban,1085.7,Active
TPI-00487,29,Basic Accident,22.74,Other,10,1,Yes,2,Yes,Yes,Rural,560.67,Active
TPI-00488,60,Comprehensive,40.24,Dog,8,3,Yes,0,No,No,Urban,2177.19,Active
TPI-00489,59,Basic Accident,19.57,Dog,8,2,No,2,Yes,No,Urban,1053.15,Active
TPI-00490,16,Comprehensive,52.42,Dog,2,3,Yes,0,Yes,No,Suburban,1283.01,Active
TPI-00491,38,Basic Accident,16.73,Dog,5,2,No,0,Yes,No,Suburban,883.72,Active
TPI-00492,51,Basic Accident,24.56,Dog,8,5,No,1,No,No,Rural,1435.43,Active
TPI-00493,57,Basic Accident,27.19,Dog,6,2,No,1,Yes,Yes,Suburban,3691.46,Lapsed
TPI-00494,53,Basic Accident,15.63,Cat,15,3,No,0,Yes,No,Suburban,1382.86,Active
TPI-00495,44,Basic Accident,25.95,Cat,7,1,No,1,Yes,No,Urban,1698.25,Active
TPI-00496,23,Comprehensive,32.0,Dog,0,5,No,2,Yes,No,Suburban,1332.19,Lapsed
TPI-00497,0,Basic Accident,19.21,Dog,2,3,Yes,1,Yes,No,Urban,137.89,Lapsed
TPI-00498,12,Comprehensive,49.97,Dog,5,3,No,0,Yes,No,Suburban,643.79,Active
TPI-00499,21,Wellness Plus,62.88,Dog,8,6,Yes,0,No,No,Rural,1274.3,Active
TPI-00500,13,Comprehensive,46.81,Dog,13,2,Yes,0,No,No,Suburban,153.63,Lapsed
TPI-00501,42,Basic Accident,21.57,Dog,3,2,No,2,Yes,No,Rural,724.4,Lapsed
TPI-00502,28,Comprehensive,42.1,Dog,10,0,Yes,0,Yes,No,Suburban,1349.31,Active
TPI-00503,60,Basic Accident,26.17,Dog,15,2,No,2,Yes,No,Suburban,2876.6,Lapsed
TPI-00504,42,Basic Accident,18.64,Cat,2,2,No,1,No,Yes,Urban,745.48,Lapsed
TPI-00505,58,Comprehensive,46.37,Cat,11,3,No,1,No,No,Urban,1489.21,Lapsed
TPI-00506,57,Comprehensive,50.8,Cat,2,3,No,1,Yes,No,Suburban,1982.15,Active
TPI-00507,59,Basic Accident,21.57,Cat,14,1,No,1,Yes,No,Suburban,760.2,Active
TPI-00508,24,Basic Accident,18.09,Cat,7,1,No,0,Yes,No,Urban,991.09,Lapsed
TPI-00509,9,Comprehensive,32.0,Dog,4,3,No,0,No,No,Suburban,203.51,Active
TPI-00510,27,Basic Accident,23.3,Cat,4,2,No,0,Yes,Yes,Suburban,893.0,Active
TPI-00511,45,Comprehensive,52.67,Cat,2,1,No,1,Yes,No,Suburban,3955.06,Active
TPI-00512,10,Basic Accident,23.79,Dog,2,1,Yes,1,Yes,No,Rural,414.91,Lapsed
TPI-00513,1,Comprehensive,60.71,Dog,10,3,No,1,No,No,Suburban,120.69,Active
TPI-00514,30,Wellness Plus,64.24,Dog,13,2,No,0,No,Yes,Urban,1858.01,Lapsed
TPI-00515,32,Wellness Plus,94.45,Dog,3,3,No,1,No,No,Rural,4705.26,Active
TPI-00516,7,Wellness Plus,73.79,Cat,11,1,No,1,Yes,No,Suburban,680.3,Active
TPI-00517,56,Basic Accident,16.16,Dog,3,0,No,1,No,Yes,Suburban,1035.9,Lapsed
TPI-00518,8,Basic Accident,18.68,Cat,6,4,No,0,Yes,No,Urban,188.41,Active
TPI-00519,48,Comprehensive,36.94,Dog,10,3,No,1,Yes,No,Urban,1300.27,Active
TPI-00520,44,Comprehensive,62.09,Cat,2,0,No,2,Yes,No,Urban,3652.22,Active
TPI-00521,35,Basic Accident,27.63,Dog,4,1,No,0,Yes,No,Suburban,1158.44,Lapsed
TPI-00522,31,Basic Accident,24.38,Cat,0,1,No,0,Yes,No,Urban,760.77,Lapsed
TPI-00523,31,Comprehensive,55.17,Dog,14,4,No,0,Yes,No,Urban,1483.43,Active
TPI-00524,44,Basic Accident,22.76,Cat,2,3,Yes,0,Yes,Yes,Suburban,1198.98,Active
TPI-00525,45,Comprehensive,41.91,Dog,11,3,No,0,Yes,Yes,Suburban,1443.92,Active
TPI-00526,0,Comprehensive,48.78,Dog,5,3,Yes,0,Yes,No,Suburban,150.75,Active
TPI-00527,10,Wellness Plus,85.57,Dog,6,2,No,2,No,No,Urban,480.71,Active
TPI-00528,10,Comprehensive,43.13,Dog,4,1,Yes,0,Yes,No,Suburban,727.37,Active
TPI-00529,21,Comprehensive,49.07,Dog,5,1,No,1,No,No,Suburban,831.22,Active
TPI-00530,15,Basic Accident,25.92,Cat,4,0,Yes,0,No,Yes,Urban,319.35,Active
TPI-00531,58,Wellness Plus,90.26,Dog,0,2,Yes,1,Yes,No,Rural,5860.96,Active
TPI-00532,38,Comprehensive,61.42,Dog,3,3,No,1,Yes,No,Suburban,2435.31,Active
TPI-00533,5,Basic Accident,18.77,Dog,3,3,Yes,0,No,No,Suburban,40.87,Active
TPI-00534,59,Comprehensive,52.31,Cat,1,3,No,1,No,Yes,Urban,2630.12,Active
TPI-00535,60,Comprehensive,45.47,Dog,3,2,Yes,2,Yes,No,Urban,3507.39,Lapsed
TPI-00536,30,Wellness Plus,84.32,Dog,1,1,No,0,Yes,No,Rural,2749.87,Active
TPI-00537,46,Basic Accident,20.53,Dog,13,4,Yes,0,Yes,Yes,Urban,1480.6,Lapsed
TPI-00538,6,Basic Accident,18.37,Dog,15,2,No,2,Yes,No,Rural,439.17,Active
TPI-00539,30,Comprehensive,51.1,Dog,4,3,Yes,1,No,No,Urban,1787.93,Active
TPI-00540,12,Wellness Plus,78.3,Dog,2,2,No,0,No,No,Suburban,505.6,Active
