Client Reference Number,Months as Client,Service Tier,Monthly Retainer Fee,Primary Practice Area,Case Load Estimate,Number of Matters Filed,Preferred Contact Method,Has Dedicated Attorney,Average Response Time Hours,Referral Source,Billing Dispute Count,Uses Client Portal,Estimated Lifetime Client Value,Left Firm
VLS-00233,57,Signature Retainer,3739.02,Litigation,1,2,Email,Yes,8.8,Referral,0,No,89516.3,No
VLS-00234,0,Premier Retainer,2226.49,Corporate,2,1,Email,Yes,0.7,Referral,0,No,761.81,Yes
VLS-00235,48,Signature Retainer,3926.66,Corporate,0,0,Email,No,11.1,Referral,0,No,197254.05,No
VLS-00236,48,Signature Retainer,5296.76,Family,2,3,Email,No,17.2,Repeat Client,1,Yes,561228.06,No
VLS-00237,30,Premier Retainer,2071.8,Estate Planning,2,0,Email,Yes,7.3,Referral,1,No,59494.04,No
VLS-00238,84,Signature Retainer,5969.78,Litigation,2,3,Email,Yes,22.9,Web Search,0,No,356908.95,No
VLS-00239,75,Basic Retainer,794.54,Estate Planning,1,0,Email,Yes,2.1,Referral,0,No,68994.57,No
VLS-00240,3,Basic Retainer,1001.44,Real Estate,1,2,Phone,No,4.8,Referral,0,No,3152.42,No
VLS-00241,17,Signature Retainer,5145.4,Litigation,2,3,Phone,No,21.8,Advertisement,0,Yes,82675.67,No
VLS-00242,17,Signature Retainer,4771.76,Real Estate,1,5,Phone,Yes,16.8,Web Search,1,No,47210.35,No
VLS-00243,76,Basic Retainer,970.61,Estate Planning,1,0,Email,No,2.0,Advertisement,0,No,68527.38,No
VLS-00244,44,Premier Retainer,1901.05,Real Estate,3,2,Email,Yes,2.4,Referral,0,No,64895.05,No
VLS-00245,61,Premier Retainer,1901.33,Family,2,5,Client Portal,No,14.7,Repeat Client,0,Yes,106177.62,No
VLS-00246,68,Signature Retainer,3263.37,Real Estate,3,1,Client Portal,No,12.7,Web Search,0,Yes,308782.32,No
VLS-00247,65,Premier Retainer,1736.88,Real Estate,3,0,Client Portal,No,8.0,Repeat Client,0,Yes,83257.83,No
VLS-00248,7,Premier Retainer,2393.65,Corporate,2,3,Client Portal,Yes,22.4,Referral,0,No,16719.16,No
VLS-00249,11,Basic Retainer,1184.43,Family,3,3,Phone,No,5.8,Web Search,1,Yes,17277.68,Yes
VLS-00250,33,Premier Retainer,2123.59,Family,2,3,Client Portal,Yes,1.2,Referral,0,No,62925.29,No
VLS-00251,28,Premier Retainer,1841.16,Litigation,1,1,Email,No,15.4,Advertisement,0,Yes,167099.63,No
VLS-00252,63,Signature Retainer,3384.29,Family,0,1,Phone,No,17.7,Advertisement,0,Yes,238907.36,No
VLS-00253,13,Premier Retainer,2342.56,Litigation,2,2,Client Portal,Yes,6.1,Web Search,0,Yes,17956.45,No
VLS-00254,31,Basic Retainer,752.5,Family,0,0,Phone,Yes,3.7,Referral,1,Yes,17548.13,No
VLS-00255,20,Basic Retainer,784.04,Litigation,1,0,Email,No,1.3,Referral,1,Yes,9716.35,Yes
VLS-00256,16,Premier Retainer,1931.87,Corporate,0,0,Email,No,9.6,Referral,2,No,20811.41,No
VLS-00257,14,Signature Retainer,4890.59,Estate Planning,1,1,Email,Yes,12.3,Repeat Client,1,No,88353.97,No
VLS-00258,16,Basic Retainer,810.2,Real Estate,3,0,Email,No,18.6,Referral,0,Yes,8119.49,Yes
VLS-00259,47,Basic Retainer,786.27,Corporate,1,1,Client Portal,No,12.8,Referral,0,Yes,32367.62,No
VLS-00260,34,Premier Retainer,1678.05,Corporate,2,3,Phone,Yes,6.5,Referral,1,No,97106.8,No
VLS-00261,36,Basic Retainer,734.3,Corporate,1,0,Email,No,11.1,Referral,0,Yes,20687.77,No
VLS-00262,40,Signature Retainer,4549.36,Family,1,2,Phone,Yes,19.2,Repeat Client,1,No,247481.96,No
VLS-00263,62,Basic Retainer,500.0,Litigation,4,4,Email,Yes,12.1,Referral,0,No,16013.82,No
VLS-00264,73,Basic Retainer,793.49,Estate Planning,5,3,Phone,No,17.4,Repeat Client,0,No,49645.28,No
VLS-00265,44,Signature Retainer,4025.92,Litigation,1,2,Email,No,3.9,Advertisement,0,Yes,119289.01,No
VLS-00266,54,Basic Retainer,898.02,Real Estate,1,4,Phone,No,15.0,Web Search,0,No,55989.18,No
VLS-00267,62,Basic Retainer,785.88,Family,0,3,Phone,No,12.8,Web Search,1,No,30969.47,Yes
VLS-00268,58,Basic Retainer,1101.6,Litigation,4,0,Phone,No,7.6,Advertisement,0,Yes,161321.44,No
VLS-00269,11,Basic Retainer,851.74,Litigation,4,3,Phone,No,19.4,Advertisement,0,No,5393.89,Yes
VLS-00270,83,Basic Retainer,1017.83,Family,4,1,Email,No,31.9,Referral,0,Yes,141152.57,No
VLS-00271,14,Basic Retainer,883.98,Estate Planning,4,1,Phone,No,1.9,Repeat Client,0,Yes,17516.45,Yes
VLS-00272,35,Basic Retainer,957.43,Family,1,3,Email,Yes,7.8,Referral,1,No,40320.98,No
VLS-00273,55,Basic Retainer,886.3,Litigation,3,0,Email,No,9.1,Referral,1,Yes,49931.43,Yes
VLS-00274,34,Premier Retainer,2406.37,Estate Planning,3,4,Phone,No,9.6,Web Search,1,Yes,188819.79,No
VLS-00275,20,Premier Retainer,1938.87,Litigation,2,1,Phone,Yes,5.9,Advertisement,0,Yes,118510.84,No
VLS-00276,78,Basic Retainer,1027.94,Corporate,2,2,Client Portal,No,2.3,Referral,1,No,73089.45,No
VLS-00277,6,Basic Retainer,857.27,Real Estate,2,1,Email,Yes,8.1,Referral,0,No,6182.89,No
VLS-00278,20,Premier Retainer,1977.33,Corporate,4,3,Client Portal,No,9.2,Referral,0,No,31023.95,No
VLS-00279,84,Signature Retainer,4845.87,Litigation,1,1,Email,No,7.6,Web Search,0,No,241455.91,No
VLS-00280,62,Signature Retainer,4880.59,Family,2,0,Phone,Yes,9.3,Referral,0,Yes,373777.23,No
VLS-00281,7,Basic Retainer,914.5,Litigation,0,2,Client Portal,No,11.3,Repeat Client,1,No,8438.73,No
VLS-00282,64,Basic Retainer,897.62,Estate Planning,1,1,Phone,No,8.4,Referral,0,Yes,28116.05,No
VLS-00283,82,Basic Retainer,812.52,Corporate,3,0,Client Portal,No,5.9,Repeat Client,1,No,82062.97,Yes
VLS-00284,8,Basic Retainer,902.65,Family,1,0,Client Portal,No,9.4,Advertisement,0,No,7806.14,No
VLS-00285,35,Premier Retainer,2112.35,Real Estate,2,1,Email,Yes,11.9,Advertisement,2,No,57411.15,Yes
VLS-00286,39,Premier Retainer,2442.78,Family,2,1,Client Portal,No,10.0,Repeat Client,0,No,70724.4,No
VLS-00287,11,Basic Retainer,1140.47,Corporate,1,0,Client Portal,No,33.2,Referral,0,No,15459.92,No
VLS-00288,17,Basic Retainer,814.85,Corporate,1,1,Email,No,12.5,Web Search,2,Yes,28730.64,Yes
VLS-00289,14,Premier Retainer,2106.01,Family,2,2,Email,No,9.7,Referral,1,Yes,35791.55,No
VLS-00290,15,Basic Retainer,904.53,Real Estate,3,1,Email,No,5.2,Referral,0,No,19599.29,No
VLS-00291,34,Signature Retainer,5461.09,Real Estate,1,1,Client Portal,Yes,5.3,Referral,0,No,128622.87,No
VLS-00292,39,Basic Retainer,1013.51,Corporate,4,3,Client Portal,No,7.6,Advertisement,0,No,33161.71,Yes
VLS-00293,20,Signature Retainer,4895.62,Family,1,0,Client Portal,No,7.8,Repeat Client,1,No,128424.26,No
VLS-00294,24,Basic Retainer,998.23,Family,2,1,Email,No,7.6,Referral,1,Yes,13668.05,No
VLS-00295,16,Signature Retainer,5659.88,Corporate,5,3,Email,Yes,12.9,Advertisement,1,Yes,100711.86,No
VLS-00296,67,Signature Retainer,4805.6,Litigation,4,1,Email,No,19.0,Referral,1,Yes,402353.25,No
VLS-00297,17,Signature Retainer,4719.27,Family,1,4,Email,Yes,15.4,Referral,1,No,80397.96,No
VLS-00298,77,Signature Retainer,5545.02,Real Estate,2,1,Email,Yes,14.2,Referral,0,No,494515.73,No
VLS-00299,45,Premier Retainer,1740.26,Estate Planning,0,1,Email,No,4.7,Web Search,1,No,79661.39,No
VLS-00300,68,Premier Retainer,2263.16,Real Estate,3,0,Email,Yes,20.9,Web Search,1,No,117350.76,No
VLS-00301,54,Premier Retainer,1954.5,Real Estate,1,1,Email,No,5.1,Referral,0,No,61729.23,No
VLS-00302,22,Basic Retainer,851.52,Corporate,0,1,Phone,No,11.7,Referral,2,Yes,18343.17,No
VLS-00303,51,Premier Retainer,2666.38,Corporate,2,2,Email,No,13.6,Web Search,0,Yes,244882.03,Yes
VLS-00304,23,Premier Retainer,2099.66,Corporate,0,3,Email,No,21.2,Repeat Client,1,Yes,76447.46,No
VLS-00305,10,Signature Retainer,4115.09,Litigation,0,2,Phone,No,29.5,Referral,1,No,35740.12,No
VLS-00306,21,Premier Retainer,1429.49,Litigation,3,1,Client Portal,No,7.4,Advertisement,0,Yes,25740.49,No
VLS-00307,23,Basic Retainer,540.16,Corporate,0,1,Phone,No,11.1,Web Search,1,No,10269.28,Yes
VLS-00308,11,Premier Retainer,2207.21,Corporate,2,2,Phone,Yes,20.0,Web Search,0,Yes,21134.69,Yes
VLS-00309,2,Basic Retainer,917.17,Family,0,0,Phone,Yes,31.1,Referral,0,No,3060.61,No
VLS-00310,80,Basic Retainer,561.47,Real Estate,4,1,Phone,No,8.0,Repeat Client,1,Yes,73000.96,Yes
VLS-00311,43,Premier Retainer,2683.38,Real Estate,5,3,Phone,No,4.9,Web Search,1,No,319829.61,No
VLS-00312,34,Premier Retainer,2572.78,Litigation,5,0,Email,Yes,3.0,Referral,0,Yes,61570.54,No
VLS-00313,79,Basic Retainer,1041.09,Estate Planning,2,2,Phone,No,2.0,Repeat Client,0,No,110592.79,Yes
VLS-00314,19,Basic Retainer,872.03,Family,1,0,Email,No,5.6,Repeat Client,0,No,21731.35,Yes
VLS-00315,34,Basic Retainer,979.96,Real Estate,4,0,Email,No,17.5,Advertisement,0,Yes,28618.13,No
VLS-00316,71,Basic Retainer,732.73,Real Estate,3,1,Email,No,18.2,Repeat Client,0,No,32666.03,No
VLS-00317,53,Basic Retainer,648.17,Family,4,1,Email,Yes,12.5,Referral,0,No,39471.01,Yes
VLS-00318,33,Premier Retainer,2649.29,Estate Planning,1,5,Email,No,7.7,Advertisement,1,Yes,227838.28,No
VLS-00319,21,Basic Retainer,883.9,Corporate,2,0,Phone,No,12.9,Referral,0,No,20593.99,Yes
VLS-00320,2,Signature Retainer,6770.11,Litigation,2,1,Email,Yes,10.1,Repeat Client,0,No,11213.15,No
VLS-00321,7,Signature Retainer,5062.68,Litigation,2,1,Email,Yes,8.0,Referral,0,No,33705.41,No
VLS-00322,13,Premier Retainer,1794.07,Estate Planning,4,0,Email,No,12.1,Referral,1,No,13651.75,No
VLS-00323,66,Basic Retainer,845.63,Real Estate,2,1,Email,Yes,7.5,Web Search,1,No,57619.9,No
VLS-00324,54,Premier Retainer,2373.65,Family,5,0,Phone,No,12.1,Advertisement,0,Yes,174862.99,Yes
VLS-00325,36,Signature Retainer,5066.58,Litigation,7,0,Email,Yes,13.4,Web Search,2,Yes,134784.18,No
VLS-00326,66,Premier Retainer,1883.4,Litigation,2,1,Email,Yes,15.7,Advertisement,0,Yes,30279.72,No
VLS-00327,13,Signature Retainer,5167.57,Real Estate,3,0,Email,Yes,2.4,Referral,2,No,76956.3,No
VLS-00328,17,Premier Retainer,2167.29,Litigation,3,0,Email,Yes,21.0,Referral,0,Yes,30270.17,Yes
VLS-00329,33,Premier Retainer,1718.11,Corporate,3,1,Email,No,9.2,Web Search,1,Yes,41529.8,No
VLS-00330,77,Basic Retainer,786.1,Real Estate,3,0,Email,No,29.7,Referral,0,No,43771.3,Yes
VLS-00331,52,Premier Retainer,1906.66,Estate Planning,3,2,Phone,Yes,17.6,Advertisement,0,Yes,120294.54,No
VLS-00332,72,Basic Retainer,861.01,Family,2,0,Client Portal,No,5.1,Repeat Client,0,Yes,52094.75,No
VLS-00333,21,Premier Retainer,1897.13,Real Estate,5,0,Phone,No,14.4,Web Search,1,No,60942.14,No
VLS-00334,72,Signature Retainer,6114.0,Estate Planning,2,1,Email,Yes,20.1,Web Search,0,No,676305.83,No
VLS-00335,6,Basic Retainer,1209.77,Litigation,2,3,Email,Yes,8.3,Web Search,0,No,7848.5,No
VLS-00336,19,Premier Retainer,2369.57,Estate Planning,2,3,Phone,Yes,4.8,Repeat Client,1,Yes,37728.22,No
VLS-00337,44,Basic Retainer,958.49,Family,3,4,Email,No,4.1,Advertisement,0,No,45712.37,No
VLS-00338,4,Premier Retainer,2340.22,Estate Planning,2,3,Client Portal,No,3.0,Repeat Client,0,No,9279.42,No
VLS-00339,72,Basic Retainer,986.43,Corporate,1,0,Phone,No,1.4,Referral,0,Yes,32956.49,Yes
VLS-00340,73,Signature Retainer,5354.76,Real Estate,2,0,Email,Yes,9.3,Advertisement,1,Yes,926064.59,No
VLS-00341,46,Basic Retainer,959.71,Family,3,2,Email,No,4.3,Referral,1,Yes,61583.89,No
VLS-00342,25,Signature Retainer,3676.46,Litigation,0,2,Client Portal,No,6.1,Advertisement,0,No,75137.3,No
VLS-00343,8,Signature Retainer,5782.43,Estate Planning,4,0,Client Portal,Yes,30.1,Repeat Client,1,Yes,20672.38,No
VLS-00344,52,Premier Retainer,2183.05,Litigation,2,1,Client Portal,No,13.5,Repeat Client,1,No,105121.5,No
VLS-00345,45,Signature Retainer,4561.37,Real Estate,3,0,Email,Yes,4.9,Referral,1,No,159027.46,No
VLS-00346,64,Signature Retainer,4875.01,Family,1,2,Phone,Yes,39.0,Repeat Client,0,No,305514.49,Yes
VLS-00347,51,Signature Retainer,3904.52,Real Estate,0,1,Email,Yes,12.0,Referral,0,Yes,76082.09,No
VLS-00348,10,Basic Retainer,1042.33,Real Estate,1,0,Email,No,36.9,Web Search,0,No,8587.75,No
VLS-00349,10,Premier Retainer,1694.87,Corporate,1,0,Phone,No,25.6,Advertisement,0,No,14656.76,Yes
VLS-00350,66,Basic Retainer,825.29,Real Estate,2,0,Client Portal,Yes,12.3,Web Search,0,Yes,50795.19,No
VLS-00351,13,Premier Retainer,2006.51,Litigation,4,1,Email,No,9.3,Referral,0,No,23045.27,No
VLS-00352,79,Basic Retainer,582.88,Litigation,6,1,Email,No,17.3,Advertisement,0,Yes,46914.17,Yes
VLS-00353,9,Premier Retainer,1876.17,Litigation,2,0,Email,Yes,11.6,Advertisement,1,Yes,34003.48,No
VLS-00354,61,Premier Retainer,2360.9,Family,3,0,Email,No,7.0,Web Search,0,Yes,114017.7,No
VLS-00355,82,Premier Retainer,2453.46,Real Estate,2,2,Email,No,6.7,Web Search,1,Yes,133537.01,No
VLS-00356,37,Premier Retainer,2416.92,Corporate,5,0,Client Portal,No,19.2,Advertisement,0,Yes,41567.42,No
VLS-00357,4,Premier Retainer,1873.43,Family,3,2,Email,Yes,4.9,Web Search,0,No,7089.44,No
VLS-00358,74,Signature Retainer,5168.34,Family,5,0,Phone,Yes,19.0,Referral,0,No,205046.41,No
VLS-00359,15,Premier Retainer,1400.0,Corporate,3,0,Email,Yes,10.3,Web Search,0,Yes,32739.81,No
VLS-00360,44,Premier Retainer,1569.91,Corporate,0,0,Email,No,2.5,Advertisement,1,No,65993.35,No
VLS-00361,83,Signature Retainer,4344.04,Litigation,2,2,Email,Yes,20.0,Referral,2,No,551574.49,No
VLS-00362,63,Basic Retainer,825.48,Family,4,2,Email,No,5.0,Referral,0,Yes,101300.24,No
VLS-00363,3,Basic Retainer,955.53,Family,4,0,Phone,No,5.6,Repeat Client,0,Yes,2456.88,Yes
VLS-00364,69,Basic Retainer,723.93,Corporate,4,1,Phone,Yes,8.6,Repeat Client,1,Yes,43560.61,No
VLS-00365,13,Premier Retainer,2526.49,Real Estate,1,0,Client Portal,No,9.6,Web Search,0,No,60249.06,No
VLS-00366,63,Premier Retainer,1979.62,Family,2,1,Email,No,12.4,Advertisement,0,No,135223.74,Yes
VLS-00367,52,Premier Retainer,1874.78,Family,4,2,Phone,No,19.3,Repeat Client,0,No,124026.71,No
VLS-00368,24,Premier Retainer,2592.8,Real Estate,1,1,Client Portal,No,18.9,Web Search,0,Yes,98627.25,No
VLS-00369,36,Basic Retainer,827.07,Corporate,1,3,Email,No,6.6,Referral,1,No,45312.04,No
VLS-00370,10,Signature Retainer,4870.12,Estate Planning,3,2,Client Portal,Yes,6.7,Web Search,0,No,60346.5,No
VLS-00371,83,Premier Retainer,2479.55,Corporate,2,1,Client Portal,No,18.0,Repeat Client,0,Yes,386364.31,No
VLS-00372,20,Basic Retainer,760.07,Family,3,2,Client Portal,Yes,4.3,Advertisement,0,Yes,15263.96,No
VLS-00373,26,Basic Retainer,1045.26,Corporate,3,1,Phone,No,10.3,Referral,2,Yes,34311.46,No
VLS-00374,42,Basic Retainer,947.43,Real Estate,1,1,Phone,No,24.4,Repeat Client,0,No,37252.17,No
VLS-00375,57,Basic Retainer,934.7,Family,2,1,Email,No,7.3,Advertisement,1,No,84822.45,Yes
VLS-00376,42,Basic Retainer,930.81,Estate Planning,1,1,Phone,No,2.9,Web Search,1,Yes,28824.73,No
VLS-00377,42,Signature Retainer,4601.13,Family,3,0,Client Portal,Yes,5.0,Repeat Client,0,No,90530.3,No
VLS-00378,49,Premier Retainer,2107.33,Real Estate,1,1,Email,No,5.3,Advertisement,0,Yes,139369.87,No
VLS-00379,72,Basic Retainer,845.16,Corporate,1,0,Phone,No,4.7,Repeat Client,0,No,39069.92,Yes
VLS-00380,33,Premier Retainer,2011.98,Corporate,3,1,Email,Yes,8.3,Repeat Client,1,No,41277.4,No
VLS-00381,70,Premier Retainer,2060.37,Family,4,0,Email,No,36.4,Referral,0,No,254933.53,No
VLS-00382,66,Signature Retainer,6147.51,Real Estate,4,2,Phone,Yes,14.1,Advertisement,0,Yes,628223.8,No
VLS-00383,81,Signature Retainer,6187.58,Family,1,1,Phone,Yes,8.9,Referral,2,Yes,431342.93,No
VLS-00384,77,Premier Retainer,2168.15,Estate Planning,1,0,Phone,No,9.5,Repeat Client,1,No,42515.84,No
VLS-00385,67,Basic Retainer,875.68,Litigation,3,2,Client Portal,Yes,5.9,Repeat Client,1,No,75755.74,No
VLS-00386,20,Signature Retainer,4832.56,Estate Planning,2,0,Email,Yes,9.4,Repeat Client,0,Yes,131293.05,No
VLS-00387,65,Premier Retainer,2580.01,Family,4,1,Client Portal,No,23.7,Advertisement,1,No,211785.15,No
VLS-00388,62,Signature Retainer,4844.78,Litigation,5,1,Phone,Yes,10.5,Advertisement,1,Yes,372346.67,No
VLS-00389,24,Basic Retainer,695.93,Real Estate,4,0,Client Portal,Yes,18.8,Referral,1,Yes,15498.51,Yes
VLS-00390,57,Signature Retainer,4538.59,Real Estate,4,1,Email,Yes,17.2,Web Search,0,No,216383.77,No
VLS-00391,21,Premier Retainer,2226.74,Estate Planning,2,0,Email,No,35.4,Referral,0,Yes,28952.7,No
VLS-00392,44,Basic Retainer,565.76,Real Estate,4,1,Client Portal,No,17.0,Repeat Client,1,Yes,18827.42,No
VLS-00393,67,Premier Retainer,2317.81,Estate Planning,4,0,Email,Yes,33.8,Web Search,0,Yes,180793.54,Yes
VLS-00394,16,Premier Retainer,2450.78,Litigation,1,2,Email,Yes,19.8,Web Search,1,No,46888.82,No
VLS-00395,28,Basic Retainer,869.51,Corporate,1,1,Phone,No,12.4,Referral,1,Yes,34982.37,Yes
VLS-00396,67,Premier Retainer,1749.1,Litigation,1,3,Phone,Yes,5.5,Web Search,0,Yes,64210.03,No
VLS-00397,38,Signature Retainer,5574.2,Real Estate,2,2,Client Portal,No,18.8,Web Search,2,Yes,101142.4,No
VLS-00398,81,Basic Retainer,892.12,Estate Planning,2,1,Phone,No,19.8,Repeat Client,2,Yes,61760.68,No
VLS-00399,0,Premier Retainer,2326.46,Litigation,0,4,Client Portal,No,20.2,Repeat Client,0,Yes,417.28,No
VLS-00400,61,Premier Retainer,2011.63,Corporate,3,5,Email,No,0.6,Web Search,0,Yes,134016.01,No
VLS-00401,69,Basic Retainer,1007.2,Corporate,2,0,Phone,No,7.2,Repeat Client,1,Yes,38395.72,Yes
VLS-00402,78,Signature Retainer,4569.76,Corporate,2,1,Client Portal,No,14.0,Referral,0,No,605994.44,No
VLS-00403,13,Signature Retainer,4505.06,Real Estate,2,0,Phone,Yes,7.6,Referral,0,Yes,40761.69,No
VLS-00404,83,Basic Retainer,1054.27,Corporate,1,1,Email,Yes,6.7,Web Search,0,Yes,180471.19,Yes
VLS-00405,33,Signature Retainer,5485.02,Litigation,3,1,Email,No,5.9,Advertisement,0,No,229530.26,No
VLS-00406,29,Signature Retainer,4423.19,Real Estate,2,0,Phone,No,2.6,Referral,0,Yes,79893.17,No
VLS-00407,30,Basic Retainer,1054.1,Litigation,4,0,Phone,No,13.5,Referral,0,Yes,81327.09,No
VLS-00408,54,Signature Retainer,4773.57,Corporate,3,1,Phone,Yes,6.3,Web Search,0,No,290900.55,No
VLS-00409,56,Basic Retainer,720.26,Real Estate,2,1,Phone,No,7.3,Referral,0,No,43429.25,Yes
VLS-00410,40,Signature Retainer,3693.08,Corporate,1,1,Client Portal,No,8.9,Web Search,0,No,143499.13,No
VLS-00411,6,Premier Retainer,1400.0,Estate Planning,0,2,Email,Yes,15.0,Web Search,1,No,11644.19,No
VLS-00412,83,Premier Retainer,1461.55,Corporate,0,1,Phone,No,12.1,Repeat Client,0,No,153188.49,Yes
VLS-00413,18,Basic Retainer,804.21,Corporate,5,0,Phone,No,11.8,Referral,0,Yes,9390.89,Yes
VLS-00414,7,Signature Retainer,5292.93,Corporate,4,4,Email,Yes,1.1,Referral,0,Yes,35079.34,No
VLS-00415,50,Basic Retainer,912.44,Litigation,3,1,Email,Yes,19.1,Referral,0,No,49616.48,Yes
VLS-00416,35,Basic Retainer,1179.15,Corporate,4,0,Phone,No,28.5,Referral,1,Yes,53762.14,No
VLS-00417,52,Basic Retainer,1042.41,Real Estate,2,0,Client Portal,Yes,11.5,Advertisement,0,No,72356.82,No
VLS-00418,74,Premier Retainer,1794.56,Litigation,2,1,Email,No,4.2,Web Search,2,Yes,143128.36,No
VLS-00419,8,Basic Retainer,995.52,Litigation,2,0,Email,No,6.8,Referral,0,Yes,6217.56,Yes
VLS-00420,24,Signature Retainer,6158.61,Corporate,1,1,Email,Yes,4.4,Repeat Client,0,No,114056.34,Yes
VLS-00421,43,Premier Retainer,2259.37,Corporate,5,1,Client Portal,No,26.4,Advertisement,0,No,56933.21,No
VLS-00422,66,Basic Retainer,799.59,Family,4,2,Phone,Yes,7.3,Referral,0,No,69879.76,Yes
VLS-00423,51,Basic Retainer,735.18,Corporate,1,0,Email,No,11.9,Referral,0,Yes,27746.84,Yes
VLS-00424,32,Basic Retainer,952.56,Litigation,4,2,Client Portal,Yes,8.6,Repeat Client,0,Yes,28952.87,Yes
VLS-00425,51,Premier Retainer,2134.14,Family,1,1,Email,Yes,14.5,Advertisement,0,No,122587.47,No
VLS-00426,83,Signature Retainer,5304.86,Family,2,0,Email,No,5.2,Repeat Client,1,Yes,441650.88,No
VLS-00427,40,Basic Retainer,706.91,Corporate,2,1,Email,No,11.6,Referral,0,No,28037.17,Yes
VLS-00428,75,Signature Retainer,5823.26,Real Estate,1,2,Phone,Yes,7.4,Advertisement,1,No,291128.57,No
VLS-00429,66,Basic Retainer,819.0,Corporate,2,0,Client Portal,No,20.8,Referral,0,Yes,61422.94,No
VLS-00430,25,Signature Retainer,4207.73,Litigation,2,3,Email,Yes,1.3,Referral,0,Yes,92851.15,No
VLS-00431,21,Signature Retainer,4965.43,Corporate,6,2,Phone,Yes,8.0,Advertisement,0,No,100951.47,No
VLS-00432,65,Premier Retainer,2155.31,Estate Planning,2,3,Phone,No,19.5,Advertisement,0,Yes,235040.07,No
VLS-00433,17,Premier Retainer,2685.28,Litigation,1,1,Client Portal,No,18.0,Referral,0,Yes,57051.67,No
VLS-00434,28,Signature Retainer,4139.79,Corporate,1,1,Client Portal,No,2.7,Referral,0,No,89628.3,No
VLS-00435,20,Basic Retainer,835.08,Corporate,4,0,Phone,No,16.7,Advertisement,0,Yes,15100.84,Yes
VLS-00436,51,Basic Retainer,1057.08,Family,2,1,Email,No,4.8,Referral,0,No,111220.01,No
VLS-00437,25,Basic Retainer,803.89,Corporate,1,1,Email,Yes,6.0,Referral,2,Yes,18215.39,No
VLS-00438,55,Premier Retainer,1719.27,Corporate,4,1,Client Portal,No,18.8,Referral,0,Yes,96457.77,No
VLS-00439,79,Premier Retainer,2091.77,Estate Planning,0,1,Phone,Yes,7.9,Referral,1,No,224959.09,Yes
VLS-00440,70,Premier Retainer,2191.33,Real Estate,0,1,Phone,No,2.6,Repeat Client,0,Yes,169222.95,Yes
VLS-00441,80,Signature Retainer,4640.56,Corporate,1,0,Client Portal,No,3.8,Referral,1,No,313854.0,No
VLS-00442,2,Basic Retainer,532.9,Real Estate,4,1,Client Portal,No,10.4,Web Search,0,Yes,900.94,Yes
VLS-00443,38,Premier Retainer,1879.12,Corporate,3,1,Phone,No,7.7,Advertisement,0,No,71563.84,No
VLS-00444,18,Basic Retainer,915.58,Estate Planning,0,2,Client Portal,No,7.6,Referral,0,No,22765.16,No
VLS-00445,78,Basic Retainer,759.13,Corporate,3,4,Email,Yes,14.4,Web Search,0,No,108458.0,No
VLS-00446,60,Premier Retainer,2108.5,Litigation,0,3,Phone,No,12.6,Referral,0,Yes,65780.48,No
VLS-00447,27,Signature Retainer,5340.55,Litigation,4,0,Client Portal,No,8.1,Repeat Client,1,Yes,318453.32,No
VLS-00448,47,Premier Retainer,1620.02,Corporate,4,1,Email,Yes,18.2,Advertisement,1,Yes,67826.26,No
VLS-00449,51,Basic Retainer,855.54,Corporate,4,1,Email,Yes,14.4,Advertisement,0,No,68055.31,No
VLS-00450,42,Premier Retainer,2522.97,Family,2,1,Phone,No,12.1,Referral,0,No,76494.51,No
VLS-00451,40,Basic Retainer,838.73,Estate Planning,3,0,Phone,No,6.8,Repeat Client,0,No,16214.8,No
VLS-00452,4,Signature Retainer,4871.27,Real Estate,0,0,Email,Yes,20.1,Web Search,0,Yes,12252.24,No
VLS-00453,38,Premier Retainer,1895.52,Real Estate,4,4,Email,No,7.5,Referral,0,Yes,62867.74,No
VLS-00454,29,Basic Retainer,814.42,Litigation,3,4,Email,No,8.0,Referral,0,Yes,29882.88,No
VLS-00455,69,Basic Retainer,952.74,Litigation,4,1,Email,No,26.8,Referral,0,Yes,67597.1,Yes
VLS-00456,73,Basic Retainer,650.73,Family,1,0,Client Portal,Yes,5.0,Referral,0,Yes,43273.95,Yes
VLS-00457,63,Signature Retainer,3811.15,Real Estate,3,2,Phone,No,5.0,Referral,0,Yes,396440.05,No
VLS-00458,2,Premier Retainer,2709.42,Litigation,6,0,Phone,No,8.2,Repeat Client,0,Yes,4703.85,Yes
VLS-00459,71,Signature Retainer,3879.48,Corporate,2,1,Email,No,4.2,Repeat Client,0,No,313087.36,No
VLS-00460,33,Premier Retainer,2090.26,Litigation,2,0,Email,No,4.3,Referral,1,No,278998.86,No
VLS-00461,35,Premier Retainer,2408.42,Corporate,1,3,Email,Yes,26.3,Repeat Client,0,Yes,86037.48,Yes
VLS-00462,80,Basic Retainer,782.79,Corporate,4,1,Client Portal,No,8.1,Advertisement,0,No,46003.71,No
VLS-00463,73,Signature Retainer,3833.19,Litigation,2,2,Client Portal,No,12.4,Web Search,0,No,348120.11,No
VLS-00464,4,Basic Retainer,938.92,Family,5,1,Email,No,3.0,Repeat Client,0,Yes,5290.24,Yes
VLS-00465,30,Premier Retainer,2084.01,Corporate,2,0,Client Portal,Yes,4.7,Advertisement,0,No,72723.97,No
VLS-00466,63,Premier Retainer,2090.78,Corporate,0,1,Email,Yes,28.6,Web Search,0,No,142578.6,No
