cust_ref,left_us,mo_bill_usd,sex,is_senior,has_partner,has_dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,agreement_type,paperless_billing,payment_method,total_charges
FR-74658-EDAZ,Yes,66.05,Male,1,No,No,9,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),574.35
FR-28054-CQST,No,95.69,Male,0,Yes,No,72,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),6866.68
FR-67574-ZHQQ,Yes,82.59,Male,0,No,No,3,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Electronic check,261.23
FR-42720-PXYW,No,30.96,Female,0,Yes,Yes,17,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Electronic check,513.48
FR-43691-HPXS,No,96.49,Male,1,No,No,14,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,1354.14
FR-16561-ZEBF,No,54.07,Male,0,Yes,Yes,58,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),3145.95
FR-33429-WVXG,Yes,26.85,Female,0,Yes,No,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,1445.25
FR-94551-EUCW,No,111.1,Female,0,No,No,41,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,4538.74
FR-32384-SSUK,No,102.9,Male,0,Yes,Yes,35,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),3585.21
FR-36384-ZBBL,No,30.19,Male,1,Yes,No,67,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),2018.46
FR-40097-WDHR,No,84.97,Male,0,No,No,13,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),1112.33
FR-64793-JZLY,No,103.06,Male,1,No,Yes,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),4001.18
FR-24065-XGLY,Yes,94.66,Female,0,No,No,15,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),1451.63
FR-55054-HJKP,No,46.05,Male,0,No,No,59,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),2725.6
FR-87790-MTKL,No,32.9,Male,0,Yes,Yes,19,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,631.53
FR-88606-YSZB,No,49.84,Male,0,Yes,No,45,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),2242.36
FR-92754-FHBA,No,45.68,Male,0,Yes,Yes,72,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,3291.01
FR-66492-JAQW,No,18.0,Male,1,Yes,Yes,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),168.29
FR-77764-FXXK,Yes,75.66,Male,0,No,Yes,10,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),759.28
FR-48170-TZCW,Yes,25.5,Female,0,No,No,38,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,990.2
FR-89364-PYTV,Yes,52.64,Female,0,Yes,No,7,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,388.56
FR-53820-WBYN,No,88.96,Female,0,No,No,35,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),3117.63
FR-93244-FEVU,No,91.02,Female,1,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,1719.42
FR-93906-KGNM,No,85.44,Male,0,Yes,No,61,Yes,No,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),5199.1
FR-26009-BPLW,No,91.98,Female,0,Yes,No,26,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Mailed check,2392.28
FR-18457-DBKW,No,90.47,Male,0,No,No,68,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,6149.25
FR-26259-XQNT,No,95.73,Female,0,Yes,No,52,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),4987.81
FR-47070-ECGS,No,57.09,Male,0,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),2995.26
FR-49223-SCUG,Yes,56.95,Male,1,No,No,56,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,3194.91
FR-62414-PQXU,Yes,18.0,Male,0,No,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),530.57
FR-89875-GQGB,No,57.04,Male,0,No,No,37,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),2092.38
FR-29436-THSM,Yes,18.0,Male,0,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,322.72
FR-38591-NGLZ,Yes,34.64,Female,0,Yes,Yes,4,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,143.25
FR-55856-DYZV,No,110.46,Male,0,Yes,No,21,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Mailed check,2305.77
FR-28208-RYRH,Yes,32.42,Male,0,No,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,227.58
FR-74446-VEFQ,Yes,74.45,Male,0,No,No,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,1061.86
FR-26784-EUAJ,No,18.0,Male,0,Yes,No,48,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,Yes,Electronic check,858.03
FR-13312-VMRK,No,108.37,Female,0,Yes,Yes,11,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,1190.24
FR-95363-ZHEH,No,107.41,Male,0,No,Yes,66,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,7101.61
FR-54397-UMAJ,No,18.0,Male,0,No,No,6,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,132.31
FR-76609-BULD,No,97.8,Female,0,No,Yes,47,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),4607.85
FR-56728-VRTC,No,42.15,Female,0,Yes,No,42,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),1749.31
FR-48461-NLUT,No,30.61,Male,0,No,Yes,40,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),1246.83
FR-62634-XMFR,No,51.87,Male,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),3725.42
FR-72892-PZRT,No,60.3,Female,0,No,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),355.14
FR-68847-XQCP,No,105.38,Male,0,No,No,48,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Electronic check,5039.06
FR-21594-CXSF,No,55.35,Female,1,Yes,No,48,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),2649.72
FR-51621-WXJV,No,79.37,Male,0,Yes,Yes,69,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),5481.7
FR-10302-NTNC,No,70.57,Male,1,No,No,63,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),4428.97
FR-82683-LVDR,No,43.78,Female,0,No,No,36,Yes,Yes,DSL,No,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),1574.03
FR-99283-ZTUS,No,32.56,Male,0,Yes,No,72,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),2321.22
FR-71569-HDQV,No,91.43,Female,0,Yes,Yes,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,4306.31
FR-44298-HJYF,No,120.0,Female,0,Yes,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),473.74
FR-11307-RETX,No,53.96,Female,0,No,No,13,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),705.26
FR-52167-LVAG,No,34.75,Male,0,No,Yes,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),1764.05
FR-93076-KVPP,Yes,59.97,Female,0,No,No,0,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,3.14
FR-15982-YUFT,Yes,96.4,Male,0,No,No,50,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),4808.28
FR-18257-USBR,No,50.11,Male,0,No,No,6,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Mailed check,284.04
FR-24470-QSPM,No,35.0,Male,1,No,No,71,Yes,No,DSL,No,Yes,Yes,No,No,No,One year,No,Mailed check,2486.8
FR-65598-TASB,No,53.98,Male,0,Yes,Yes,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,1422.85
FR-91320-WZEY,No,59.62,Female,0,Yes,Yes,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),1107.14
FR-87997-JKPL,No,60.39,Female,0,No,No,71,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),4271.33
FR-59135-BPML,No,96.32,Male,0,No,Yes,25,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,2423.05
FR-76818-SSWM,Yes,87.1,Female,0,No,Yes,29,Yes,No,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,2526.52
FR-57605-YSQP,No,67.73,Female,1,No,No,5,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,No,Electronic check,341.02
FR-46995-UKDF,No,18.0,Female,0,No,Yes,4,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),103.88
FR-51926-BHMC,No,18.0,Female,0,Yes,No,38,No,No phone service,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),678.28
FR-69745-DEUA,No,59.88,Female,0,No,Yes,14,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,823.65
FR-26282-CHBV,No,61.96,Female,0,No,No,59,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),3642.86
FR-84835-GSJG,No,87.16,Male,0,Yes,No,37,Yes,Yes,DSL,No,No,No,Yes,No,Yes,One year,No,Mailed check,3241.31
FR-17237-YNYN,Yes,116.99,Female,0,Yes,Yes,25,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),2898.39
FR-30900-YQDV,Yes,55.6,Female,0,No,No,44,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,2431.05
FR-63477-GGGD,Yes,45.67,Female,0,Yes,No,34,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,1545.78
FR-75111-LPEJ,No,21.86,Female,1,Yes,No,66,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),1419.4
FR-32143-TSAX,No,99.11,Male,0,No,Yes,64,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,6329.13
FR-50018-DBSQ,No,49.08,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),2863.71
FR-26489-GBFJ,Yes,58.31,Female,0,Yes,Yes,68,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,3949.81
FR-15137-VGGA,No,85.78,Male,1,No,Yes,29,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,2459.53
FR-36685-KFNC,No,26.19,Male,0,No,Yes,71,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,1858.88
FR-18800-JYMA,No,34.81,Female,0,No,Yes,50,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,1707.59
FR-23571-SEFU,Yes,47.93,Male,0,No,Yes,3,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,162.54
FR-48261-QFXE,Yes,28.66,Female,0,Yes,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,880.17
FR-87706-ETFB,No,18.41,Male,0,No,No,60,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),1095.65
FR-31331-LEQM,No,69.03,Male,0,Yes,No,43,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,No,Credit card (automatic),2965.56
FR-31058-KSWV,Yes,76.03,Male,0,No,No,64,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),4876.9
FR-55840-AWSW,Yes,80.82,Male,0,No,No,52,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),4194.23
FR-42729-UUPQ,No,94.96,Male,1,No,Yes,31,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,2907.77
FR-67543-TTTH,No,97.99,Male,1,No,No,9,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Mailed check,868.3
FR-77924-YGNW,No,58.44,Male,0,No,No,44,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),2580.66
FR-68294-NAWA,No,71.99,Female,0,No,Yes,23,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Credit card (automatic),1637.14
FR-67871-MLPB,Yes,87.15,Female,1,No,No,57,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),4959.85
FR-68497-YHES,No,69.09,Female,0,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,1727.06
FR-96281-QMFL,No,93.67,Male,0,Yes,No,36,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),3359.32
FR-58711-WQVS,Yes,38.28,Male,1,No,No,23,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),885.57
FR-54371-XDPQ,No,68.7,Female,0,No,No,71,Yes,No,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),4866.57
FR-45534-VFMG,No,120.0,Male,0,Yes,No,61,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),7344.07
FR-55397-QSRZ,No,38.97,Female,0,Yes,Yes,25,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),989.09
FR-33593-RXCT,No,36.94,Female,0,No,Yes,71,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),2621.33
FR-69657-RXBL,No,57.76,Male,1,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,3545.89
FR-33869-JTJE,No,82.99,Male,0,Yes,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,1746.47
FR-69369-PRSF,No,18.0,Female,0,Yes,No,31,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),562.43
FR-41452-XZVN,Yes,19.86,Female,0,No,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),48.02
FR-21155-TASM,No,119.0,Female,0,Yes,Yes,50,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Electronic check,5953.38
FR-91481-PCLR,Yes,112.54,Male,0,No,No,55,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),6199.95
FR-18817-NAKS,Yes,85.49,Female,0,No,No,4,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),345.88
FR-69823-AKCX,No,90.66,Male,0,Yes,No,31,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),2815.47
FR-63692-CGMP,Yes,58.65,Male,0,Yes,No,2,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,143.83
FR-48190-GNQL,Yes,60.35,Male,0,No,Yes,37,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,2255.84
FR-30926-TMPG,No,56.93,Male,0,Yes,No,15,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),836.43
FR-45036-TYYY,No,37.08,Male,0,Yes,Yes,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),1222.88
FR-33864-JJTG,No,29.18,Male,0,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,347.9
FR-63975-YAQD,Yes,73.61,Male,0,No,No,8,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Electronic check,561.26
FR-67886-ZFBU,No,31.31,Male,0,No,No,30,No,No phone service,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,964.62
FR-75427-ELZC,Yes,48.83,Female,0,No,No,55,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,2671.2
FR-27265-GTCN,No,67.14,Female,1,Yes,No,8,Yes,Yes,DSL,No,No,Yes,Yes,No,No,One year,Yes,Mailed check,550.44
FR-14185-BLJK,No,23.86,Female,0,Yes,No,65,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),1527.98
FR-57819-LFTN,No,108.66,Female,0,Yes,Yes,69,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),7493.6
FR-55349-EJLM,Yes,43.48,Male,0,Yes,Yes,37,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,1603.65
FR-94217-NVYY,No,66.12,Male,0,Yes,Yes,14,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,937.69
FR-24772-PRNA,No,78.03,Female,0,No,No,36,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),2810.77
FR-92708-YCUW,No,102.65,Male,0,No,No,69,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),7095.19
FR-40388-LZNV,No,99.96,Male,0,Yes,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,1401.41
FR-58566-YYEM,Yes,95.06,Female,0,No,No,11,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1036.85
FR-77451-RFZJ,No,36.87,Female,0,No,No,64,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,2347.07
FR-61815-VGYM,No,44.89,Male,0,No,No,13,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),595.54
FR-20997-DHJC,Yes,28.57,Male,0,Yes,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,1413.37
FR-36057-SUCH,No,80.99,Female,0,No,No,45,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,3642.21
FR-78099-RMZL,No,44.03,Female,0,Yes,Yes,52,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,No,Electronic check,2271.74
FR-56648-KAVR,No,22.16,Female,0,No,No,6,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),133.88
FR-95271-DCME,No,18.0,Male,0,Yes,Yes,31,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),565.73
FR-76329-PTAB,Yes,102.74,Male,1,No,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,6674.75
FR-63620-NUTA,Yes,18.0,Male,0,No,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),1213.58
FR-67892-YFKT,No,120.0,Female,0,No,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,971.75
FR-99749-PZZK,No,93.76,Female,1,No,No,61,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,5712.64
FR-99242-TETF,No,38.1,Male,0,No,No,32,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,1247.85
FR-83140-PLED,Yes,55.11,Male,0,Yes,No,15,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),833.23
FR-94432-MCGM,Yes,66.87,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,4360.41
FR-26042-FKPT,No,64.32,Male,0,Yes,No,49,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,3120.81
FR-70274-LVPA,No,53.15,Male,0,No,No,12,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Mailed check,628.66
FR-40222-WUAS,Yes,58.39,Female,0,No,No,48,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,2811.82
FR-73099-DEME,Yes,103.74,Male,0,No,No,56,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),5808.96
FR-87878-SNRC,No,99.84,Male,0,Yes,Yes,56,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,5567.33
FR-45473-ZXNW,No,95.89,Male,0,No,Yes,55,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),5256.51
FR-24466-BTVX,Yes,92.68,Female,1,Yes,No,11,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),1020.11
FR-54364-NYXF,No,37.93,Female,1,Yes,Yes,30,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),1136.22
FR-46950-QNZH,No,39.71,Female,0,Yes,No,39,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Mailed check,1518.52
FR-76464-GPFP,No,59.59,Female,0,Yes,No,55,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,Yes,Electronic check,3301.22
FR-47882-WSEG,No,60.63,Male,0,Yes,No,35,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),2121.94
FR-19319-PFLK,Yes,44.47,Male,0,No,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),1436.54
FR-90923-QYDE,No,80.8,Female,1,Yes,Yes,10,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Mailed check,827.04
FR-96188-THCW,No,84.07,Male,1,No,Yes,33,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),2763.88
FR-14028-EXRE,No,26.17,Female,0,Yes,No,56,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),1467.73
FR-55119-VBSB,Yes,94.0,Male,1,Yes,Yes,0,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,No,Electronic check,0.0
FR-38854-MWJZ,No,66.48,Female,0,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,145.12
FR-22803-BRFM,No,80.19,Female,0,Yes,Yes,53,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),4262.91
FR-19038-ECBM,Yes,99.18,Male,0,No,No,5,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,485.32
FR-55688-NSSB,No,90.11,Male,0,Yes,Yes,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),3773.68
FR-19109-PKSR,No,83.07,Female,0,No,No,52,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,4304.82
FR-55576-BUVT,Yes,94.58,Male,1,Yes,No,57,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),5399.99
FR-97708-VBXE,No,52.61,Male,0,No,No,67,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Mailed check,3519.03
FR-92871-KPZK,Yes,93.68,Female,0,No,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,3916.3
FR-48794-BCXK,No,33.6,Female,0,No,Yes,5,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,174.26
FR-90816-KHEF,Yes,51.11,Female,0,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),186.81
FR-94189-PNXA,No,18.0,Female,0,Yes,Yes,39,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,688.17
FR-92363-EXAH,No,105.22,Male,0,Yes,No,7,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,Yes,Electronic check,732.87
FR-97722-KQCV,Yes,58.81,Female,0,No,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,2590.53
FR-28644-TRSX,No,46.59,Female,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),422.62
FR-92242-KPSQ,No,68.92,Male,0,No,Yes,32,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,No,Electronic check,2211.71
FR-31679-HYCL,No,66.53,Male,1,Yes,No,71,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),4708.46
FR-20175-MLZY,No,18.0,Male,0,No,Yes,34,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,625.19
